Linux 3.10.0-327.13.1.el7.x86_64 (ip-192-168-1-252.us-west-2.compute.internal) 	04/19/2016 	_x86_64_	(32 CPU)

06:09:08 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:09:09 AM     all      0.00      0.00      0.03      0.00      0.00     99.97
06:09:10 AM     all     42.19      0.00      7.60      0.00      0.06     50.14
06:09:11 AM     all     63.82      0.00     15.92      0.00      0.38     19.87
06:09:12 AM     all     68.72      0.00     21.22      0.00      0.28      9.78
06:09:13 AM     all     35.61      0.00     12.12      0.00      0.17     52.09
06:09:14 AM     all      0.21      0.00      1.19      0.00      0.24     98.36
06:09:15 AM     all      0.21      0.00      1.19      0.00      0.24     98.36
06:09:16 AM     all      0.28      0.00      1.15      0.00      0.24     98.33
06:09:17 AM     all      0.17      0.00      1.50      0.00      0.21     98.12
06:09:18 AM     all      0.28      0.00      1.56      0.00      0.24     97.92
06:09:19 AM     all      0.28      0.00      1.52      0.00      0.21     97.99
06:09:20 AM     all      0.31      0.00      1.56      0.00      0.24     97.89
06:09:21 AM     all      0.31      0.00      1.73      0.00      0.21     97.76
06:09:22 AM     all      0.28      0.00      1.73      0.00      0.17     97.83
06:09:23 AM     all      0.31      0.00      1.93      0.00      0.24     97.52
06:09:24 AM     all      0.34      0.00      1.92      0.00      0.17     97.57
06:09:25 AM     all      0.34      0.00      1.95      0.00      0.21     97.50
06:09:26 AM     all      0.34      0.00      2.06      0.00      0.17     97.43
06:09:27 AM     all      0.38      0.00      2.05      0.00      0.21     97.36
06:09:28 AM     all      0.34      0.00      2.16      0.00      0.21     97.29
06:09:29 AM     all      0.38      0.00      2.32      0.00      0.21     97.10
06:09:30 AM     all      0.38      0.00      2.49      0.00      0.20     96.93
06:09:31 AM     all      0.34      0.00      2.11      0.00      0.17     97.38
06:09:32 AM     all      0.44      0.00      2.56      0.00      0.20     96.80
06:09:33 AM     all      0.38      0.00      2.08      0.00      0.17     97.37
06:09:34 AM     all      0.31      0.00      2.01      0.00      0.20     97.47
06:09:35 AM     all      0.34      0.00      2.29      0.00      0.21     97.16
06:09:36 AM     all      0.34      0.00      2.19      0.00      0.17     97.30
06:09:37 AM     all      0.31      0.00      2.29      0.00      0.21     97.20
06:09:38 AM     all      1.22      0.00      2.78      0.00      0.17     95.83
06:09:39 AM     all      1.09      0.00      2.38      0.00      0.17     96.36
06:09:40 AM     all      0.34      0.00      2.18      0.00      0.17     97.31
06:09:41 AM     all      0.34      0.00      2.39      0.00      0.20     97.06
06:09:42 AM     all      1.74      0.00      2.59      0.00      0.17     95.50
06:09:43 AM     all      0.58      0.00      2.35      0.00      0.20     96.87
06:09:44 AM     all      1.26      0.00      2.75      0.00      0.20     95.79
06:09:45 AM     all      2.74      0.00      2.84      0.00      0.17     94.24
06:09:46 AM     all      3.65      0.00      3.38      0.00      0.17     92.80
06:09:47 AM     all      4.27      0.00      3.45      0.00      0.17     92.11
06:09:48 AM     all      4.72      0.00      3.09      0.00      0.20     91.98
06:09:49 AM     all      6.90      0.00      3.80      0.00      0.13     89.17
06:09:50 AM     all      5.90      0.00      4.11      0.00      0.17     89.82
06:09:51 AM     all      4.79      0.00      3.23      0.00      0.17     91.81
06:09:52 AM     all      8.70      0.00      4.15      0.00      0.20     86.94
06:09:53 AM     all      8.22      0.00      3.55      0.00      0.17     88.05
06:09:54 AM     all     16.26      0.00      6.18      0.00      0.20     77.36
06:09:55 AM     all     13.78      0.00      5.21      0.00      0.17     80.84
06:09:56 AM     all     16.69      0.00      5.73      0.00      0.20     77.37
06:09:57 AM     all      8.60      0.00      4.25      0.00      0.17     86.98
06:09:58 AM     all     12.61      0.00      5.41      0.00      0.17     81.81
06:09:59 AM     all     14.97      0.00      6.00      0.00      0.17     78.86
06:10:00 AM     all      3.96      0.00      3.83      0.00      0.13     92.08
06:10:01 AM     all      2.89      0.00      3.50      0.00      0.13     93.48
06:10:02 AM     all      3.58      0.00      3.65      0.00      0.17     92.60
06:10:03 AM     all      3.88      0.00      3.91      0.00      0.13     92.08
06:10:04 AM     all      2.56      0.00      3.70      0.00      0.17     93.57
06:10:05 AM     all      4.62      0.00      4.36      0.00      0.17     90.85
06:10:06 AM     all      2.72      0.00      3.49      0.00      0.13     93.65
06:10:07 AM     all      2.02      0.00      3.41      0.00      0.17     94.40
06:10:08 AM     all      0.87      0.00      3.36      0.00      0.13     95.63
06:10:09 AM     all      6.19      0.00      3.75      0.00      0.17     89.89
06:10:10 AM     all      0.54      0.00      2.74      0.00      0.17     96.54
06:10:11 AM     all      0.47      0.00      2.99      0.00      0.13     96.40
06:10:12 AM     all      0.40      0.00      2.89      0.00      0.17     96.54
06:10:13 AM     all      0.54      0.00      2.77      0.00      0.13     96.56
06:10:14 AM     all      0.44      0.00      3.10      0.00      0.17     96.30
06:10:15 AM     all      0.63      0.00      3.77      0.00      0.13     95.47
06:10:16 AM     all      1.25      0.00      3.25      0.00      0.17     95.33
06:10:17 AM     all      1.24      0.00      3.95      0.00      0.13     94.68
06:10:18 AM     all      1.47      0.00      4.00      0.00      0.13     94.40
06:10:19 AM     all      2.82      0.00      3.73      0.00      0.13     93.31
06:10:20 AM     all      1.31      0.00      3.26      0.00      0.13     95.30
06:10:21 AM     all      3.59      0.00      4.12      0.00      0.17     92.12
06:10:22 AM     all      4.69      0.00      4.02      0.00      0.13     91.16
06:10:23 AM     all      0.90      0.00      3.98      0.00      0.13     94.99
06:10:24 AM     all      3.71      0.00      4.58      0.00      0.13     91.58
06:10:25 AM     all      1.59      0.00      4.28      0.00      0.17     93.96
06:10:26 AM     all      4.02      0.00      3.78      0.00      0.13     92.06
06:10:27 AM     all      1.68      0.00      4.05      0.00      0.13     94.14
06:10:28 AM     all      5.99      0.00      4.66      0.00      0.10     89.25
06:10:29 AM     all      4.70      0.00      5.03      0.00      0.13     90.13
06:10:30 AM     all      6.71      0.00      5.48      0.00      0.13     87.67
06:10:31 AM     all      5.43      0.00      4.23      0.00      0.13     90.20
06:10:32 AM     all      3.09      0.00      3.89      0.00      0.17     92.85
06:10:33 AM     all      2.33      0.00      4.07      0.00      0.13     93.47
06:10:34 AM     all      5.70      0.00      3.95      0.00      0.17     90.18
06:10:35 AM     all      5.57      0.00      4.41      0.00      0.10     89.92
06:10:36 AM     all      2.31      0.00      4.15      0.00      0.17     93.37
06:10:37 AM     all      2.78      0.00      3.75      0.00      0.13     93.34
06:10:38 AM     all      0.77      0.00      3.65      0.00      0.13     95.44
06:10:39 AM     all      3.39      0.00      4.53      0.00      0.17     91.92
06:10:40 AM     all      2.13      0.00      4.03      0.00      0.13     93.71
06:10:41 AM     all      1.29      0.00      4.37      0.00      0.13     94.21
06:10:42 AM     all      5.17      0.00      5.20      0.00      0.10     89.53
06:10:43 AM     all      3.17      0.00      4.27      0.00      0.13     92.44
06:10:44 AM     all      5.79      0.00      4.32      0.00      0.13     89.76
06:10:45 AM     all      3.65      0.00      4.55      0.00      0.10     91.70
06:10:46 AM     all      3.50      0.00      3.97      0.00      0.17     92.36
06:10:47 AM     all      4.81      0.00      4.37      0.00      0.13     90.68
06:10:48 AM     all      6.32      0.00      4.58      0.00      0.13     88.96
06:10:49 AM     all      2.90      0.00      4.50      0.00      0.17     92.43
06:10:50 AM     all      5.85      0.00      5.12      0.00      0.13     88.90
06:10:51 AM     all      4.82      0.00      4.49      0.00      0.13     90.56
06:10:52 AM     all      6.28      0.00      5.25      0.00      0.10     88.37
06:10:53 AM     all      3.64      0.00      4.18      0.00      0.17     92.01
06:10:54 AM     all      7.09      0.00      4.64      0.00      0.13     88.13
06:10:55 AM     all      3.66      0.00      5.38      0.00      0.10     90.86
06:10:56 AM     all      5.80      0.00      4.67      0.00      0.13     89.40
06:10:57 AM     all      3.27      0.00      4.43      0.00      0.13     92.16
06:10:58 AM     all      6.20      0.00      5.18      0.00      0.13     88.49
06:10:59 AM     all      4.72      0.00      4.36      0.00      0.13     90.79
06:11:00 AM     all      4.24      0.00      5.49      0.00      0.10     90.17
06:11:01 AM     all      6.08      0.00      4.83      0.00      0.10     88.99
06:11:02 AM     all      6.72      0.00      4.96      0.00      0.13     88.19
06:11:03 AM     all      8.06      0.00      5.88      0.00      0.13     85.94
06:11:04 AM     all      9.05      0.00      6.43      0.00      0.13     84.39
06:11:05 AM     all      4.37      0.00      5.19      0.00      0.10     90.34
06:11:06 AM     all      4.52      0.00      4.88      0.00      0.13     90.47
06:11:07 AM     all      5.34      0.00      5.11      0.00      0.13     89.42
06:11:08 AM     all      5.37      0.00      4.80      0.00      0.10     89.72
06:11:09 AM     all      3.09      0.00      4.19      0.00      0.13     92.59
06:11:10 AM     all      5.09      0.00      5.02      0.00      0.13     89.76
06:11:11 AM     all      5.23      0.00      4.47      0.00      0.13     90.17
06:11:12 AM     all      4.11      0.00      5.20      0.00      0.13     90.56
06:11:13 AM     all      5.04      0.00      4.74      0.00      0.10     90.12
06:11:14 AM     all      6.37      0.00      6.04      0.00      0.13     87.47
06:11:15 AM     all      2.80      0.00      4.97      0.00      0.10     92.13
06:11:16 AM     all      6.74      0.00      5.82      0.00      0.10     87.34
06:11:17 AM     all      3.67      0.00      5.73      0.00      0.10     90.51
06:11:18 AM     all      3.30      0.00      5.02      0.00      0.10     91.58
06:11:19 AM     all      2.55      0.00      4.31      0.00      0.13     93.01
06:11:20 AM     all      1.42      0.00      4.37      0.00      0.10     94.10
06:11:21 AM     all      3.69      0.00      4.49      0.00      0.17     91.66
06:11:22 AM     all      2.19      0.00      4.37      0.00      0.10     93.34
06:11:23 AM     all      2.89      0.00      4.58      0.00      0.10     92.43
06:11:24 AM     all      2.97      0.00      4.46      0.00      0.13     92.43
06:11:25 AM     all      5.57      0.00      5.53      0.00      0.13     88.77
06:11:26 AM     all      4.08      0.00      5.63      0.00      0.13     90.16
06:11:27 AM     all      6.11      0.00      5.08      0.00      0.10     88.71
06:11:28 AM     all      0.60      0.00      4.07      0.00      0.13     95.20
06:11:29 AM     all      0.82      0.00      4.97      0.00      0.10     94.11
06:11:30 AM     all      1.75      0.00      4.75      0.00      0.10     93.40
06:11:31 AM     all      4.01      0.00      5.22      0.00      0.10     90.67
06:11:32 AM     all      2.93      0.00      5.13      0.00      0.10     91.84
06:11:33 AM     all      3.01      0.00      5.32      0.00      0.10     91.58
06:11:34 AM     all      5.13      0.00      4.90      0.00      0.13     89.83
06:11:35 AM     all      3.76      0.00      4.49      0.00      0.13     91.61
06:11:36 AM     all      2.27      0.00      4.73      0.00      0.13     92.87
06:11:37 AM     all      1.49      0.00      4.26      0.00      0.10     94.15
06:11:38 AM     all      2.06      0.00      4.08      0.00      0.13     93.73
06:11:39 AM     all      1.64      0.00      4.15      0.00      0.13     94.07
06:11:40 AM     all      4.15      0.00      4.78      0.00      0.10     90.97
06:11:41 AM     all      4.40      0.00      5.39      0.00      0.13     90.08
06:11:42 AM     all      2.32      0.00      4.28      0.00      0.13     93.27
06:11:43 AM     all      5.08      0.00      4.61      0.00      0.10     90.21
06:11:44 AM     all      3.69      0.00      4.22      0.00      0.13     91.96
06:11:45 AM     all      1.94      0.00      4.20      0.00      0.13     93.73
06:11:46 AM     all      3.76      0.00      4.59      0.00      0.13     91.51
06:11:47 AM     all      2.33      0.00      5.50      0.00      0.10     92.07
06:11:48 AM     all      2.36      0.00      4.45      0.00      0.13     93.05
06:11:49 AM     all      3.47      0.00      5.66      0.00      0.10     90.77
06:11:50 AM     all      4.48      0.00      5.60      0.00      0.10     89.83
06:11:51 AM     all      3.80      0.00      5.77      0.00      0.10     90.33
06:11:52 AM     all      2.57      0.00      5.56      0.00      0.10     91.77
06:11:53 AM     all      2.86      0.00      4.70      0.00      0.10     92.34
06:11:54 AM     all      5.79      0.00      5.66      0.00      0.10     88.45
06:11:55 AM     all      4.05      0.00      5.90      0.00      0.10     89.95
06:11:56 AM     all      6.39      0.00      5.70      0.00      0.10     87.80
06:11:57 AM     all      3.71      0.00      5.65      0.00      0.10     90.54
06:11:58 AM     all      3.08      0.00      5.34      0.00      0.13     91.44
06:11:59 AM     all      4.53      0.00      5.77      0.00      0.07     89.64
06:12:00 AM     all      2.76      0.00      5.32      0.00      0.10     91.82
06:12:01 AM     all      3.43      0.00      5.33      0.00      0.07     91.17
06:12:02 AM     all      2.05      0.00      4.73      0.00      0.13     93.09
06:12:03 AM     all      2.95      0.00      5.00      0.00      0.10     91.95
06:12:04 AM     all      6.31      0.00      5.28      0.00      0.13     88.28
06:12:05 AM     all      4.91      0.00      5.72      0.00      0.10     89.27
06:12:06 AM     all      2.55      0.00      4.94      0.00      0.13     92.37
06:12:07 AM     all      5.03      0.00      4.83      0.00      0.13     90.01
06:12:08 AM     all      5.39      0.00      4.76      0.00      0.10     89.75
06:12:09 AM     all      5.09      0.00      5.56      0.00      0.10     89.25
06:12:10 AM     all      6.04      0.00      6.20      0.00      0.13     87.63
06:12:11 AM     all      4.79      0.00      5.80      0.00      0.07     89.35
06:12:12 AM     all      5.62      0.00      5.78      0.00      0.10     88.51
06:12:13 AM     all      5.11      0.00      5.57      0.00      0.13     89.19
06:12:14 AM     all      3.60      0.00      4.69      0.00      0.10     91.62
