Linux 3.10.0-327.13.1.el7.x86_64 (ip-192-168-1-252.us-west-2.compute.internal) 	04/21/2016 	_x86_64_	(32 CPU)

10:45:35 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:45:36 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
10:45:37 PM     all     30.65      0.00      5.76      0.00      0.13     63.47
10:45:38 PM     all     67.53      0.00     16.46      0.00      0.28     15.73
10:45:39 PM     all     71.44      0.00     21.53      0.00      0.17      6.86
10:45:40 PM     all     40.42      0.00     14.39      0.00      0.17     45.03
10:45:41 PM     all      0.44      0.00      1.94      0.00      0.14     97.48
10:45:42 PM     all      0.34      0.00      1.84      0.00      0.17     97.65
10:45:43 PM     all      0.34      0.00      1.93      0.00      0.14     97.59
10:45:44 PM     all      0.37      0.00      1.79      0.00      0.17     97.66
10:45:45 PM     all      0.34      0.00      1.92      0.00      0.13     97.61
10:45:46 PM     all      0.37      0.00      1.82      0.00      0.17     97.64
10:45:47 PM     all      0.44      0.00      2.08      0.00      0.13     97.35
10:45:48 PM     all      0.40      0.00      2.18      0.00      0.13     97.28
10:45:49 PM     all      0.40      0.00      1.94      0.00      0.13     97.52
10:45:50 PM     all      0.34      0.00      2.28      0.00      0.13     97.25
10:45:51 PM     all      0.40      0.00      2.35      0.00      0.17     97.08
10:45:52 PM     all      0.47      0.00      2.60      0.00      0.13     96.79
10:45:53 PM     all      0.40      0.00      2.51      0.00      0.13     96.96
10:45:54 PM     all      0.50      0.00      2.61      0.00      0.13     96.76
10:45:55 PM     all      0.50      0.00      2.80      0.00      0.13     96.57
10:45:56 PM     all      0.43      0.00      2.47      0.00      0.10     96.99
10:45:57 PM     all      0.47      0.00      2.77      0.00      0.13     96.63
10:45:58 PM     all      1.30      0.00      2.80      0.00      0.13     95.77
10:45:59 PM     all      0.57      0.00      2.50      0.00      0.10     96.84
10:46:00 PM     all      1.34      0.00      3.04      0.00      0.17     95.45
10:46:01 PM     all      0.53      0.00      3.11      0.00      0.17     96.19
10:46:02 PM     all      0.47      0.00      2.97      0.00      0.10     96.46
10:46:03 PM     all      0.56      0.00      3.05      0.00      0.13     96.25
10:46:04 PM     all      2.11      0.00      3.42      0.00      0.17     94.30
10:46:05 PM     all      2.94      0.00      2.94      0.00      0.13     93.98
10:46:06 PM     all      2.19      0.00      3.19      0.00      0.10     94.52
10:46:07 PM     all      5.65      0.00      3.72      0.00      0.13     90.49
10:46:08 PM     all      2.14      0.00      3.18      0.00      0.13     94.55
10:46:09 PM     all      5.42      0.00      4.02      0.00      0.10     90.46
10:46:10 PM     all      3.21      0.00      4.56      0.00      0.13     92.10
10:46:11 PM     all      3.23      0.00      4.02      0.00      0.07     92.69
10:46:12 PM     all      2.83      0.00      4.37      0.00      0.10     92.70
10:46:13 PM     all      5.31      0.00      4.11      0.00      0.13     90.45
10:46:14 PM     all      3.25      0.00      3.69      0.00      0.10     92.96
10:46:15 PM     all      6.12      0.00      4.61      0.00      0.10     89.17
10:46:16 PM     all      2.18      0.00      3.73      0.00      0.10     93.99
10:46:17 PM     all      5.45      0.00      3.95      0.00      0.13     90.47
10:46:18 PM     all     10.16      0.00      5.48      0.00      0.17     84.19
10:46:19 PM     all      3.70      0.00      4.07      0.00      0.10     92.13
10:46:20 PM     all      6.74      0.00      4.33      0.00      0.10     88.84
10:46:21 PM     all      5.96      0.00      4.45      0.00      0.10     89.49
10:46:22 PM     all      6.98      0.00      4.69      0.00      0.13     88.20
10:46:23 PM     all      3.39      0.00      3.92      0.00      0.07     92.62
10:46:24 PM     all      3.46      0.00      4.25      0.00      0.13     92.16
10:46:25 PM     all      2.24      0.00      3.62      0.00      0.10     94.04
10:46:26 PM     all      4.02      0.00      3.99      0.00      0.10     91.89
10:46:27 PM     all      7.29      0.00      4.92      0.00      0.10     87.69
10:46:28 PM     all      4.77      0.00      4.38      0.00      0.10     90.75
10:46:29 PM     all      7.33      0.00      4.49      0.00      0.10     88.09
10:46:30 PM     all      4.68      0.00      5.30      0.00      0.10     89.91
10:46:31 PM     all      4.30      0.00      4.00      0.00      0.07     91.64
10:46:32 PM     all      5.66      0.00      5.17      0.00      0.10     89.07
10:46:33 PM     all      4.72      0.00      4.69      0.00      0.10     90.49
10:46:34 PM     all      2.59      0.00      4.88      0.00      0.10     92.44
10:46:35 PM     all      4.90      0.00      4.96      0.00      0.10     90.04
10:46:36 PM     all      6.00      0.00      4.68      0.00      0.10     89.21
10:46:37 PM     all      3.57      0.00      3.54      0.00      0.10     92.78
10:46:38 PM     all      3.82      0.00      4.15      0.00      0.07     91.97
10:46:39 PM     all      3.07      0.00      4.28      0.00      0.10     92.55
10:46:40 PM     all      4.22      0.00      3.95      0.00      0.07     91.76
10:46:41 PM     all      6.92      0.00      5.01      0.00      0.13     87.94
10:46:42 PM     all      4.93      0.00      4.50      0.00      0.10     90.47
10:46:43 PM     all      4.22      0.00      4.35      0.00      0.07     91.37
10:46:44 PM     all      3.29      0.00      4.12      0.00      0.10     92.49
10:46:45 PM     all      3.89      0.00      4.58      0.00      0.10     91.43
10:46:46 PM     all      3.06      0.00      3.82      0.00      0.10     93.02
10:46:47 PM     all      2.75      0.00      4.91      0.00      0.07     92.27
10:46:48 PM     all      0.89      0.00      4.23      0.00      0.10     94.78
10:46:49 PM     all      2.13      0.00      4.20      0.00      0.07     93.60
10:46:50 PM     all      3.00      0.00      4.02      0.00      0.10     92.89
10:46:51 PM     all      3.58      0.00      4.28      0.00      0.13     92.01
10:46:52 PM     all      5.20      0.00      4.24      0.00      0.10     90.46
10:46:53 PM     all      2.23      0.00      4.39      0.00      0.07     93.32
10:46:54 PM     all      1.57      0.00      4.72      0.00      0.10     93.61
10:46:55 PM     all      1.41      0.00      3.80      0.00      0.07     94.72
10:46:56 PM     all      4.14      0.00      4.77      0.00      0.10     90.99
10:46:57 PM     all      5.40      0.00      5.36      0.00      0.10     89.14
10:46:58 PM     all      5.38      0.00      5.08      0.00      0.07     89.47
10:46:59 PM     all      5.50      0.00      5.66      0.00      0.07     88.77
10:47:00 PM     all      6.81      0.00      5.03      0.00      0.10     88.06
10:47:01 PM     all      6.85      0.00      4.82      0.00      0.10     88.23
10:47:02 PM     all      3.64      0.00      4.76      0.00      0.10     91.50
10:47:03 PM     all      3.07      0.00      5.06      0.00      0.07     91.81
10:47:04 PM     all      3.93      0.00      5.00      0.00      0.06     91.01
10:47:05 PM     all      5.37      0.00      6.44      0.00      0.06     88.12
10:47:06 PM     all      3.39      0.00      6.01      0.00      0.06     90.54
10:47:07 PM     all      3.49      0.00      5.32      0.00      0.07     91.12
10:47:08 PM     all      2.69      0.00      5.29      0.00      0.06     91.95
10:47:09 PM     all      3.46      0.00      5.15      0.00      0.07     91.32
10:47:10 PM     all      6.91      0.00      5.38      0.00      0.10     87.61
10:47:11 PM     all      4.46      0.00      5.40      0.00      0.03     90.10
10:47:12 PM     all      3.79      0.00      4.45      0.00      0.13     91.63
10:47:13 PM     all      2.22      0.00      4.31      0.00      0.07     93.40
10:47:14 PM     all      4.41      0.00      4.90      0.00      0.07     90.62
10:47:15 PM     all      2.42      0.00      4.25      0.00      0.07     93.27
10:47:16 PM     all      4.72      0.00      5.08      0.00      0.07     90.13
10:47:17 PM     all      5.14      0.00      5.31      0.00      0.10     89.45
10:47:18 PM     all      4.12      0.00      5.62      0.00      0.06     90.19
10:47:19 PM     all      6.33      0.00      5.42      0.00      0.10     88.15
10:47:20 PM     all      3.27      0.00      4.64      0.00      0.07     92.02
10:47:21 PM     all      7.49      0.00      5.77      0.00      0.10     86.64
10:47:22 PM     all      1.42      0.00      5.41      0.00      0.06     93.10
10:47:23 PM     all      5.09      0.00      5.91      0.00      0.06     88.94
10:47:24 PM     all      3.88      0.00      5.05      0.00      0.03     91.04
10:47:25 PM     all      3.99      0.00      5.10      0.00      0.10     90.81
10:47:26 PM     all      2.53      0.00      4.17      0.00      0.10     93.21
10:47:27 PM     all      5.32      0.00      4.73      0.00      0.10     89.85
10:47:28 PM     all      4.19      0.00      4.61      0.00      0.03     91.17
10:47:29 PM     all      4.55      0.00      4.65      0.00      0.10     90.71
10:47:30 PM     all      5.82      0.00      5.56      0.00      0.10     88.52
10:47:31 PM     all      4.79      0.00      5.41      0.00      0.07     89.73
10:47:32 PM     all      6.44      0.00      5.66      0.00      0.07     87.84
10:47:33 PM     all      6.50      0.00      5.69      0.00      0.07     87.74
10:47:34 PM     all      5.86      0.00      5.76      0.00      0.07     88.31
10:47:35 PM     all      4.87      0.00      5.85      0.00      0.06     89.21
10:47:36 PM     all      6.02      0.00      6.21      0.00      0.06     87.71
10:47:37 PM     all      1.85      0.00      5.64      0.00      0.06     92.45
10:47:38 PM     all      2.05      0.00      4.94      0.00      0.03     92.99
10:47:39 PM     all      2.76      0.00      5.36      0.00      0.06     91.82
10:47:40 PM     all      3.98      0.00      5.35      0.00      0.10     90.57
10:47:41 PM     all      4.94      0.00      5.53      0.00      0.07     89.47
10:47:42 PM     all      1.95      0.00      5.42      0.00      0.06     92.56
10:47:43 PM     all      1.27      0.00      4.89      0.00      0.07     93.77
10:47:44 PM     all      2.16      0.00      4.16      0.00      0.07     93.62
10:47:45 PM     all      2.86      0.00      4.94      0.00      0.10     92.10
10:47:46 PM     all      2.82      0.00      4.73      0.00      0.07     92.38
10:47:47 PM     all      4.57      0.00      5.22      0.00      0.06     90.14
10:47:48 PM     all      3.57      0.00      5.45      0.00      0.06     90.91
10:47:49 PM     all      3.42      0.00      5.58      0.00      0.07     90.93
10:47:50 PM     all      2.66      0.00      4.87      0.00      0.06     92.40
10:47:51 PM     all      2.09      0.00      5.65      0.00      0.10     92.16
10:47:52 PM     all      2.53      0.00      5.16      0.00      0.06     92.25
10:47:53 PM     all      4.57      0.00      5.28      0.00      0.07     90.08
10:47:54 PM     all      5.61      0.00      5.90      0.00      0.06     88.42
10:47:55 PM     all      4.88      0.00      5.73      0.00      0.07     89.33
10:47:56 PM     all      3.90      0.00      5.16      0.00      0.06     90.87
10:47:57 PM     all      4.18      0.00      5.38      0.00      0.10     90.34
10:47:58 PM     all      3.80      0.00      5.45      0.00      0.03     90.71
10:47:59 PM     all      7.03      0.00      6.31      0.00      0.10     86.56
10:48:00 PM     all      1.55      0.00      5.98      0.00      0.06     92.40
10:48:01 PM     all      8.10      0.00      6.77      0.00      0.06     85.07
10:48:02 PM     all      4.15      0.00      6.46      0.00      0.03     89.36
10:48:03 PM     all      3.08      0.00      5.94      0.00      0.06     90.91
10:48:04 PM     all      5.34      0.00      5.47      0.00      0.10     89.09
10:48:05 PM     all      5.00      0.00      5.55      0.00      0.06     89.38
10:48:06 PM     all      5.54      0.00      6.42      0.00      0.07     87.98
10:48:07 PM     all      4.69      0.00      6.21      0.00      0.06     89.04
10:48:08 PM     all      2.16      0.00      6.32      0.00      0.06     91.46
10:48:09 PM     all      4.61      0.00      6.38      0.00      0.03     88.98
10:48:10 PM     all      4.96      0.00      6.64      0.00      0.06     88.33
10:48:11 PM     all      2.04      0.00      5.28      0.00      0.06     92.62
10:48:12 PM     all      6.65      0.00      6.58      0.00      0.10     86.68
10:48:13 PM     all      3.63      0.00      5.51      0.00      0.03     90.82
10:48:14 PM     all      5.89      0.00      5.86      0.00      0.06     88.19
10:48:15 PM     all      3.55      0.00      5.75      0.00      0.03     90.66
10:48:16 PM     all      4.23      0.00      5.30      0.00      0.07     90.41
10:48:17 PM     all      4.25      0.00      5.39      0.00      0.06     90.29
10:48:18 PM     all      3.09      0.00      5.57      0.00      0.07     91.27
10:48:19 PM     all      4.25      0.00      5.81      0.00      0.06     89.87
10:48:20 PM     all      5.49      0.00      6.00      0.00      0.06     88.45
10:48:21 PM     all      1.81      0.00      5.79      0.00      0.06     92.33
10:48:22 PM     all      5.33      0.00      5.14      0.00      0.07     89.46
10:48:23 PM     all      4.59      0.00      6.05      0.00      0.06     89.29
10:48:24 PM     all      9.08      0.00      6.81      0.00      0.06     84.04
10:48:25 PM     all      4.93      0.00      6.70      0.00      0.06     88.31
10:48:26 PM     all      3.49      0.00      6.11      0.00      0.06     90.34
10:48:27 PM     all      2.67      0.00      6.65      0.00      0.06     90.62
10:48:28 PM     all      4.34      0.00      6.45      0.00      0.03     89.18
10:48:29 PM     all      3.18      0.00      5.83      0.00      0.06     90.93
10:48:30 PM     all      4.24      0.00      5.60      0.00      0.03     90.14
10:48:31 PM     all      3.75      0.00      5.39      0.00      0.06     90.79
10:48:32 PM     all      3.98      0.00      6.02      0.00      0.06     89.94
10:48:33 PM     all      4.86      0.00      5.67      0.00      0.07     89.40
10:48:34 PM     all      3.45      0.00      5.84      0.00      0.06     90.64
10:48:35 PM     all      3.11      0.00      5.73      0.00      0.03     91.14
10:48:36 PM     all      3.80      0.00      6.06      0.00      0.06     90.07
10:48:37 PM     all      4.82      0.00      6.28      0.00      0.07     88.83
10:48:38 PM     all      6.35      0.00      6.32      0.00      0.06     87.27
10:48:39 PM     all     10.05      0.00      6.34      0.00      0.07     83.55
10:48:40 PM     all      5.35      0.00      5.41      0.00      0.07     89.18
10:48:41 PM     all      2.77      0.00      4.96      0.00      0.07     92.21
10:48:42 PM     all      3.90      0.00      6.11      0.00      0.06     89.93
10:48:43 PM     all      3.88      0.00      6.50      0.00      0.10     89.51
10:48:44 PM     all      1.52      0.00      6.05      0.00      0.06     92.36
10:48:45 PM     all      4.28      0.00      5.71      0.00      0.07     89.94
10:48:46 PM     all      6.13      0.00      6.68      0.00      0.06     87.13
10:48:47 PM     all      4.48      0.00      6.16      0.00      0.06     89.30
10:48:48 PM     all      3.88      0.00      6.08      0.00      0.06     89.98
10:48:49 PM     all      4.65      0.00      5.63      0.00      0.07     89.65
10:48:50 PM     all      3.76      0.00      5.80      0.00      0.10     90.34
10:48:51 PM     all      1.72      0.00      4.62      0.00      0.03     93.63
10:48:52 PM     all      2.56      0.00      5.42      0.00      0.06     91.95
10:48:53 PM     all      8.46      0.00      6.92      0.00      0.13     84.49
10:48:54 PM     all      2.71      0.00      5.82      0.00      0.03     91.44
10:48:55 PM     all      3.23      0.00      6.10      0.00      0.06     90.60
10:48:56 PM     all      5.25      0.00      6.48      0.00      0.06     88.21
10:48:57 PM     all      4.47      0.00      6.49      0.00      0.06     88.98
10:48:58 PM     all      3.92      0.00      5.87      0.00      0.06     90.15
10:48:59 PM     all      3.02      0.00      5.71      0.00      0.03     91.25
10:49:00 PM     all      3.49      0.00      5.83      0.00      0.10     90.59
10:49:01 PM     all      3.88      0.00      5.53      0.00      0.06     90.53
10:49:02 PM     all      4.94      0.00      6.23      0.00      0.03     88.80
