Linux 3.10.0-327.13.1.el7.x86_64 (ip-192-168-1-252.us-west-2.compute.internal) 	04/21/2016 	_x86_64_	(32 CPU)

08:48:25 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:48:26 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:48:27 PM     all     35.73      0.00      6.73      0.00      0.03     57.51
08:48:28 PM     all     69.34      0.00     15.28      0.00      0.31     15.07
08:48:29 PM     all     71.66      0.00     20.01      0.00      0.28      8.05
08:48:30 PM     all     68.28      0.00     21.45      0.00      0.13     10.13
08:48:31 PM     all      4.53      0.00      5.21      0.00      0.14     90.13
08:48:32 PM     all      4.19      0.00      4.90      0.00      0.10     90.81
08:48:33 PM     all      4.12      0.00      4.59      0.00      0.13     91.16
08:48:34 PM     all      4.18      0.00      4.38      0.00      0.10     91.34
08:48:35 PM     all      4.21      0.00      4.68      0.00      0.13     90.98
08:48:36 PM     all      4.17      0.00      4.61      0.00      0.10     91.12
08:48:37 PM     all      4.33      0.00      4.30      0.00      0.10     91.28
08:48:38 PM     all      4.20      0.00      4.53      0.00      0.14     91.13
08:48:39 PM     all      4.21      0.00      4.35      0.00      0.10     91.34
08:48:40 PM     all      4.41      0.00      4.45      0.00      0.17     90.97
08:48:41 PM     all      4.26      0.00      4.39      0.00      0.10     91.24
08:48:42 PM     all      4.47      0.00      4.61      0.00      0.10     90.82
08:48:43 PM     all      4.24      0.00      4.82      0.00      0.14     90.80
08:48:44 PM     all      4.63      0.00      4.97      0.00      0.10     90.30
08:48:45 PM     all      4.04      0.00      4.51      0.00      0.13     91.31
08:48:46 PM     all      4.70      0.00      4.56      0.00      0.10     90.64
08:48:47 PM     all      4.29      0.00      4.50      0.00      0.10     91.11
08:48:48 PM     all      4.17      0.00      4.47      0.00      0.13     91.22
08:48:49 PM     all      4.42      0.00      4.62      0.00      0.10     90.86
08:48:50 PM     all      5.05      0.00      5.19      0.00      0.10     89.66
08:48:51 PM     all      5.44      0.00      5.10      0.00      0.10     89.36
08:48:52 PM     all      4.20      0.00      5.06      0.00      0.10     90.64
08:48:53 PM     all      4.59      0.00      5.22      0.00      0.10     90.09
08:48:54 PM     all      6.49      0.00      5.62      0.00      0.10     87.79
08:48:55 PM     all      6.73      0.00      4.96      0.00      0.10     88.21
08:48:56 PM     all      6.27      0.00      5.51      0.00      0.10     88.12
08:48:57 PM     all      5.54      0.00      5.40      0.00      0.13     88.93
