Linux 3.10.0-327.13.1.el7.x86_64 (ip-192-168-1-252.us-west-2.compute.internal) 	04/22/2016 	_x86_64_	(32 CPU)

02:39:25 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:39:26 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:39:27 AM     all     38.16      0.00      7.08      0.00      0.10     54.66
02:39:28 AM     all     66.00      0.00     15.62      0.00      0.31     18.07
02:39:29 AM     all     71.82      0.00     20.16      0.00      0.24      7.77
02:39:30 AM     all     66.76      0.00     21.80      0.00      0.32     11.13
02:39:31 AM     all      5.70      0.00      3.97      0.00      0.30     90.03
02:39:32 AM     all      1.53      0.00      2.72      0.00      0.30     95.45
02:39:33 AM     all      1.49      0.00      2.57      0.00      0.30     95.63
02:39:34 AM     all      1.53      0.00      2.46      0.00      0.30     95.72
02:39:35 AM     all      1.34      0.00      2.87      0.00      0.26     95.53
02:39:36 AM     all      1.37      0.00      3.00      0.00      0.33     95.29
02:39:37 AM     all      1.38      0.00      2.53      0.00      0.26     95.83
02:39:38 AM     all      1.56      0.00      2.90      0.00      0.30     95.24
02:39:39 AM     all      1.44      0.00      3.04      0.00      0.30     95.22
02:39:40 AM     all      1.73      0.00      3.02      0.00      0.26     94.99
02:39:41 AM     all      1.66      0.00      2.85      0.00      0.30     95.19
02:39:42 AM     all      1.66      0.00      3.21      0.00      0.26     94.87
02:39:43 AM     all      1.45      0.00      2.94      0.00      0.30     95.32
02:39:44 AM     all      1.62      0.00      3.28      0.00      0.29     94.81
02:39:45 AM     all      1.63      0.00      3.40      0.00      0.30     94.68
02:39:46 AM     all      1.59      0.00      3.08      0.00      0.30     95.04
02:39:47 AM     all      1.66      0.00      3.51      0.00      0.30     94.54
02:39:48 AM     all      1.66      0.00      3.54      0.00      0.30     94.50
02:39:49 AM     all      1.51      0.00      3.13      0.00      0.29     95.07
02:39:50 AM     all      1.67      0.00      3.63      0.00      0.26     94.44
02:39:51 AM     all      1.83      0.00      3.59      0.00      0.29     94.29
02:39:52 AM     all      1.88      0.00      3.42      0.00      0.26     94.44
02:39:53 AM     all      1.73      0.00      3.49      0.00      0.29     94.49
02:39:54 AM     all      1.98      0.00      3.78      0.00      0.29     93.95
02:39:55 AM     all      1.70      0.00      3.65      0.00      0.26     94.40
02:39:56 AM     all      2.67      0.00      3.58      0.00      0.29     93.46
02:39:57 AM     all      3.78      0.00      4.22      0.00      0.29     91.70
02:39:58 AM     all      1.87      0.00      3.48      0.00      0.26     94.40
