Linux 3.10.0-327.13.1.el7.x86_64 (ip-192-168-1-252.us-west-2.compute.internal) 	04/21/2016 	_x86_64_	(32 CPU)

08:19:17 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:19:18 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:19:19 PM     all      9.88      0.00      0.91      0.00      0.00     89.21
08:19:20 PM     all     94.94      0.00      4.00      0.00      0.00      1.06
08:19:21 PM     all     95.84      0.00      4.16      0.00      0.00      0.00
08:19:22 PM     all     95.44      0.00      4.56      0.00      0.00      0.00
08:19:23 PM     all     94.09      0.00      5.82      0.00      0.00      0.09
08:19:24 PM     all     93.49      0.00      6.44      0.00      0.00      0.06
08:19:25 PM     all     90.13      0.00      9.31      0.00      0.03      0.53
08:19:26 PM     all     89.65      0.00      9.82      0.00      0.03      0.50
08:19:27 PM     all     87.81      0.00     11.36      0.00      0.03      0.79
08:19:28 PM     all     84.81      0.00     12.30      0.00      0.06      2.83
08:19:29 PM     all     21.67      0.00      6.18      0.00      0.29     71.87
08:19:30 PM     all      2.45      0.00      4.24      0.00      0.22     93.10
08:19:31 PM     all      2.27      0.00      3.86      0.00      0.25     93.61
08:19:32 PM     all      2.33      0.00      3.86      0.00      0.25     93.56
08:19:33 PM     all      2.03      0.00      3.59      0.00      0.25     94.12
08:19:34 PM     all      2.29      0.00      3.71      0.00      0.22     93.78
08:19:35 PM     all      2.27      0.00      3.60      0.00      0.25     93.88
08:19:36 PM     all      2.41      0.00      3.70      0.00      0.25     93.64
08:19:37 PM     all      2.33      0.00      3.88      0.00      0.25     93.53
08:19:38 PM     all      2.45      0.00      3.82      0.00      0.25     93.48
08:19:39 PM     all      2.37      0.00      3.91      0.00      0.25     93.47
08:19:40 PM     all      2.50      0.00      3.75      0.00      0.21     93.54
08:19:41 PM     all      2.41      0.00      3.70      0.00      0.29     93.60
08:19:42 PM     all      2.44      0.00      4.02      0.00      0.22     93.33
08:19:43 PM     all      2.68      0.00      4.21      0.00      0.25     92.86
08:19:44 PM     all      2.53      0.00      3.92      0.00      0.21     93.33
08:19:45 PM     all      2.47      0.00      4.23      0.00      0.25     93.05
08:19:46 PM     all      2.58      0.00      4.01      0.00      0.21     93.20
08:19:47 PM     all      2.78      0.00      4.34      0.00      0.25     92.63
08:19:48 PM     all      2.61      0.00      4.32      0.00      0.25     92.82
08:19:49 PM     all      2.52      0.00      4.03      0.00      0.25     93.20
08:19:50 PM     all      2.74      0.00      4.42      0.00      0.21     92.63
08:19:51 PM     all      2.80      0.00      4.40      0.00      0.25     92.56
