Linux 3.10.0-327.13.1.el7.x86_64 (ip-192-168-1-252.us-west-2.compute.internal) 	04/22/2016 	_x86_64_	(32 CPU)

12:42:42 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:42:43 AM     all      0.03      0.00      0.00      0.00      0.00     99.97
12:42:44 AM     all     33.93      0.00      2.07      0.00      0.03     63.97
12:42:45 AM     all     93.65      0.00      4.32      0.00      0.00      2.03
12:42:46 AM     all     95.31      0.00      4.66      0.00      0.00      0.03
12:42:47 AM     all     95.19      0.00      4.81      0.00      0.00      0.00
12:42:48 AM     all     94.34      0.00      5.66      0.00      0.00      0.00
12:42:49 AM     all     93.62      0.00      6.35      0.00      0.00      0.03
12:42:50 AM     all     92.34      0.00      7.66      0.00      0.00      0.00
12:42:51 AM     all     90.79      0.00      9.06      0.00      0.00      0.16
12:42:52 AM     all     87.51      0.00     11.57      0.00      0.03      0.89
12:42:53 AM     all     69.87      0.00     11.38      0.00      0.21     18.55
12:42:54 AM     all      1.78      0.00      2.54      0.00      0.34     95.34
12:42:55 AM     all      0.84      0.00      2.09      0.00      0.34     96.73
12:42:56 AM     all      0.76      0.00      1.87      0.00      0.34     97.02
12:42:57 AM     all      0.87      0.00      2.01      0.00      0.34     96.77
12:42:58 AM     all      0.69      0.00      1.83      0.00      0.34     97.14
12:42:59 AM     all      0.76      0.00      1.98      0.00      0.34     96.92
12:43:00 AM     all      0.76      0.00      2.02      0.00      0.34     96.88
12:43:01 AM     all      0.68      0.00      1.86      0.00      0.38     97.07
12:43:02 AM     all      0.72      0.00      1.79      0.00      0.34     97.14
12:43:03 AM     all      0.72      0.00      2.06      0.00      0.34     96.88
12:43:04 AM     all      0.84      0.00      2.13      0.00      0.30     96.73
12:43:05 AM     all      0.76      0.00      2.06      0.00      0.38     96.80
12:43:06 AM     all      0.83      0.00      2.20      0.00      0.30     96.66
12:43:07 AM     all      0.80      0.00      2.05      0.00      0.34     96.81
12:43:08 AM     all      0.88      0.00      2.17      0.00      0.34     96.61
12:43:09 AM     all      0.76      0.00      1.94      0.00      0.34     96.95
12:43:10 AM     all      0.84      0.00      2.05      0.00      0.34     96.77
12:43:11 AM     all      0.76      0.00      1.94      0.00      0.34     96.96
12:43:12 AM     all      0.80      0.00      1.87      0.00      0.30     97.03
12:43:13 AM     all      0.76      0.00      2.05      0.00      0.34     96.84
12:43:14 AM     all      0.84      0.00      1.94      0.00      0.34     96.88
12:43:15 AM     all      3.04      0.00      2.05      0.00      0.34     94.57
12:43:16 AM     all      1.59      0.00      2.42      0.00      0.34     95.65
12:43:17 AM     all      3.23      0.00      2.32      0.00      0.34     94.10
12:43:18 AM     all      4.07      0.00      2.24      0.00      0.30     93.38
12:43:19 AM     all      2.01      0.00      2.13      0.00      0.34     95.52
12:43:20 AM     all      9.59      0.00      2.75      0.00      0.34     87.31
12:43:21 AM     all      8.66      0.00      3.86      0.00      0.38     87.10
12:43:22 AM     all      8.24      0.00      3.64      0.00      0.34     87.78
12:43:23 AM     all     20.84      0.00      4.71      0.00      0.38     74.06
12:43:24 AM     all     23.11      0.00      6.08      0.00      0.34     70.47
12:43:25 AM     all     11.70      0.00      3.71      0.00      0.38     84.22
12:43:26 AM     all     11.67      0.00      3.48      0.00      0.34     84.50
12:43:27 AM     all     20.08      0.00      4.42      0.00      0.42     75.08
12:43:28 AM     all     23.78      0.00      4.60      0.00      0.38     71.23
12:43:29 AM     all     16.87      0.00      4.08      0.00      0.38     78.66
12:43:30 AM     all     22.47      0.00      4.41      0.00      0.35     72.78
12:43:31 AM     all      8.01      0.00      3.01      0.00      0.38     88.60
12:43:32 AM     all     26.24      0.00      4.66      0.00      0.39     68.71
12:43:33 AM     all     14.00      0.00      3.87      0.00      0.38     81.75
12:43:34 AM     all     19.22      0.00      4.34      0.00      0.38     76.06
12:43:35 AM     all     25.58      0.00      5.56      0.00      0.42     68.43
12:43:36 AM     all     27.12      0.00      5.44      0.00      0.42     67.02
12:43:37 AM     all     62.82      0.00      9.91      0.00      0.36     26.91
12:43:38 AM     all     81.09      0.00     11.74      0.00      0.13      7.04
12:43:39 AM     all     84.50      0.00     11.34      0.00      0.06      4.10
12:43:40 AM     all     82.84      0.00     11.66      0.00      0.10      5.41
12:43:41 AM     all     32.24      0.00      6.73      0.00      0.38     60.65
12:43:42 AM     all      4.11      0.00      2.47      0.00      0.34     93.07
12:43:43 AM     all      4.54      0.00      2.52      0.00      0.34     92.60
12:43:44 AM     all      5.28      0.00      2.51      0.00      0.34     91.87
12:43:45 AM     all      1.06      0.00      2.31      0.00      0.34     96.29
12:43:46 AM     all      1.52      0.00      2.13      0.00      0.38     95.96
12:43:47 AM     all      2.48      0.00      2.21      0.00      0.34     94.97
12:43:48 AM     all      0.95      0.00      2.16      0.00      0.34     96.55
12:43:49 AM     all      0.87      0.00      2.02      0.00      0.34     96.77
12:43:50 AM     all      0.87      0.00      2.12      0.00      0.34     96.66
12:43:51 AM     all      1.09      0.00      2.30      0.00      0.34     96.26
12:43:52 AM     all      0.95      0.00      2.12      0.00      0.30     96.63
12:43:53 AM     all      3.38      0.00      2.47      0.00      0.34     93.81
12:43:54 AM     all      0.87      0.00      2.16      0.00      0.34     96.62
12:43:55 AM     all      3.22      0.00      2.58      0.00      0.30     93.90
12:43:56 AM     all      5.43      0.00      2.62      0.00      0.34     91.60
12:43:57 AM     all      4.22      0.00      2.72      0.00      0.34     92.72
12:43:58 AM     all      3.10      0.00      2.50      0.00      0.30     94.10
12:43:59 AM     all      2.58      0.00      2.09      0.00      0.34     94.99
12:44:00 AM     all      1.40      0.00      2.20      0.00      0.34     96.05
12:44:01 AM     all      1.55      0.00      2.16      0.00      0.34     95.95
12:44:02 AM     all      5.29      0.00      2.44      0.00      0.30     91.96
12:44:03 AM     all      4.84      0.00      2.29      0.00      0.34     92.53
12:44:04 AM     all      7.31      0.00      3.08      0.00      0.34     89.26
12:44:05 AM     all      3.02      0.00      2.34      0.00      0.38     94.25
12:44:06 AM     all      5.35      0.00      3.01      0.00      0.30     91.33
12:44:07 AM     all     14.49      0.00      3.49      0.00      0.34     81.68
12:44:08 AM     all     10.21      0.00      3.07      0.00      0.38     86.34
12:44:09 AM     all     13.88      0.00      3.58      0.00      0.38     82.16
12:44:10 AM     all     19.90      0.00      4.29      0.00      0.38     75.42
12:44:11 AM     all      6.71      0.00      2.63      0.00      0.34     90.31
12:44:12 AM     all     19.46      0.00      4.03      0.00      0.35     76.16
12:44:13 AM     all     18.76      0.00      4.42      0.00      0.42     76.39
12:44:14 AM     all     27.27      0.00      5.32      0.00      0.38     67.02
12:44:15 AM     all     18.03      0.00      4.22      0.00      0.34     77.41
12:44:16 AM     all      9.38      0.00      3.19      0.00      0.34     87.09
12:44:17 AM     all     10.16      0.00      3.05      0.00      0.38     86.41
12:44:18 AM     all     11.39      0.00      3.94      0.00      0.34     84.33
12:44:19 AM     all     19.72      0.00      4.45      0.00      0.38     75.45
12:44:20 AM     all     13.19      0.00      4.45      0.00      0.38     81.98
12:44:21 AM     all     24.95      0.00      5.33      0.00      0.42     69.30
12:44:22 AM     all     20.08      0.00      5.30      0.00      0.38     74.24
12:44:23 AM     all     30.84      0.00      6.16      0.00      0.38     62.62
12:44:24 AM     all     63.38      0.00     11.07      0.00      0.32     25.22
12:44:25 AM     all     45.42      0.00      9.42      0.00      0.41     44.75
12:44:26 AM     all     42.18      0.00      7.90      0.00      0.37     49.55
12:44:27 AM     all     34.69      0.00      6.32      0.00      0.42     58.57
12:44:28 AM     all     38.21      0.00      7.56      0.00      0.38     53.85
12:44:29 AM     all     22.90      0.00      5.14      0.00      0.38     71.58
12:44:30 AM     all     12.27      0.00      3.10      0.00      0.38     84.26
12:44:31 AM     all      1.35      0.00      2.74      0.00      0.30     95.61
12:44:32 AM     all      1.28      0.00      2.38      0.00      0.30     96.04
12:44:33 AM     all      3.09      0.00      2.45      0.00      0.34     94.12
12:44:34 AM     all      2.90      0.00      2.86      0.00      0.34     93.91
12:44:35 AM     all      2.11      0.00      2.68      0.00      0.30     94.90
12:44:36 AM     all      1.24      0.00      2.59      0.00      0.34     95.84
