Linux 3.10.0-327.13.1.el7.x86_64 (ip-192-168-1-252.us-west-2.compute.internal) 	04/21/2016 	_x86_64_	(32 CPU)

07:38:43 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:38:44 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:38:45 PM     all     22.67      0.00      3.64      0.00      0.06     73.63
07:38:46 PM     all      0.03      0.00      0.07      0.00      0.31     99.58
07:38:47 PM     all      0.04      0.00      0.11      0.00      0.46     99.40
07:38:48 PM     all      0.00      0.00      0.07      0.00      0.39     99.54
07:38:49 PM     all      0.03      0.00      0.07      0.00      0.62     99.27
07:38:50 PM     all      0.00      0.00      0.07      0.00      0.31     99.62
07:38:51 PM     all      0.03      0.00      0.07      0.00      0.35     99.55
07:38:52 PM     all      0.03      0.00      0.07      0.00      0.49     99.41
07:38:53 PM     all      0.00      0.00      0.07      0.00      0.56     99.37
07:38:54 PM     all      1.08      0.00      0.17      0.00      0.38     98.36
07:38:55 PM     all     18.22      0.00      2.92      0.00      0.41     78.45
07:38:56 PM     all      0.83      0.00      0.10      0.00      0.35     98.72
07:38:57 PM     all      0.00      0.00      0.07      0.00      0.52     99.41
07:38:58 PM     all      0.00      0.00      0.07      0.00      0.31     99.62
07:38:59 PM     all      0.03      0.00      0.03      0.00      0.42     99.51
07:39:00 PM     all      0.00      0.00      0.07      0.00      0.45     99.48
07:39:01 PM     all      0.00      0.00      0.03      0.00      0.52     99.44
07:39:02 PM     all      0.03      0.00      0.07      0.00      0.38     99.51
07:39:03 PM     all      0.00      0.00      0.07      0.00      0.46     99.47
07:39:04 PM     all      2.88      0.00      0.73      0.00      0.55     95.84
07:39:05 PM     all     16.08      0.00      2.39      0.00      0.31     81.23
07:39:06 PM     all      0.80      0.00      0.17      0.00      0.31     98.72
07:39:07 PM     all      0.03      0.00      0.07      0.00      0.45     99.44
07:39:08 PM     all      0.00      0.00      0.07      0.00      0.38     99.55
07:39:09 PM     all      0.03      0.00      0.07      0.00      0.55     99.34
07:39:10 PM     all      0.03      0.00      0.03      0.00      0.35     99.58
07:39:11 PM     all      0.00      0.00      0.10      0.00      0.42     99.48
07:39:12 PM     all      0.03      0.00      0.03      0.00      0.42     99.51
07:39:13 PM     all      0.00      0.00      0.03      0.00      0.56     99.41
07:39:14 PM     all      4.17      0.00      0.93      0.00      0.48     94.42
07:39:15 PM     all     12.85      0.00      1.74      0.00      0.31     85.10
07:39:16 PM     all      2.10      0.00      0.28      0.00      0.31     97.31
07:39:17 PM     all      0.00      0.00      0.00      0.00      0.48     99.52
07:39:18 PM     all      0.80      0.00      0.17      0.00      0.35     98.68
07:39:19 PM     all      0.03      0.00      0.03      0.00      0.38     99.55
07:39:20 PM     all      0.00      0.00      0.03      0.00      0.52     99.45
07:39:21 PM     all      0.00      0.00      0.03      0.00      0.48     99.48
07:39:22 PM     all      0.03      0.00      0.07      0.00      0.35     99.55
07:39:23 PM     all      0.03      0.00      0.03      0.00      0.42     99.51
07:39:24 PM     all      2.00      0.00      0.52      0.00      0.52     96.96
07:39:25 PM     all      8.76      0.00      1.23      0.00      0.44     89.57
07:39:26 PM     all      8.18      0.00      1.16      0.00      0.27     90.38
07:39:27 PM     all      0.00      0.00      0.03      0.00      0.35     99.62
07:39:28 PM     all      0.80      0.00      0.17      0.00      0.45     98.58
07:39:29 PM     all      0.00      0.00      0.07      0.00      0.52     99.41
07:39:30 PM     all      0.03      0.00      0.03      0.00      0.28     99.65
07:39:31 PM     all      0.00      0.00      0.07      0.00      0.45     99.48
07:39:32 PM     all      0.00      0.00      0.07      0.00      0.52     99.41
07:39:33 PM     all      0.14      0.00      0.07      0.00      0.52     99.27
07:39:34 PM     all      1.42      0.00      0.24      0.00      0.35     97.99
07:39:35 PM     all      6.65      0.00      0.96      0.00      0.45     91.94
07:39:36 PM     all      9.57      0.00      1.33      0.00      0.38     88.72
07:39:37 PM     all      1.24      0.00      0.21      0.00      0.41     98.14
07:39:38 PM     all      0.49      0.00      0.10      0.00      0.31     99.10
07:39:39 PM     all      0.35      0.00      0.07      0.00      0.42     99.17
07:39:40 PM     all      0.00      0.00      0.03      0.00      0.45     99.51
07:39:41 PM     all      0.00      0.00      0.03      0.00      0.55     99.41
07:39:42 PM     all      0.00      0.00      0.07      0.00      0.35     99.58
07:39:43 PM     all      0.00      0.00      0.03      0.00      0.42     99.55
07:39:44 PM     all      1.52      0.00      0.38      0.00      0.48     97.62
07:39:45 PM     all      5.11      0.00      0.72      0.00      0.48     93.69
07:39:46 PM     all      8.15      0.00      1.23      0.00      0.34     90.28
07:39:47 PM     all      3.48      0.00      0.62      0.00      0.38     95.52
07:39:48 PM     all      0.35      0.00      0.17      0.00      0.45     99.03
07:39:49 PM     all      1.21      0.00      0.17      0.00      0.42     98.20
07:39:50 PM     all      0.03      0.00      0.07      0.00      0.42     99.48
07:39:51 PM     all      0.00      0.00      0.03      0.00      0.35     99.62
