Linux 3.10.0-327.13.1.el7.x86_64 (ip-192-168-1-252.us-west-2.compute.internal) 	04/19/2016 	_x86_64_	(32 CPU)

06:23:56 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:23:57 AM     all      0.00      0.00      0.03      0.00      0.00     99.97
06:23:58 AM     all     22.78      0.00      3.71      0.00      0.06     73.45
06:23:59 AM     all      0.00      0.00      0.04      0.00      0.42     99.54
06:24:00 AM     all      0.04      0.00      0.07      0.00      0.42     99.47
06:24:01 AM     all      0.03      0.00      0.03      0.00      0.45     99.48
06:24:02 AM     all      0.03      0.00      0.03      0.00      0.49     99.44
06:24:03 AM     all      0.00      0.00      0.10      0.00      0.42     99.48
06:24:04 AM     all      0.00      0.00      0.03      0.00      0.45     99.51
06:24:05 AM     all      0.03      0.00      0.07      0.00      0.42     99.48
06:24:06 AM     all      0.00      0.00      0.03      0.00      0.49     99.48
06:24:07 AM     all     18.06      0.00      2.86      0.00      0.48     78.61
06:24:08 AM     all      2.29      0.00      0.35      0.00      0.31     97.05
06:24:09 AM     all      0.00      0.00      0.03      0.00      0.45     99.51
06:24:10 AM     all      0.00      0.00      0.03      0.00      0.45     99.51
06:24:11 AM     all      0.03      0.00      0.03      0.00      0.38     99.55
06:24:12 AM     all      0.03      0.00      0.07      0.00      0.49     99.41
06:24:13 AM     all      0.80      0.00      0.17      0.00      0.45     98.58
06:24:14 AM     all      0.03      0.00      0.03      0.00      0.45     99.48
06:24:15 AM     all      0.94      0.00      0.35      0.00      0.42     98.30
06:24:16 AM     all      7.64      0.00      1.16      0.00      0.58     90.61
06:24:17 AM     all     10.71      0.00      1.24      0.00      0.27     87.78
06:24:18 AM     all      0.03      0.00      0.03      0.00      0.42     99.51
06:24:19 AM     all      0.00      0.00      0.03      0.00      0.45     99.51
06:24:20 AM     all      0.00      0.00      0.07      0.00      0.49     99.44
06:24:21 AM     all      0.03      0.00      0.07      0.00      0.49     99.41
06:24:22 AM     all      0.80      0.00      0.14      0.00      0.42     98.64
