Linux 3.10.0-327.13.1.el7.x86_64 (ip-192-168-1-252.us-west-2.compute.internal) 	04/19/2016 	_x86_64_	(32 CPU)

06:46:00 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:46:01 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
06:46:02 AM     all     23.94      0.00      4.45      0.00      0.10     71.51
06:46:03 AM     all      0.22      0.00      0.50      0.00      0.47     98.81
06:46:04 AM     all      0.25      0.00      0.43      0.00      0.50     98.81
06:46:05 AM     all      0.18      0.00      0.47      0.00      0.54     98.82
06:46:06 AM     all      0.18      0.00      0.25      0.00      0.53     99.04
06:46:07 AM     all      0.18      0.00      0.32      0.00      0.47     99.03
06:46:08 AM     all      0.18      0.00      0.40      0.00      0.50     98.92
06:46:09 AM     all      0.18      0.00      0.36      0.00      0.57     98.89
06:46:10 AM     all      0.21      0.00      0.29      0.00      0.50     99.00
06:46:11 AM     all      0.22      0.00      0.39      0.00      0.50     98.89
06:46:12 AM     all      0.18      0.00      0.39      0.00      0.54     98.89
06:46:13 AM     all      0.22      0.00      0.40      0.00      0.50     98.89
06:46:14 AM     all      0.18      0.00      0.32      0.00      0.54     98.96
06:46:15 AM     all      3.25      0.00      0.75      0.00      0.54     95.46
06:46:16 AM     all     19.50      0.00      2.87      0.00      0.42     77.21
06:46:17 AM     all      0.18      0.00      0.40      0.00      0.47     98.96
06:46:18 AM     all      0.18      0.00      0.36      0.00      0.57     98.89
06:46:19 AM     all      0.22      0.00      0.47      0.00      0.47     98.85
06:46:20 AM     all      0.22      0.00      0.50      0.00      0.54     98.75
06:46:21 AM     all      0.14      0.00      0.32      0.00      0.50     99.03
06:46:22 AM     all      0.18      0.00      0.29      0.00      0.50     99.04
06:46:23 AM     all      0.18      0.00      0.40      0.00      0.54     98.89
06:46:24 AM     all      0.18      0.00      0.36      0.00      0.50     98.96
06:46:25 AM     all      0.18      0.00      0.32      0.00      0.50     98.99
06:46:26 AM     all      0.14      0.00      0.25      0.00      0.54     99.07
06:46:27 AM     all      0.22      0.00      0.25      0.00      0.50     99.03
06:46:28 AM     all      1.14      0.00      0.50      0.00      0.54     97.82
06:46:29 AM     all     16.96      0.00      2.90      0.00      0.49     79.64
06:46:30 AM     all      3.51      0.00      0.64      0.00      0.46     95.39
06:46:31 AM     all      0.14      0.00      0.36      0.00      0.50     98.99
06:46:32 AM     all      0.18      0.00      0.43      0.00      0.47     98.92
06:46:33 AM     all      0.22      0.00      0.43      0.00      0.54     98.82
06:46:34 AM     all      0.18      0.00      0.32      0.00      0.54     98.96
06:46:35 AM     all      0.22      0.00      0.36      0.00      0.54     98.88
06:46:36 AM     all      0.22      0.00      0.40      0.00      0.50     98.89
06:46:37 AM     all      0.25      0.00      0.50      0.00      0.50     98.74
06:46:38 AM     all      0.18      0.00      0.29      0.00      0.50     99.03
06:46:39 AM     all      0.18      0.00      0.39      0.00      0.54     98.89
06:46:40 AM     all      0.22      0.00      0.36      0.00      0.58     98.85
06:46:41 AM     all      0.18      0.00      0.40      0.00      0.47     98.96
06:46:42 AM     all      5.42      0.00      0.89      0.00      0.53     93.17
06:46:43 AM     all     15.27      0.00      2.14      0.00      0.46     82.13
06:46:44 AM     all      0.25      0.00      0.43      0.00      0.51     98.81
06:46:45 AM     all      0.25      0.00      0.40      0.00      0.50     98.85
06:46:46 AM     all      0.18      0.00      0.39      0.00      0.54     98.89
06:46:47 AM     all      0.18      0.00      0.36      0.00      0.50     98.95
06:46:48 AM     all      0.18      0.00      0.36      0.00      0.54     98.92
06:46:49 AM     all      0.29      0.00      0.47      0.00      0.50     98.74
06:46:50 AM     all      0.18      0.00      0.29      0.00      0.54     99.00
06:46:51 AM     all      0.22      0.00      0.40      0.00      0.54     98.85
06:46:52 AM     all      0.22      0.00      0.36      0.00      0.50     98.92
06:46:53 AM     all      0.22      0.00      0.47      0.00      0.54     98.77
06:46:54 AM     all      0.22      0.00      0.39      0.00      0.54     98.85
06:46:55 AM     all      2.22      0.00      0.79      0.00      0.54     96.46
06:46:56 AM     all      9.65      0.00      1.48      0.00      0.49     88.37
06:46:57 AM     all      9.46      0.00      1.56      0.00      0.46     88.52
06:46:58 AM     all      0.18      0.00      0.43      0.00      0.54     98.85
06:46:59 AM     all      0.25      0.00      0.50      0.00      0.47     98.77
06:47:00 AM     all      0.22      0.00      0.36      0.00      0.50     98.92
06:47:01 AM     all      0.25      0.00      0.40      0.00      0.58     98.78
06:47:02 AM     all      0.14      0.00      0.29      0.00      0.54     99.04
06:47:03 AM     all      0.22      0.00      0.36      0.00      0.47     98.96
06:47:04 AM     all      0.22      0.00      0.36      0.00      0.54     98.88
06:47:05 AM     all      0.22      0.00      0.36      0.00      0.54     98.88
06:47:06 AM     all      0.21      0.00      0.32      0.00      0.54     98.93
06:47:07 AM     all      0.25      0.00      0.47      0.00      0.50     98.78
06:47:08 AM     all      2.75      0.00      0.71      0.00      0.57     95.97
06:47:09 AM     all      8.89      0.00      1.66      0.00      0.46     88.99
06:47:10 AM     all      8.92      0.00      1.38      0.00      0.42     89.28
06:47:11 AM     all      0.22      0.00      0.43      0.00      0.50     98.85
06:47:12 AM     all      0.18      0.00      0.40      0.00      0.54     98.89
06:47:13 AM     all      0.18      0.00      0.36      0.00      0.50     98.96
