Linux 3.10.0-327.13.1.el7.x86_64 (ip-192-168-1-252.us-west-2.compute.internal) 	04/21/2016 	_x86_64_	(32 CPU)

06:53:07 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:53:08 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
06:53:09 PM     all     23.92      0.00      4.39      0.00      0.10     71.59
06:53:10 PM     all      0.40      0.00      1.58      0.00      0.48     97.55
06:53:11 PM     all      0.37      0.00      1.02      0.00      0.58     98.03
06:53:12 PM     all      0.33      0.00      1.09      0.00      0.47     98.10
06:53:13 PM     all      0.36      0.00      0.91      0.00      0.55     98.18
06:53:14 PM     all      0.37      0.00      1.10      0.00      0.55     97.99
06:53:15 PM     all      0.44      0.00      1.03      0.00      0.51     98.02
06:53:16 PM     all      0.33      0.00      1.02      0.00      0.55     98.10
06:53:17 PM     all      0.29      0.00      0.76      0.00      0.54     98.40
06:53:18 PM     all      0.44      0.00      1.40      0.00      0.52     97.65
06:53:19 PM     all      0.29      0.00      1.06      0.00      0.55     98.10
06:53:20 PM     all      0.37      0.00      0.91      0.00      0.47     98.25
06:53:21 PM     all      0.36      0.00      0.80      0.00      0.58     98.25
06:53:22 PM     all      2.99      0.00      1.30      0.00      0.50     95.21
06:53:23 PM     all     19.44      0.00      3.29      0.00      0.42     76.85
06:53:24 PM     all      1.20      0.00      1.27      0.00      0.51     97.03
06:53:25 PM     all      0.33      0.00      0.87      0.00      0.54     98.26
06:53:26 PM     all      0.44      0.00      1.21      0.00      0.51     97.83
06:53:27 PM     all      0.37      0.00      1.17      0.00      0.55     97.91
06:53:28 PM     all      0.33      0.00      1.05      0.00      0.51     98.11
06:53:29 PM     all      0.44      0.00      1.14      0.00      0.55     97.87
06:53:30 PM     all      0.52      0.00      1.66      0.00      0.52     97.31
06:53:31 PM     all      0.48      0.00      1.21      0.00      0.55     97.76
06:53:32 PM     all      0.37      0.00      1.06      0.00      0.55     98.03
06:53:33 PM     all      0.36      0.00      0.95      0.00      0.55     98.14
06:53:34 PM     all      0.51      0.00      0.87      0.00      0.51     98.11
06:53:35 PM     all      2.85      0.00      1.39      0.00      0.55     95.22
06:53:36 PM     all     15.18      0.00      2.38      0.00      0.43     82.02
06:53:37 PM     all      2.40      0.00      1.01      0.00      0.54     96.05
06:53:38 PM     all      1.28      0.00      1.21      0.00      0.48     97.04
06:53:39 PM     all      0.40      0.00      1.06      0.00      0.55     97.99
06:53:40 PM     all      0.37      0.00      0.88      0.00      0.55     98.21
06:53:41 PM     all      0.36      0.00      0.69      0.00      0.51     98.44
06:53:42 PM     all      0.33      0.00      0.95      0.00      0.55     98.17
06:53:43 PM     all      0.33      0.00      1.09      0.00      0.55     98.03
06:53:44 PM     all      0.33      0.00      0.91      0.00      0.47     98.29
06:53:45 PM     all      0.25      0.00      0.87      0.00      0.54     98.33
06:53:46 PM     all      0.33      0.00      0.91      0.00      0.55     98.21
06:53:47 PM     all      0.36      0.00      1.02      0.00      0.51     98.10
06:53:48 PM     all      1.71      0.00      1.05      0.00      0.51     96.73
06:53:49 PM     all     11.96      0.00      1.98      0.00      0.50     85.56
06:53:50 PM     all      6.27      0.00      1.51      0.00      0.50     91.71
06:53:51 PM     all      2.15      0.00      1.09      0.00      0.51     96.25
06:53:52 PM     all      0.33      0.00      1.02      0.00      0.55     98.11
06:53:53 PM     all      0.36      0.00      0.83      0.00      0.51     98.29
06:53:54 PM     all      0.40      0.00      1.10      0.00      0.55     97.95
06:53:55 PM     all      0.33      0.00      0.99      0.00      0.51     98.17
06:53:56 PM     all      0.25      0.00      0.91      0.00      0.51     98.32
