Linux 3.10.0-327.13.1.el7.x86_64 (ip-192-168-1-252.us-west-2.compute.internal) 	04/21/2016 	_x86_64_	(32 CPU)

06:44:38 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:44:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:44:40 PM     all     28.12      0.00      1.41      0.00      0.00     70.47
06:44:41 PM     all     45.98      0.00      2.51      0.00      0.20     51.31
06:44:42 PM     all      0.40      0.00      1.32      0.00      0.48     97.81
06:44:43 PM     all      0.40      0.00      1.10      0.00      0.55     97.95
06:44:44 PM     all      0.36      0.00      1.17      0.00      0.51     97.96
06:44:45 PM     all      0.33      0.00      0.76      0.00      0.54     98.37
06:44:46 PM     all      0.37      0.00      0.99      0.00      0.51     98.14
06:44:47 PM     all      0.47      0.00      0.95      0.00      0.51     98.06
06:44:48 PM     all      0.33      0.00      0.98      0.00      0.51     98.18
06:44:49 PM     all      0.33      0.00      0.69      0.00      0.55     98.44
06:44:50 PM     all      0.44      0.00      1.21      0.00      0.55     97.81
06:44:51 PM     all      0.44      0.00      1.14      0.00      0.55     97.87
06:44:52 PM     all      0.44      0.00      1.14      0.00      0.51     97.91
06:44:53 PM     all      0.44      0.00      1.06      0.00      0.55     97.96
06:44:54 PM     all     14.45      0.00      2.08      0.00      0.47     83.00
06:44:55 PM     all     47.73      0.00      2.78      0.00      0.23     49.25
06:44:56 PM     all      7.87      0.00      1.41      0.00      0.47     90.26
06:44:57 PM     all      0.40      0.00      0.98      0.00      0.55     98.07
06:44:58 PM     all      0.40      0.00      1.10      0.00      0.51     97.99
06:44:59 PM     all      0.44      0.00      1.14      0.00      0.51     97.91
06:45:00 PM     all      0.36      0.00      0.80      0.00      0.51     98.33
06:45:01 PM     all      0.33      0.00      0.76      0.00      0.54     98.37
06:45:02 PM     all      0.37      0.00      1.17      0.00      0.55     97.92
06:45:03 PM     all      0.44      0.00      1.02      0.00      0.51     98.03
06:45:04 PM     all      0.36      0.00      1.09      0.00      0.51     98.03
06:45:05 PM     all      0.40      0.00      0.80      0.00      0.54     98.26
06:45:06 PM     all      0.91      0.00      1.09      0.00      0.51     97.49
06:45:07 PM     all     10.49      0.00      1.84      0.00      0.51     87.16
06:45:08 PM     all     10.64      0.00      1.37      0.00      0.50     87.49
06:45:09 PM     all     33.44      0.00      2.43      0.00      0.46     63.68
06:45:10 PM     all      7.08      0.00      1.45      0.00      0.51     90.97
06:45:11 PM     all      0.36      0.00      0.84      0.00      0.47     98.32
06:45:12 PM     all      0.36      0.00      0.84      0.00      0.55     98.25
06:45:13 PM     all      0.33      0.00      0.83      0.00      0.51     98.33
06:45:14 PM     all      0.36      0.00      0.87      0.00      0.55     98.21
06:45:15 PM     all      0.40      0.00      1.06      0.00      0.51     98.03
