Linux 4.4.5-15.26.amzn1.x86_64 (ip-192-168-1-134) 	04/07/2016 	_x86_64_	(32 CPU)

11:52:32 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:52:33 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
11:52:34 PM     all     42.25      0.00      6.45      0.00      0.09     51.20
11:52:35 PM     all     73.22      0.00     15.19      0.00      0.29     11.30
11:52:36 PM     all     78.52      0.00     18.27      0.00      0.06      3.15
11:52:37 PM     all     75.39      0.00     22.00      0.00      0.13      2.49
11:52:38 PM     all     58.96      0.00     19.03      0.00      0.16     21.84
11:52:39 PM     all     49.13      0.00     16.01      0.00      0.23     34.63
11:52:40 PM     all     24.70      0.00     11.42      0.00      0.24     63.65
11:52:41 PM     all      0.75      0.00      6.68      0.00      0.38     92.18
11:52:42 PM     all      0.65      0.00      6.62      0.00      0.31     92.42
11:52:43 PM     all      0.52      0.00      6.54      0.00      0.31     92.63
11:52:44 PM     all      0.45      0.00      6.69      0.00      0.38     92.48
11:52:45 PM     all      0.52      0.00      6.46      0.00      0.31     92.71
11:52:46 PM     all      0.58      0.00      6.46      0.00      0.34     92.61
11:52:47 PM     all      0.55      0.00      6.60      0.00      0.28     92.57
11:52:48 PM     all      0.62      0.00      6.55      0.00      0.34     92.49
11:52:49 PM     all      0.45      0.00      6.67      0.00      0.34     92.54
11:52:50 PM     all      0.45      0.00      6.64      0.00      0.34     92.57
11:52:51 PM     all      0.34      0.00      6.61      0.00      0.31     92.74
11:52:52 PM     all      0.45      0.00      6.70      0.00      0.31     92.54
11:52:53 PM     all      0.45      0.00      6.58      0.00      0.34     92.63
11:52:54 PM     all      0.41      0.00      6.66      0.00      0.38     92.55
11:52:55 PM     all      0.45      0.00      6.57      0.00      0.28     92.70
11:52:56 PM     all      0.31      0.00      6.67      0.00      0.34     92.68
11:52:57 PM     all      0.31      0.00      6.54      0.00      0.34     92.81
11:52:58 PM     all      0.31      0.00      6.67      0.00      0.28     92.74
11:52:59 PM     all      0.52      0.00      6.53      0.00      0.31     92.64
11:53:00 PM     all      0.38      0.00      6.54      0.00      0.38     92.71
11:53:01 PM     all      0.41      0.00      6.52      0.00      0.31     92.76
11:53:02 PM     all      0.65      0.00      6.76      0.03      0.34     92.22
11:53:03 PM     all      0.41      0.00      6.67      0.00      0.34     92.57
11:53:04 PM     all      0.38      0.00      6.61      0.03      0.31     92.67
11:53:05 PM     all      0.31      0.00      6.41      0.00      0.31     92.97
11:53:06 PM     all      0.28      0.00      6.60      0.00      0.38     92.74
11:53:07 PM     all      0.34      0.00      6.67      0.00      0.31     92.68
11:53:08 PM     all      0.31      0.00      6.37      0.00      0.38     92.94
11:53:09 PM     all      0.28      0.00      6.71      0.00      0.38     92.64
11:53:10 PM     all      0.31      0.00      6.74      0.00      0.34     92.61
11:53:11 PM     all      0.34      0.00      6.41      0.00      0.34     92.90
11:53:12 PM     all      0.31      0.00      6.63      0.00      0.34     92.71
11:53:13 PM     all      0.41      0.00      6.50      0.00      0.34     92.74
11:53:14 PM     all      0.31      0.00      6.60      0.00      0.34     92.75
11:53:15 PM     all      0.34      0.00      6.63      0.00      0.34     92.69
11:53:16 PM     all      0.34      0.00      6.54      0.00      0.28     92.84
