Linux 4.4.5-15.26.amzn1.x86_64 (ip-192-168-1-134) 	04/08/2016 	_x86_64_	(32 CPU)

12:20:49 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:20:50 AM     all      0.00      0.00      0.06      0.00      0.03     99.91
12:20:51 AM     all     33.98      0.00      5.67      0.00      0.06     60.28
12:20:52 AM     all     59.41      0.00     11.58      0.00      0.23     28.78
12:20:53 AM     all     78.78      0.00     18.64      0.00      0.06      2.52
12:20:54 AM     all     75.52      0.00     22.99      0.00      0.03      1.46
12:20:55 AM     all     77.22      0.00     21.46      0.00      0.06      1.26
12:20:56 AM     all     61.11      0.00     18.11      0.00      0.10     20.68
12:20:57 AM     all      0.04      0.00      5.10      0.00      0.28     94.58
12:20:58 AM     all      0.38      0.00      5.44      0.00      0.38     93.79
12:20:59 AM     all      0.10      0.00      5.82      0.00      0.31     93.76
12:21:00 AM     all      0.21      0.00      5.54      0.00      0.35     93.90
12:21:01 AM     all      0.21      0.00      5.71      0.00      0.31     93.77
12:21:02 AM     all      0.10      0.00      5.45      0.00      0.38     94.06
12:21:03 AM     all      0.10      0.00      5.64      0.00      0.24     94.01
12:21:04 AM     all      0.10      0.00      5.78      0.00      0.35     93.77
12:21:05 AM     all      0.17      0.00      5.80      0.00      0.38     93.65
12:21:06 AM     all      0.21      0.00      5.70      0.00      0.31     93.78
12:21:07 AM     all      0.10      0.00      5.78      0.00      0.28     93.84
12:21:08 AM     all      0.14      0.00      5.73      0.00      0.35     93.78
12:21:09 AM     all      0.07      0.00      5.57      0.00      0.35     94.01
12:21:10 AM     all      0.07      0.00      5.84      0.00      0.28     93.82
12:21:11 AM     all      0.10      0.00      5.96      0.00      0.35     93.59
12:21:12 AM     all      0.10      0.00      5.66      0.00      0.35     93.88
12:21:13 AM     all      0.03      0.00      5.80      0.00      0.35     93.82
12:21:14 AM     all      0.03      0.00      5.80      0.00      0.31     93.85
12:21:15 AM     all      0.14      0.00      5.92      0.00      0.31     93.63
12:21:16 AM     all      0.10      0.00      5.99      0.00      0.38     93.52
12:21:17 AM     all      0.03      0.00      5.69      0.00      0.38     93.89
12:21:18 AM     all      0.14      0.00      5.86      0.00      0.31     93.69
12:21:19 AM     all      0.03      0.00      5.83      0.03      0.28     93.83
12:21:20 AM     all      0.03      0.00      5.89      0.00      0.35     93.73
12:21:21 AM     all      0.07      0.00      5.76      0.00      0.35     93.82
