Linux 4.4.5-15.26.amzn1.x86_64 (ip-192-168-1-134) 	04/07/2016 	_x86_64_	(32 CPU)

11:43:08 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:43:09 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:43:10 PM     all     41.14      0.00      6.78      0.00      0.13     51.96
11:43:11 PM     all     77.69      0.00     14.52      0.00      0.10      7.69
11:43:12 PM     all     79.90      0.00     16.82      0.00      0.10      3.18
11:43:13 PM     all     78.16      0.00     19.11      0.00      0.10      2.63
11:43:14 PM     all     73.92      0.00     21.39      0.00      0.16      4.53
11:43:15 PM     all     75.85      0.00     22.98      0.00      0.06      1.11
11:43:16 PM     all     58.59      0.00     17.57      0.00      0.16     23.68
11:43:17 PM     all      1.93      0.00      6.88      0.00      0.37     90.81
11:43:18 PM     all      2.70      0.00      7.44      0.00      0.41     89.44
11:43:19 PM     all      1.44      0.00      7.07      0.00      0.37     91.11
11:43:20 PM     all      1.33      0.00      7.10      0.00      0.37     91.20
11:43:21 PM     all      1.08      0.00      7.03      0.00      0.45     91.45
11:43:22 PM     all      1.34      0.00      7.25      0.00      0.41     91.01
11:43:23 PM     all      1.04      0.00      7.05      0.00      0.45     91.46
11:43:24 PM     all      1.23      0.00      7.17      0.00      0.41     91.19
11:43:25 PM     all      1.23      0.00      7.19      0.00      0.41     91.17
11:43:26 PM     all      1.19      0.00      6.86      0.00      0.37     91.58
11:43:27 PM     all      1.16      0.00      7.04      0.00      0.34     91.46
11:43:28 PM     all      1.19      0.00      6.93      0.04      0.45     91.39
11:43:29 PM     all      1.01      0.00      6.96      0.00      0.34     91.69
11:43:30 PM     all      1.45      0.00      7.22      0.00      0.45     90.88
11:43:31 PM     all      1.19      0.00      6.98      0.00      0.34     91.49
11:43:32 PM     all      1.01      0.00      7.28      0.00      0.41     91.30
11:43:33 PM     all      1.19      0.00      7.16      0.00      0.45     91.20
11:43:34 PM     all      1.08      0.00      7.18      0.00      0.41     91.32
11:43:35 PM     all      1.20      0.00      7.10      0.00      0.34     91.37
11:43:36 PM     all      1.16      0.00      7.25      0.00      0.45     91.14
11:43:37 PM     all      1.23      0.00      7.02      0.00      0.37     91.37
11:43:38 PM     all      1.23      0.00      6.96      0.00      0.45     91.36
11:43:39 PM     all      1.08      0.00      7.48      0.00      0.41     91.02
11:43:40 PM     all      1.05      0.00      7.21      0.00      0.37     91.36
11:43:41 PM     all      1.34      0.00      7.17      0.00      0.37     91.11
11:43:42 PM     all      1.12      0.00      7.11      0.00      0.45     91.32
11:43:43 PM     all      1.05      0.00      7.28      0.00      0.41     91.26
11:43:44 PM     all      1.35      0.00      6.96      0.00      0.45     91.24
11:43:45 PM     all      1.09      0.00      7.19      0.00      0.37     91.35
11:43:46 PM     all      0.97      0.00      7.15      0.00      0.37     91.50
11:43:47 PM     all      1.23      0.00      7.21      0.00      0.45     91.11
11:43:48 PM     all      1.23      0.00      6.97      0.00      0.37     91.42
11:43:49 PM     all      1.16      0.00      7.03      0.00      0.41     91.40
11:43:50 PM     all      1.17      0.00      7.07      0.00      0.38     91.39
11:43:51 PM     all      1.09      0.00      7.13      0.00      0.45     91.33
11:43:52 PM     all      1.16      0.00      7.07      0.00      0.41     91.35
11:43:53 PM     all      1.46      0.00      7.26      0.00      0.37     90.91
11:43:54 PM     all      1.24      0.00      7.07      0.00      0.45     91.24
11:43:55 PM     all      0.86      0.00      7.09      0.00      0.34     91.70
11:43:56 PM     all      1.16      0.00      7.20      0.00      0.52     91.12
11:43:57 PM     all      1.31      0.00      7.17      0.00      0.37     91.15
11:43:58 PM     all      3.43      0.00      7.47      0.00      0.41     88.68
11:43:59 PM     all      7.56      0.00      8.16      0.00      0.46     83.83
11:44:00 PM     all     11.29      0.00      8.84      0.00      0.50     79.37
11:44:01 PM     all     21.44      0.00     11.33      0.00      0.50     66.73
11:44:02 PM     all     19.00      0.00     10.50      0.00      0.54     69.96
11:44:03 PM     all      7.53      0.00      8.10      0.00      0.49     83.87
11:44:04 PM     all      7.36      0.00      8.31      0.00      0.50     83.83
11:44:05 PM     all      4.36      0.00      7.44      0.00      0.41     87.78
11:44:06 PM     all      5.60      0.00      8.33      0.00      0.45     85.61
11:44:07 PM     all     16.09      0.00     10.05      0.00      0.51     73.35
11:44:08 PM     all     18.92      0.00     10.39      0.04      0.50     70.15
11:44:09 PM     all     24.36      0.00     12.14      0.00      0.54     62.95
11:44:10 PM     all     27.72      0.00     12.86      0.00      0.54     58.89
11:44:11 PM     all     14.43      0.00      9.68      0.00      0.50     75.39
11:44:12 PM     all      8.22      0.00      8.37      0.00      0.49     82.91
11:44:13 PM     all      1.95      0.00      7.30      0.00      0.37     90.38
11:44:14 PM     all      1.20      0.00      7.22      0.00      0.37     91.21
11:44:15 PM     all      1.94      0.00      7.38      0.00      0.45     90.23
11:44:16 PM     all      1.86      0.00      7.18      0.00      0.41     90.55
11:44:17 PM     all      1.31      0.00      7.43      0.00      0.38     90.88
11:44:18 PM     all      1.20      0.00      7.03      0.00      0.41     91.36
11:44:19 PM     all      1.08      0.00      7.29      0.00      0.41     91.21
11:44:20 PM     all      1.84      0.00      7.21      0.00      0.45     90.50
11:44:21 PM     all      1.34      0.00      6.99      0.00      0.34     91.33
11:44:22 PM     all      1.31      0.00      7.13      0.00      0.41     91.16
11:44:23 PM     all      2.25      0.00      7.18      0.00      0.45     90.12
11:44:24 PM     all      1.95      0.00      7.16      0.00      0.34     90.55
11:44:25 PM     all      1.30      0.00      7.08      0.00      0.45     91.17
11:44:26 PM     all      1.92      0.00      7.23      0.00      0.38     90.48
11:44:27 PM     all      1.90      0.00      7.31      0.00      0.37     90.42
11:44:28 PM     all      3.38      0.00      7.59      0.00      0.49     88.53
11:44:29 PM     all      1.69      0.00      7.40      0.00      0.38     90.54
11:44:30 PM     all     12.29      0.00      9.18      0.00      0.51     78.02
11:44:31 PM     all      8.58      0.00      8.62      0.00      0.53     82.27
11:44:32 PM     all     12.00      0.00      9.24      0.00      0.46     78.30
11:44:33 PM     all     23.01      0.00     12.16      0.00      0.66     64.17
11:44:34 PM     all     23.84      0.00     12.03      0.00      0.46     63.67
11:44:35 PM     all     23.06      0.00     11.94      0.00      0.54     64.46
11:44:36 PM     all     31.54      0.00     14.00      0.00      0.57     53.88
11:44:37 PM     all     21.80      0.00     10.96      0.00      0.54     66.71
11:44:38 PM     all     10.75      0.00      8.71      0.00      0.42     80.12
11:44:39 PM     all      7.29      0.00      8.36      0.00      0.57     83.77
11:44:40 PM     all      3.49      0.00      7.72      0.00      0.30     88.49
11:44:41 PM     all      3.12      0.00      7.74      0.00      0.45     88.70
11:44:42 PM     all      4.16      0.00      7.72      0.00      0.53     87.59
11:44:43 PM     all      2.17      0.00      7.19      0.00      0.34     90.30
11:44:44 PM     all      1.31      0.00      7.17      0.00      0.37     91.15
11:44:45 PM     all      1.31      0.00      6.95      0.00      0.45     91.29
11:44:46 PM     all      1.16      0.00      7.07      0.00      0.41     91.36
11:44:47 PM     all      1.26      0.00      7.14      0.00      0.45     91.15
11:44:48 PM     all      1.23      0.00      7.16      0.00      0.37     91.24
11:44:49 PM     all      1.49      0.00      6.99      0.00      0.37     91.15
11:44:50 PM     all      1.16      0.00      6.94      0.00      0.45     91.46
11:44:51 PM     all      1.31      0.00      7.22      0.00      0.34     91.14
11:44:52 PM     all      2.71      0.00      7.25      0.00      0.49     89.55
11:44:53 PM     all      6.88      0.00      8.39      0.00      0.42     84.32
11:44:54 PM     all     11.72      0.00      9.03      0.00      0.50     78.76
11:44:55 PM     all     14.19      0.00      9.26      0.00      0.46     76.09
11:44:56 PM     all     11.12      0.00      8.85      0.00      0.54     79.49
11:44:57 PM     all      7.32      0.00      8.00      0.00      0.46     84.22
11:44:58 PM     all     11.48      0.00      9.02      0.00      0.50     79.00
11:44:59 PM     all      4.16      0.00      7.53      0.00      0.45     87.86
11:45:00 PM     all      4.36      0.00      7.89      0.00      0.41     87.34
11:45:01 PM     all      1.23      0.00      6.81      0.00      0.34     91.62
11:45:02 PM     all      2.03      0.00      7.54      0.00      0.49     89.94
11:45:03 PM     all      2.77      0.00      7.34      0.00      0.41     89.48
11:45:04 PM     all      1.38      0.00      7.20      0.00      0.37     91.04
11:45:05 PM     all      5.93      0.00      7.96      0.00      0.46     85.65
11:45:06 PM     all     10.82      0.00      8.94      0.00      0.50     79.75
11:45:07 PM     all     14.22      0.00      9.16      0.00      0.54     76.07
11:45:08 PM     all     17.32      0.00      9.97      0.00      0.46     72.25
11:45:09 PM     all     20.88      0.00     10.67      0.00      0.55     67.90
11:45:10 PM     all     16.21      0.00      9.80      0.00      0.54     73.45
11:45:11 PM     all     10.18      0.00      8.77      0.04      0.46     80.55
11:45:12 PM     all      8.67      0.00      8.52      0.00      0.49     82.31
11:45:13 PM     all      5.55      0.00      7.74      0.00      0.42     86.30
11:45:14 PM     all      3.48      0.00      7.82      0.00      0.42     88.28
11:45:15 PM     all      2.70      0.00      7.05      0.00      0.45     89.79
11:45:16 PM     all      2.52      0.00      7.25      0.00      0.30     89.93
11:45:17 PM     all      1.76      0.00      7.31      0.00      0.49     90.44
11:45:18 PM     all      1.16      0.00      7.20      0.00      0.41     91.23
11:45:19 PM     all      1.12      0.00      7.27      0.00      0.45     91.15
11:45:20 PM     all      2.06      0.00      7.57      0.00      0.41     89.96
11:45:21 PM     all      1.12      0.00      7.03      0.00      0.45     91.40
11:45:22 PM     all      0.98      0.00      7.01      0.00      0.38     91.64
11:45:23 PM     all      1.19      0.00      7.09      0.00      0.41     91.30
11:45:24 PM     all      1.23      0.00      7.26      0.00      0.45     91.06
11:45:25 PM     all      1.42      0.00      7.18      0.00      0.34     91.06
11:45:26 PM     all      1.20      0.00      7.29      0.04      0.41     91.06
11:45:27 PM     all      1.09      0.00      7.13      0.00      0.41     91.37
11:45:28 PM     all      1.31      0.00      7.21      0.00      0.45     91.03
11:45:29 PM     all      1.16      0.00      7.25      0.00      0.38     91.21
11:45:30 PM     all      1.08      0.00      7.18      0.00      0.41     91.32
11:45:31 PM     all      1.24      0.00      7.30      0.00      0.41     91.05
11:45:32 PM     all      1.12      0.00      7.38      0.00      0.37     91.13
11:45:33 PM     all      1.38      0.00      7.02      0.00      0.45     91.15
11:45:34 PM     all      1.05      0.00      7.27      0.00      0.37     91.31
11:45:35 PM     all      1.24      0.00      7.12      0.00      0.45     91.20
11:45:36 PM     all      1.13      0.00      7.10      0.00      0.41     91.36
11:45:37 PM     all      1.09      0.00      7.09      0.00      0.37     91.45
11:45:38 PM     all      1.16      0.00      7.03      0.00      0.41     91.40
