Linux 4.4.5-15.26.amzn1.x86_64 (ip-192-168-1-134) 	04/08/2016 	_x86_64_	(32 CPU)

12:11:25 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:11:26 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
12:11:27 AM     all     39.44      0.00      6.14      0.00      0.06     54.36
12:11:28 AM     all     75.73      0.00     15.29      0.00      0.16      8.82
12:11:29 AM     all     78.40      0.00     18.69      0.00      0.10      2.82
12:11:30 AM     all     78.17      0.00     18.44      0.00      0.10      3.29
12:11:31 AM     all     78.27      0.00     19.72      0.00      0.10      1.92
12:11:32 AM     all     77.71      0.00     21.31      0.00      0.06      0.91
12:11:33 AM     all     48.65      0.00     15.32      0.00      0.20     35.83
12:11:34 AM     all      2.55      0.00      7.17      0.00      0.41     89.87
12:11:35 AM     all      2.24      0.00      7.40      0.00      0.40     89.96
12:11:36 AM     all      1.40      0.00      7.28      0.00      0.37     90.95
12:11:37 AM     all      1.18      0.00      7.20      0.00      0.37     91.25
12:11:38 AM     all      1.33      0.00      7.24      0.00      0.44     90.99
12:11:39 AM     all      1.40      0.00      7.35      0.00      0.33     90.91
12:11:40 AM     all      1.34      0.00      7.09      0.00      0.37     91.21
12:11:41 AM     all      1.34      0.00      7.27      0.04      0.48     90.87
12:11:42 AM     all      1.04      0.00      7.17      0.00      0.33     91.45
12:11:43 AM     all      1.26      0.00      7.49      0.00      0.41     90.84
12:11:44 AM     all      1.37      0.00      7.41      0.00      0.37     90.85
12:11:45 AM     all      1.37      0.00      7.47      0.00      0.37     90.79
12:11:46 AM     all      1.34      0.00      7.35      0.00      0.45     90.87
12:11:47 AM     all      1.56      0.00      7.26      0.00      0.37     90.81
12:11:48 AM     all      0.97      0.00      7.29      0.00      0.41     91.33
12:11:49 AM     all      1.08      0.00      7.25      0.00      0.33     91.34
12:11:50 AM     all      1.30      0.00      7.37      0.00      0.41     90.93
12:11:51 AM     all      1.18      0.00      7.49      0.00      0.41     90.92
12:11:52 AM     all      1.15      0.00      7.34      0.00      0.44     91.06
12:11:53 AM     all      1.05      0.00      7.17      0.00      0.37     91.41
12:11:54 AM     all      1.22      0.00      7.59      0.00      0.41     90.78
12:11:55 AM     all      1.45      0.00      7.41      0.00      0.41     90.73
12:11:56 AM     all      1.34      0.00      7.37      0.00      0.45     90.85
12:11:57 AM     all      1.12      0.00      7.23      0.00      0.37     91.28
12:11:58 AM     all      1.44      0.00      7.11      0.00      0.37     91.07
12:11:59 AM     all      1.19      0.00      7.30      0.00      0.45     91.06
12:12:00 AM     all      1.30      0.00      7.22      0.00      0.41     91.07
12:12:01 AM     all      1.15      0.00      7.40      0.00      0.37     91.07
12:12:02 AM     all      1.38      0.00      7.41      0.00      0.41     90.80
12:12:03 AM     all      1.27      0.00      7.24      0.00      0.34     91.15
12:12:04 AM     all      1.34      0.00      7.54      0.00      0.41     90.72
12:12:05 AM     all      1.30      0.00      7.39      0.00      0.41     90.90
12:12:06 AM     all      1.37      0.00      7.15      0.00      0.41     91.07
12:12:07 AM     all      1.45      0.00      7.11      0.00      0.37     91.06
12:12:08 AM     all      1.41      0.00      7.27      0.00      0.41     90.91
12:12:09 AM     all      1.52      0.00      7.38      0.00      0.41     90.69
12:12:10 AM     all      1.48      0.00      7.37      0.00      0.41     90.74
12:12:11 AM     all      1.44      0.00      7.26      0.00      0.41     90.89
12:12:12 AM     all      1.19      0.00      7.34      0.00      0.37     91.10
