Linux 4.4.5-15.26.amzn1.x86_64 (ip-192-168-1-134) 	04/07/2016 	_x86_64_	(32 CPU)

10:36:49 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:36:50 PM     all      0.03      0.00      0.09      0.00      0.00     99.88
10:36:51 PM     all     33.25      0.00      1.54      0.00      0.03     65.18
10:36:52 PM     all     96.09      0.00      3.81      0.00      0.00      0.09
10:36:53 PM     all     95.50      0.00      4.47      0.00      0.00      0.03
10:36:54 PM     all     95.09      0.00      4.91      0.00      0.00      0.00
10:36:55 PM     all     94.09      0.00      5.85      0.00      0.00      0.06
10:36:56 PM     all     93.56      0.00      6.44      0.00      0.00      0.00
10:36:57 PM     all     93.19      0.00      6.81      0.00      0.00      0.00
10:36:58 PM     all     93.75      0.00      6.25      0.00      0.00      0.00
10:36:59 PM     all     91.94      0.00      8.06      0.00      0.00      0.00
10:37:00 PM     all     94.19      0.00      5.81      0.00      0.00      0.00
10:37:01 PM     all     94.47      0.00      5.53      0.00      0.00      0.00
10:37:02 PM     all     92.25      0.00      7.75      0.00      0.00      0.00
10:37:03 PM     all     89.41      0.00     10.59      0.00      0.00      0.00
10:37:04 PM     all     88.66      0.00     11.34      0.00      0.00      0.00
10:37:05 PM     all     88.74      0.00     11.26      0.00      0.00      0.00
10:37:06 PM     all     84.43      0.00     15.44      0.00      0.00      0.13
10:37:07 PM     all     75.14      0.00     13.85      0.00      0.10     10.92
10:37:08 PM     all      1.92      0.00      6.07      0.00      0.41     91.60
10:37:09 PM     all      1.85      0.00      5.81      0.00      0.38     91.96
10:37:10 PM     all      0.53      0.00      5.98      0.00      0.41     93.08
10:37:11 PM     all      0.42      0.00      5.70      0.00      0.34     93.54
10:37:12 PM     all      0.57      0.00      5.89      0.00      0.42     93.13
10:37:13 PM     all      0.38      0.00      5.94      0.00      0.42     93.27
10:37:14 PM     all      0.53      0.00      5.94      0.00      0.42     93.12
10:37:15 PM     all      0.49      0.00      5.95      0.00      0.34     93.22
10:37:16 PM     all      0.45      0.00      5.87      0.00      0.34     93.34
10:37:17 PM     all      0.49      0.00      6.15      0.00      0.45     92.91
10:37:18 PM     all      0.68      0.00      5.83      0.00      0.38     93.11
10:37:19 PM     all      0.34      0.00      6.09      0.00      0.45     93.11
10:37:20 PM     all      0.49      0.00      5.88      0.00      0.30     93.32
10:37:21 PM     all      0.53      0.00      6.23      0.00      0.45     92.79
10:37:22 PM     all      0.49      0.00      5.74      0.00      0.34     93.43
10:37:23 PM     all      0.34      0.00      5.98      0.00      0.45     93.22
10:37:24 PM     all      0.64      0.00      6.00      0.00      0.38     92.98
10:37:25 PM     all      1.70      0.00      6.12      0.00      0.38     91.80
10:37:26 PM     all      1.02      0.00      5.72      0.00      0.38     92.87
10:37:27 PM     all      0.42      0.00      6.01      0.00      0.45     93.12
10:37:28 PM     all      0.53      0.00      5.91      0.00      0.34     93.22
10:37:29 PM     all      0.57      0.00      5.91      0.00      0.42     93.10
10:37:30 PM     all      0.64      0.00      5.98      0.00      0.34     93.04
10:37:31 PM     all      0.34      0.00      5.86      0.00      0.42     93.38
10:37:32 PM     all      0.49      0.00      6.12      0.00      0.42     92.98
10:37:33 PM     all      5.14      0.00      6.47      0.04      0.46     87.89
10:37:34 PM     all      5.29      0.00      6.32      0.00      0.38     88.01
10:37:35 PM     all     11.07      0.00      7.50      0.00      0.50     80.93
10:37:36 PM     all      8.56      0.00      7.03      0.00      0.42     83.99
10:37:37 PM     all     27.85      0.00      9.78      0.00      0.46     61.92
10:37:38 PM     all     15.92      0.00      8.40      0.00      0.46     75.21
10:37:39 PM     all      7.94      0.00      6.99      0.00      0.46     84.61
10:37:40 PM     all      8.77      0.00      7.09      0.00      0.38     83.76
10:37:41 PM     all      4.95      0.00      6.21      0.00      0.46     88.38
10:37:42 PM     all      3.17      0.00      6.00      0.00      0.42     90.40
10:37:43 PM     all      7.63      0.00      6.63      0.00      0.50     85.25
10:37:44 PM     all      7.86      0.00      6.93      0.00      0.39     84.83
10:37:45 PM     all      7.77      0.00      6.66      0.00      0.42     85.15
10:37:46 PM     all      7.10      0.00      6.83      0.00      0.42     85.65
10:37:47 PM     all      5.50      0.00      6.52      0.00      0.42     87.56
10:37:48 PM     all      8.34      0.00      6.79      0.00      0.39     84.48
10:37:49 PM     all      6.62      0.00      6.77      0.00      0.46     86.16
10:37:50 PM     all      5.96      0.00      6.54      0.00      0.42     87.08
10:37:51 PM     all      6.22      0.00      6.72      0.00      0.42     86.64
10:37:52 PM     all      2.14      0.00      6.11      0.00      0.34     91.41
10:37:53 PM     all      5.42      0.00      6.30      0.00      0.46     87.82
10:37:54 PM     all      0.49      0.00      5.85      0.00      0.38     93.28
10:37:55 PM     all      2.40      0.00      5.99      0.00      0.42     91.19
10:37:56 PM     all      0.57      0.00      5.93      0.00      0.38     93.13
10:37:57 PM     all      0.61      0.00      5.76      0.00      0.34     93.29
10:37:58 PM     all      5.71      0.00      6.17      0.00      0.46     87.66
10:37:59 PM     all      8.63      0.00      7.47      0.00      0.46     83.43
10:38:00 PM     all     15.16      0.00      7.94      0.00      0.46     76.44
10:38:01 PM     all     12.77      0.00      7.71      0.00      0.50     79.03
10:38:02 PM     all     27.87      0.00     10.49      0.00      0.50     61.14
10:38:03 PM     all     42.32      0.00     11.96      0.00      0.45     45.27
10:38:04 PM     all     57.85      0.00     14.05      0.00      0.32     27.78
10:38:05 PM     all     32.41      0.00     10.45      0.00      0.54     56.61
10:38:06 PM     all     46.13      0.00     12.22      0.00      0.40     41.25
10:38:07 PM     all     24.12      0.00      9.24      0.00      0.46     66.18
10:38:08 PM     all      7.86      0.00      7.17      0.00      0.42     84.55
10:38:09 PM     all      1.85      0.00      6.23      0.00      0.49     91.42
10:38:10 PM     all      6.38      0.00      6.95      0.00      0.38     86.29
10:38:11 PM     all     20.19      0.00      8.88      0.00      0.46     70.48
10:38:12 PM     all     54.18      0.00     13.05      0.00      0.39     32.39
10:38:13 PM     all     81.49      0.00     14.16      0.00      0.06      4.28
10:38:14 PM     all     85.69      0.00     13.91      0.00      0.00      0.41
10:38:15 PM     all     85.80      0.00     14.17      0.00      0.00      0.03
10:38:16 PM     all     86.32      0.00     13.65      0.00      0.00      0.03
10:38:17 PM     all     85.50      0.00     14.50      0.00      0.00      0.00
10:38:18 PM     all     86.50      0.00     13.47      0.00      0.00      0.03
10:38:19 PM     all     86.19      0.00     13.81      0.00      0.00      0.00
10:38:20 PM     all     86.96      0.00     12.95      0.00      0.00      0.09
10:38:21 PM     all     86.08      0.00     13.76      0.00      0.00      0.16
10:38:22 PM     all     35.37      0.00      9.77      0.00      0.32     54.55
10:38:23 PM     all      2.33      0.00      6.25      0.00      0.41     91.00
10:38:24 PM     all      1.06      0.00      6.04      0.00      0.41     92.49
10:38:25 PM     all      0.49      0.00      5.97      0.00      0.38     93.16
10:38:26 PM     all      0.57      0.00      5.82      0.00      0.42     93.20
10:38:27 PM     all      0.45      0.00      5.96      0.00      0.41     93.18
10:38:28 PM     all      0.79      0.00      5.86      0.00      0.38     92.97
10:38:29 PM     all      2.88      0.00      6.56      0.00      0.38     90.18
10:38:30 PM     all      1.75      0.00      5.86      0.00      0.42     91.98
10:38:31 PM     all      0.30      0.00      6.19      0.00      0.42     93.09
10:38:32 PM     all      3.83      0.00      6.55      0.00      0.46     89.15
10:38:33 PM     all      9.95      0.00      7.07      0.00      0.38     82.60
10:38:34 PM     all      5.27      0.00      6.98      0.00      0.46     87.29
10:38:35 PM     all      9.48      0.00      7.64      0.00      0.38     82.50
10:38:36 PM     all      7.66      0.00      7.01      0.00      0.46     84.87
10:38:37 PM     all     21.23      0.00      9.28      0.00      0.47     69.02
10:38:38 PM     all      9.88      0.00      7.70      0.00      0.42     82.01
10:38:39 PM     all      3.77      0.00      6.57      0.00      0.46     89.20
10:38:40 PM     all      5.98      0.00      6.53      0.00      0.39     87.10
10:38:41 PM     all      9.40      0.00      6.77      0.00      0.46     83.37
10:38:42 PM     all      0.83      0.00      6.18      0.00      0.38     92.61
10:38:43 PM     all      6.18      0.00      7.39      0.00      0.42     86.02
10:38:44 PM     all      1.29      0.00      6.27      0.04      0.46     91.95
10:38:45 PM     all      7.09      0.00      7.35      0.00      0.46     85.10
10:38:46 PM     all      2.62      0.00      6.23      0.00      0.27     90.89
10:38:47 PM     all      5.78      0.00      6.61      0.00      0.49     87.12
10:38:48 PM     all      2.57      0.00      6.27      0.00      0.42     90.75
10:38:49 PM     all      6.22      0.00      6.60      0.00      0.34     86.84
10:38:50 PM     all      9.88      0.00      7.30      0.00      0.58     82.24
10:38:51 PM     all      5.69      0.00      6.92      0.00      0.38     87.00
10:38:52 PM     all     13.59      0.00      8.61      0.00      0.51     77.30
10:38:53 PM     all      5.79      0.00      6.47      0.00      0.42     87.32
10:38:54 PM     all     12.53      0.00      8.32      0.00      0.54     78.61
10:38:55 PM     all      9.14      0.00      6.91      0.00      0.42     83.53
10:38:56 PM     all     10.52      0.00      7.47      0.00      0.46     81.55
10:38:57 PM     all      9.23      0.00      7.55      0.00      0.42     82.80
10:38:58 PM     all      8.27      0.00      7.44      0.00      0.42     83.88
