Linux 4.4.5-15.26.amzn1.x86_64 (ip-192-168-1-134) 	04/08/2016 	_x86_64_	(32 CPU)

12:01:53 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:01:54 AM     all      0.00      0.00      0.09      0.00      0.00     99.91
12:01:55 AM     all     36.11      0.00      2.01      0.00      0.03     61.85
12:01:56 AM     all     96.90      0.00      2.94      0.00      0.00      0.16
12:01:57 AM     all     96.75      0.00      3.25      0.00      0.00      0.00
12:01:58 AM     all     95.34      0.00      4.66      0.00      0.00      0.00
12:01:59 AM     all     93.78      0.00      6.22      0.00      0.00      0.00
12:02:00 AM     all     93.75      0.00      6.25      0.00      0.00      0.00
12:02:01 AM     all     92.72      0.00      7.28      0.00      0.00      0.00
12:02:02 AM     all     93.22      0.00      6.78      0.00      0.00      0.00
12:02:03 AM     all     92.91      0.00      7.09      0.00      0.00      0.00
12:02:04 AM     all     93.72      0.00      6.28      0.00      0.00      0.00
12:02:05 AM     all     94.00      0.00      6.00      0.00      0.00      0.00
12:02:06 AM     all     93.00      0.00      7.00      0.00      0.00      0.00
12:02:07 AM     all     91.69      0.00      8.31      0.00      0.00      0.00
12:02:08 AM     all     92.53      0.00      7.47      0.00      0.00      0.00
12:02:09 AM     all     92.00      0.00      8.00      0.00      0.00      0.00
12:02:10 AM     all     92.12      0.00      7.88      0.00      0.00      0.00
12:02:11 AM     all     90.65      0.00      9.35      0.00      0.00      0.00
12:02:12 AM     all     84.15      0.00     15.79      0.00      0.00      0.06
12:02:13 AM     all     37.91      0.00     10.15      0.00      0.28     51.66
12:02:14 AM     all      1.35      0.00      6.09      0.00      0.38     92.18
12:02:15 AM     all      1.61      0.00      6.33      0.00      0.41     91.64
12:02:16 AM     all      0.56      0.00      5.90      0.00      0.34     93.20
12:02:17 AM     all      0.41      0.00      6.17      0.00      0.41     93.00
12:02:18 AM     all      0.49      0.00      6.27      0.00      0.38     92.86
12:02:19 AM     all      0.41      0.00      6.18      0.00      0.41     92.99
12:02:20 AM     all      0.60      0.00      6.41      0.00      0.38     92.61
12:02:21 AM     all      0.45      0.00      6.59      0.00      0.45     92.50
12:02:22 AM     all      0.42      0.00      6.17      0.00      0.38     93.03
12:02:23 AM     all      0.53      0.00      6.26      0.00      0.45     92.76
12:02:24 AM     all      0.45      0.00      6.30      0.00      0.38     92.87
12:02:25 AM     all      0.42      0.00      6.24      0.00      0.38     92.97
12:02:26 AM     all      0.38      0.00      6.42      0.00      0.42     92.79
12:02:27 AM     all      2.29      0.00      6.37      0.00      0.42     90.93
12:02:28 AM     all      0.45      0.00      6.22      0.00      0.41     92.91
12:02:29 AM     all      0.53      0.00      5.94      0.00      0.42     93.12
12:02:30 AM     all      0.38      0.00      6.10      0.00      0.34     93.18
12:02:31 AM     all      0.64      0.00      6.40      0.00      0.42     92.54
12:02:32 AM     all      0.64      0.00      6.06      0.00      0.42     92.88
12:02:33 AM     all      0.42      0.00      5.97      0.00      0.38     93.24
12:02:34 AM     all      0.57      0.00      6.18      0.00      0.42     92.83
12:02:35 AM     all      0.57      0.00      6.20      0.00      0.34     92.89
12:02:36 AM     all      0.57      0.00      6.15      0.00      0.45     92.84
12:02:37 AM     all      0.30      0.00      6.32      0.00      0.42     92.96
12:02:38 AM     all      0.60      0.00      6.21      0.00      0.34     92.84
12:02:39 AM     all      7.34      0.00      6.84      0.04      0.50     85.28
12:02:40 AM     all      3.27      0.00      6.54      0.00      0.38     89.81
12:02:41 AM     all     12.62      0.00      8.04      0.00      0.50     78.85
12:02:42 AM     all     26.28      0.00     10.72      0.00      0.50     62.50
