Linux 4.4.5-15.26.amzn1.x86_64 (ip-192-168-1-134) 	04/08/2016 	_x86_64_	(32 CPU)

02:28:09 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:28:10 AM     all      0.00      0.00      0.09      0.00      0.00     99.91
02:28:11 AM     all     27.86      0.00      4.73      0.00      0.06     67.35
02:28:12 AM     all      0.07      0.00      0.17      0.03      0.27     99.45
02:28:13 AM     all      0.03      0.00      0.10      0.00      0.34     99.52
02:28:14 AM     all      0.07      0.00      0.21      0.00      0.38     99.35
02:28:15 AM     all      0.14      0.00      0.24      0.00      0.34     99.28
02:28:16 AM     all      0.14      0.00      0.14      0.00      0.41     99.31
02:28:17 AM     all      0.10      0.00      0.21      0.00      0.41     99.28
02:28:18 AM     all      0.07      0.00      0.21      0.00      0.34     99.38
02:28:19 AM     all      0.07      0.00      0.10      0.00      0.31     99.52
02:28:20 AM     all      0.14      0.00      0.24      0.00      0.41     99.21
02:28:21 AM     all      0.07      0.00      0.21      0.00      0.31     99.42
02:28:22 AM     all      0.14      0.00      0.21      0.00      0.41     99.25
02:28:23 AM     all      0.31      0.00      0.27      0.00      0.38     99.04
02:28:24 AM     all     17.03      0.00      3.02      0.00      0.34     79.61
02:28:25 AM     all      6.39      0.00      1.33      0.00      0.31     91.98
02:28:26 AM     all      0.07      0.00      0.14      0.00      0.34     99.45
02:28:27 AM     all      0.07      0.00      0.24      0.00      0.38     99.31
02:28:28 AM     all      0.07      0.00      0.21      0.00      0.27     99.45
02:28:29 AM     all      0.07      0.00      0.24      0.00      0.41     99.28
02:28:30 AM     all      0.03      0.00      0.27      0.00      0.31     99.38
02:28:31 AM     all      0.07      0.00      0.17      0.00      0.34     99.42
02:28:32 AM     all      0.17      0.00      0.14      0.00      0.34     99.35
02:28:33 AM     all      0.10      0.00      0.10      0.00      0.34     99.45
02:28:34 AM     all      0.07      0.00      0.14      0.00      0.41     99.38
02:28:35 AM     all      0.14      0.00      0.17      0.00      0.34     99.35
02:28:36 AM     all      0.10      0.00      0.14      0.00      0.38     99.38
02:28:37 AM     all      4.27      0.00      0.61      0.00      0.41     94.71
02:28:38 AM     all     15.85      0.00      2.43      0.00      0.20     81.52
02:28:39 AM     all      3.92      0.00      0.65      0.00      0.34     95.09
02:28:40 AM     all      0.07      0.00      0.17      0.00      0.38     99.38
02:28:41 AM     all      0.03      0.00      0.17      0.00      0.27     99.52
02:28:42 AM     all      0.10      0.00      0.17      0.00      0.41     99.32
02:28:43 AM     all      0.07      0.00      0.14      0.00      0.27     99.52
02:28:44 AM     all      0.14      0.00      0.14      0.00      0.34     99.38
02:28:45 AM     all      0.00      0.00      0.24      0.00      0.38     99.38
02:28:46 AM     all      0.03      0.00      0.10      0.00      0.31     99.55
02:28:47 AM     all      0.07      0.00      0.14      0.03      0.41     99.35
02:28:48 AM     all      0.07      0.00      0.34      0.00      0.34     99.25
02:28:49 AM     all      0.03      0.00      0.24      0.00      0.34     99.38
02:28:50 AM     all      0.72      0.00      0.31      0.00      0.41     98.56
02:28:51 AM     all      7.74      0.00      1.39      0.00      0.41     90.47
02:28:52 AM     all     13.69      0.00      1.75      0.00      0.27     84.28
02:28:53 AM     all      2.63      0.00      0.55      0.00      0.31     96.51
02:28:54 AM     all      0.07      0.00      0.17      0.00      0.31     99.45
02:28:55 AM     all      0.21      0.00      0.21      0.00      0.34     99.25
02:28:56 AM     all      0.17      0.00      0.14      0.00      0.38     99.31
02:28:57 AM     all      0.07      0.00      0.17      0.00      0.34     99.42
02:28:58 AM     all      0.07      0.00      0.14      0.00      0.31     99.48
02:28:59 AM     all      0.14      0.00      0.21      0.00      0.34     99.31
02:29:00 AM     all      0.07      0.00      0.17      0.00      0.34     99.42
02:29:01 AM     all      0.07      0.00      0.14      0.00      0.31     99.48
02:29:02 AM     all      0.03      0.00      0.17      0.00      0.38     99.42
02:29:03 AM     all      1.17      0.00      0.38      0.00      0.31     98.14
02:29:04 AM     all      2.99      0.00      0.61      0.00      0.44     95.95
02:29:05 AM     all      9.54      0.00      1.19      0.00      0.34     88.93
02:29:06 AM     all     10.54      0.00      1.46      0.00      0.30     87.70
02:29:07 AM     all      1.34      0.00      0.41      0.00      0.31     97.94
02:29:08 AM     all      0.07      0.00      0.10      0.00      0.41     99.42
02:29:09 AM     all      0.07      0.00      0.10      0.00      0.34     99.48
02:29:10 AM     all      0.14      0.00      0.14      0.00      0.28     99.45
02:29:11 AM     all      0.24      0.00      0.17      0.00      0.34     99.24
02:29:12 AM     all      0.10      0.00      0.24      0.00      0.34     99.31
02:29:13 AM     all      0.14      0.00      0.17      0.00      0.34     99.35
02:29:14 AM     all      0.07      0.00      0.21      0.00      0.34     99.38
02:29:15 AM     all      0.10      0.00      0.17      0.00      0.41     99.31
02:29:16 AM     all      0.31      0.00      0.21      0.00      0.28     99.21
02:29:17 AM     all      2.44      0.00      0.62      0.00      0.45     96.50
02:29:18 AM     all      5.46      0.00      0.75      0.00      0.38     93.42
02:29:19 AM     all      9.03      0.00      1.42      0.00      0.34     89.22
02:29:20 AM     all      7.20      0.00      1.03      0.00      0.27     91.50
02:29:21 AM     all      0.93      0.00      0.45      0.00      0.34     98.28
02:29:22 AM     all      0.07      0.00      0.31      0.00      0.34     99.28
02:29:23 AM     all      0.03      0.00      0.21      0.00      0.28     99.48
02:29:24 AM     all      0.07      0.00      0.21      0.00      0.41     99.31
02:29:25 AM     all      0.07      0.00      0.24      0.00      0.28     99.41
02:29:26 AM     all      0.07      0.00      0.21      0.00      0.34     99.38
02:29:27 AM     all      0.17      0.00      0.21      0.00      0.34     99.28
02:29:28 AM     all      0.03      0.00      0.24      0.00      0.34     99.38
02:29:29 AM     all      0.72      0.00      0.31      0.00      0.34     98.63
02:29:30 AM     all      0.79      0.00      0.45      0.00      0.38     98.39
02:29:31 AM     all      5.46      0.00      0.96      0.00      0.38     93.21
02:29:32 AM     all     10.52      0.00      1.45      0.00      0.37     87.65
02:29:33 AM     all      6.33      0.00      1.09      0.00      0.27     92.31
02:29:34 AM     all      0.10      0.00      0.17      0.00      0.38     99.35
02:29:35 AM     all      0.17      0.00      0.27      0.00      0.31     99.24
02:29:36 AM     all      0.10      0.00      0.21      0.00      0.38     99.31
02:29:37 AM     all      0.14      0.00      0.27      0.03      0.31     99.24
02:29:38 AM     all      0.10      0.00      0.24      0.00      0.38     99.28
02:29:39 AM     all      0.14      0.00      0.17      0.00      0.34     99.35
02:29:40 AM     all      0.07      0.00      0.14      0.00      0.28     99.52
02:29:41 AM     all      0.14      0.00      0.27      0.00      0.41     99.18
02:29:42 AM     all      0.65      0.00      0.34      0.00      0.31     98.70
02:29:43 AM     all      1.00      0.00      0.52      0.00      0.34     98.14
02:29:44 AM     all      2.76      0.00      0.75      0.00      0.38     96.11
02:29:45 AM     all      7.35      0.00      1.29      0.00      0.37     90.99
02:29:46 AM     all      9.72      0.00      1.86      0.00      0.30     88.12
02:29:47 AM     all      2.97      0.00      0.72      0.00      0.34     95.98
02:29:48 AM     all      0.00      0.00      0.10      0.00      0.28     99.62
02:29:49 AM     all      0.21      0.00      0.14      0.00      0.31     99.35
02:29:50 AM     all      0.14      0.00      0.24      0.00      0.31     99.31
02:29:51 AM     all      0.10      0.00      0.21      0.00      0.38     99.31
02:29:52 AM     all      0.07      0.00      0.24      0.00      0.34     99.35
02:29:53 AM     all      0.10      0.00      0.24      0.00      0.44     99.21
02:29:54 AM     all      0.07      0.00      0.17      0.00      0.27     99.48
02:29:55 AM     all      0.21      0.00      0.27      0.00      0.38     99.14
02:29:56 AM     all      1.31      0.00      0.38      0.00      0.38     97.93
02:29:57 AM     all      0.79      0.00      0.38      0.00      0.27     98.56
02:29:58 AM     all      2.66      0.00      0.65      0.00      0.34     96.35
02:29:59 AM     all      5.35      0.00      0.99      0.00      0.41     93.25
02:30:00 AM     all      0.17      0.00      0.89      0.00      0.34     98.60
02:30:01 AM     all      0.03      0.00      0.21      0.00      0.38     99.38
02:30:02 AM     all      0.17      0.00      0.28      0.00      0.38     99.17
02:30:03 AM     all      0.17      0.00      0.45      0.00      0.31     99.07
02:30:04 AM     all      0.20      0.00      0.34      0.00      0.27     99.20
02:30:05 AM     all      0.16      0.00      0.03      0.00      0.03     99.78
