Linux 4.4.5-15.26.amzn1.x86_64 (ip-192-168-1-134) 	04/08/2016 	_x86_64_	(32 CPU)

02:59:39 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:59:40 AM     all      0.03      0.00      0.06      0.00      0.00     99.91
02:59:41 AM     all     28.98      0.00      4.33      0.00      0.10     66.59
02:59:42 AM     all      0.21      0.00      0.39      0.00      0.32     99.08
02:59:43 AM     all      0.32      0.00      0.25      0.00      0.50     98.94
02:59:44 AM     all      0.28      0.00      0.28      0.00      0.46     98.98
02:59:45 AM     all      0.21      0.00      0.25      0.00      0.42     99.12
02:59:46 AM     all      0.25      0.00      0.25      0.00      0.46     99.05
02:59:47 AM     all      0.28      0.00      0.28      0.00      0.49     98.94
02:59:48 AM     all      0.25      0.00      0.32      0.00      0.46     98.98
02:59:49 AM     all      0.14      0.00      0.18      0.00      0.46     99.22
02:59:50 AM     all      0.21      0.00      0.25      0.00      0.42     99.12
02:59:51 AM     all      0.28      0.00      0.25      0.00      0.49     98.97
02:59:52 AM     all      0.21      0.00      0.21      0.00      0.46     99.11
02:59:53 AM     all      0.21      0.00      0.28      0.04      0.42     99.04
02:59:54 AM     all      0.39      0.00      0.21      0.00      0.46     98.94
02:59:55 AM     all      0.18      0.00      0.21      0.00      0.50     99.12
02:59:56 AM     all      0.21      0.00      0.35      0.00      0.39     99.05
02:59:57 AM     all      0.25      0.00      0.35      0.00      0.53     98.87
02:59:58 AM     all     26.04      0.00      5.15      0.00      0.54     68.27
02:59:59 AM     all      1.42      0.00      0.53      0.00      0.32     97.74
03:00:00 AM     all      0.32      0.00      0.28      0.00      0.46     98.94
03:00:01 AM     all      0.28      0.00      0.39      0.00      0.43     98.90
03:00:02 AM     all      0.32      0.00      0.21      0.00      0.42     99.05
03:00:03 AM     all      0.39      0.00      0.25      0.00      0.49     98.87
03:00:04 AM     all      0.28      0.00      0.28      0.00      0.46     98.98
03:00:05 AM     all      0.21      0.00      0.28      0.00      0.46     99.04
03:00:06 AM     all      0.32      0.00      0.39      0.00      0.42     98.87
03:00:07 AM     all      0.28      0.00      0.32      0.00      0.50     98.90
03:00:08 AM     all      0.14      0.00      0.28      0.00      0.50     99.08
03:00:09 AM     all      0.28      0.00      0.21      0.00      0.46     99.05
03:00:10 AM     all      0.25      0.00      0.21      0.00      0.46     99.08
03:00:11 AM     all      0.25      0.00      0.21      0.00      0.46     99.08
03:00:12 AM     all      0.21      0.00      0.39      0.00      0.46     98.94
03:00:13 AM     all      0.25      0.00      0.25      0.00      0.42     99.08
03:00:14 AM     all      0.67      0.00      0.32      0.00      0.53     98.48
03:00:15 AM     all     22.54      0.00      4.09      0.00      0.44     72.93
03:00:16 AM     all      1.48      0.00      0.53      0.00      0.32     97.67
03:00:17 AM     all      0.32      0.00      0.18      0.00      0.50     99.01
03:00:18 AM     all      0.82      0.00      0.36      0.00      0.43     98.40
03:00:19 AM     all      0.81      0.00      0.42      0.00      0.46     98.30
03:00:20 AM     all      0.18      0.00      0.25      0.00      0.43     99.15
03:00:21 AM     all      0.25      0.00      0.39      0.00      0.50     98.87
03:00:22 AM     all      0.21      0.00      0.32      0.00      0.50     98.97
03:00:23 AM     all      0.35      0.00      0.28      0.00      0.42     98.94
03:00:24 AM     all      0.32      0.00      0.25      0.00      0.50     98.94
03:00:25 AM     all      0.28      0.00      0.25      0.00      0.42     99.04
03:00:26 AM     all      0.35      0.00      0.35      0.00      0.46     98.83
03:00:27 AM     all      0.32      0.00      0.28      0.04      0.46     98.90
03:00:28 AM     all      0.32      0.00      0.18      0.00      0.39     99.12
03:00:29 AM     all      0.25      0.00      0.25      0.00      0.50     99.01
03:00:30 AM     all      0.25      0.00      0.25      0.00      0.46     99.04
03:00:31 AM     all      1.38      0.00      0.42      0.00      0.46     97.74
03:00:32 AM     all     17.45      0.00      2.65      0.00      0.45     79.46
03:00:33 AM     all      4.66      0.00      0.95      0.00      0.42     93.98
03:00:34 AM     all      0.92      0.00      0.46      0.00      0.42     98.20
03:00:35 AM     all      1.03      0.00      0.28      0.00      0.42     98.27
03:00:36 AM     all      0.81      0.00      0.35      0.00      0.46     98.38
03:00:37 AM     all      0.28      0.00      0.21      0.00      0.39     99.12
03:00:38 AM     all      0.18      0.00      0.32      0.00      0.49     99.01
03:00:39 AM     all      0.32      0.00      0.21      0.00      0.49     98.98
03:00:40 AM     all      0.39      0.00      0.21      0.00      0.49     98.91
03:00:41 AM     all      0.14      0.00      0.32      0.00      0.39     99.15
03:00:42 AM     all      0.18      0.00      0.28      0.00      0.46     99.08
03:00:43 AM     all      0.21      0.00      0.28      0.00      0.42     99.08
03:00:44 AM     all      0.21      0.00      0.35      0.00      0.46     98.98
03:00:45 AM     all      0.21      0.00      0.32      0.00      0.49     98.98
03:00:46 AM     all      0.32      0.00      0.25      0.00      0.46     98.98
03:00:47 AM     all      0.18      0.00      0.28      0.00      0.42     99.12
03:00:48 AM     all      1.06      0.00      0.39      0.00      0.46     98.09
03:00:49 AM     all     12.83      0.00      2.01      0.00      0.52     84.63
03:00:50 AM     all      8.42      0.00      1.22      0.00      0.42     89.94
03:00:51 AM     all      2.42      0.00      0.46      0.00      0.39     96.73
03:00:52 AM     all      0.85      0.00      0.46      0.00      0.46     98.24
03:00:53 AM     all      0.88      0.00      0.42      0.00      0.42     98.27
03:00:54 AM     all      0.32      0.00      0.28      0.00      0.46     98.94
03:00:55 AM     all      0.32      0.00      0.32      0.00      0.46     98.90
03:00:56 AM     all      0.21      0.00      0.35      0.00      0.50     98.94
03:00:57 AM     all      0.21      0.00      0.32      0.00      0.35     99.12
03:00:58 AM     all      0.32      0.00      0.32      0.00      0.49     98.87
03:00:59 AM     all      0.25      0.00      0.28      0.00      0.46     99.01
03:01:00 AM     all      0.39      0.00      0.25      0.00      0.49     98.87
03:01:01 AM     all      0.21      0.00      0.49      0.00      0.39     98.91
03:01:02 AM     all      0.18      0.00      0.28      0.04      0.49     99.01
03:01:03 AM     all      0.21      0.00      0.25      0.00      0.42     99.12
03:01:04 AM     all      0.28      0.00      0.39      0.00      0.42     98.90
03:01:05 AM     all      0.85      0.00      0.60      0.00      0.49     98.06
03:01:06 AM     all      7.54      0.00      1.26      0.00      0.52     90.68
03:01:07 AM     all     12.99      0.00      1.71      0.00      0.31     84.99
03:01:08 AM     all      2.89      0.00      0.70      0.00      0.42     95.98
03:01:09 AM     all      0.95      0.00      0.21      0.00      0.46     98.38
03:01:10 AM     all      1.09      0.00      0.32      0.00      0.46     98.13
03:01:11 AM     all      0.39      0.00      0.18      0.00      0.46     98.97
03:01:12 AM     all      0.39      0.00      0.18      0.00      0.46     98.97
03:01:13 AM     all      0.25      0.00      0.32      0.00      0.39     99.04
03:01:14 AM     all      0.21      0.00      0.32      0.00      0.53     98.94
03:01:15 AM     all      0.21      0.00      0.32      0.00      0.42     99.05
03:01:16 AM     all      0.25      0.00      0.25      0.00      0.43     99.08
03:01:17 AM     all      0.18      0.00      0.25      0.00      0.50     99.08
03:01:18 AM     all      0.32      0.00      0.28      0.00      0.39     99.01
03:01:19 AM     all      0.28      0.00      0.21      0.00      0.50     99.01
03:01:20 AM     all      0.25      0.00      0.21      0.00      0.46     99.08
03:01:21 AM     all      0.25      0.00      0.28      0.00      0.46     99.01
03:01:22 AM     all      0.85      0.00      0.39      0.00      0.42     98.34
03:01:23 AM     all      5.95      0.00      1.05      0.00      0.56     92.44
03:01:24 AM     all     12.55      0.00      1.98      0.00      0.38     85.09
03:01:25 AM     all      4.80      0.00      0.74      0.00      0.35     94.12
03:01:26 AM     all      0.88      0.00      0.42      0.00      0.42     98.28
03:01:27 AM     all      0.67      0.00      0.32      0.04      0.46     98.51
03:01:28 AM     all      0.53      0.00      0.28      0.00      0.46     98.73
03:01:29 AM     all      0.11      0.00      0.21      0.00      0.43     99.26
03:01:30 AM     all      0.32      0.00      0.35      0.00      0.49     98.83
03:01:31 AM     all      0.39      0.00      0.25      0.00      0.42     98.94
03:01:32 AM     all      0.28      0.00      0.32      0.00      0.42     98.97
03:01:33 AM     all      0.32      0.00      0.28      0.00      0.46     98.94
03:01:34 AM     all      0.32      0.00      0.18      0.00      0.46     99.05
03:01:35 AM     all      0.25      0.00      0.25      0.00      0.50     99.01
03:01:36 AM     all      0.25      0.00      0.25      0.00      0.50     99.01
03:01:37 AM     all      0.25      0.00      0.35      0.00      0.43     98.97
03:01:38 AM     all      0.35      0.00      0.25      0.00      0.46     98.94
03:01:39 AM     all      1.02      0.00      0.42      0.00      0.42     98.14
03:01:40 AM     all      4.72      0.00      0.87      0.00      0.52     93.88
03:01:41 AM     all     11.34      0.00      1.80      0.00      0.42     86.44
03:01:42 AM     all      7.83      0.00      1.29      0.00      0.42     90.46
03:01:43 AM     all      0.74      0.00      0.25      0.00      0.46     98.55
03:01:44 AM     all      0.42      0.00      0.28      0.00      0.46     98.83
03:01:45 AM     all      0.78      0.00      0.32      0.00      0.42     98.48
03:01:46 AM     all      0.28      0.00      0.28      0.00      0.50     98.94
03:01:47 AM     all      0.28      0.00      0.28      0.00      0.39     99.04
03:01:48 AM     all      0.28      0.00      0.25      0.00      0.43     99.04
03:01:49 AM     all      0.25      0.00      0.32      0.00      0.50     98.94
03:01:50 AM     all      0.25      0.00      0.21      0.00      0.43     99.11
03:01:51 AM     all      0.35      0.00      0.32      0.00      0.42     98.91
03:01:52 AM     all      0.28      0.00      0.39      0.00      0.49     98.83
03:01:53 AM     all      0.14      0.00      0.28      0.00      0.42     99.15
03:01:54 AM     all      0.21      0.00      0.25      0.00      0.43     99.11
03:01:55 AM     all      0.21      0.00      0.32      0.00      0.57     98.90
03:01:56 AM     all      0.85      0.00      0.39      0.00      0.46     98.30
03:01:57 AM     all      4.26      0.00      1.13      0.00      0.49     94.13
03:01:58 AM     all      3.59      0.00      1.11      0.00      0.35     94.95
03:01:59 AM     all      0.28      0.00      0.49      0.00      0.46     98.76
03:02:00 AM     all      0.32      0.00      0.53      0.00      0.50     98.64
03:02:01 AM     all      0.39      0.00      0.39      0.00      0.50     98.71
03:02:02 AM     all      0.29      0.00      0.36      0.04      0.43     98.89
03:02:03 AM     all      0.36      0.00      0.28      0.00      0.61     98.75
