Linux 4.4.5-15.26.amzn1.x86_64 (ip-192-168-1-134) 	04/08/2016 	_x86_64_	(32 CPU)

02:15:58 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:15:59 AM     all      0.09      0.00      0.03      0.00      0.03     99.84
02:16:00 AM     all     42.60      0.00      1.78      0.00      0.03     55.59
02:16:01 AM     all     66.38      0.00      2.87      0.00      0.13     30.63
02:16:02 AM     all      0.28      0.00      0.39      0.00      0.39     98.94
02:16:03 AM     all      0.25      0.00      0.28      0.00      0.50     98.97
02:16:04 AM     all      0.50      0.00      0.36      0.04      0.43     98.69
02:16:05 AM     all      0.36      0.00      0.32      0.00      0.50     98.83
02:16:06 AM     all      0.28      0.00      0.25      0.00      0.50     98.97
02:16:07 AM     all      0.36      0.00      0.25      0.00      0.43     98.97
02:16:08 AM     all      0.32      0.00      0.35      0.00      0.46     98.87
02:16:09 AM     all      0.39      0.00      0.28      0.00      0.50     98.83
02:16:10 AM     all      0.35      0.00      0.43      0.00      0.46     98.76
02:16:11 AM     all      0.28      0.00      0.28      0.00      0.43     99.00
02:16:12 AM     all      0.21      0.00      0.28      0.00      0.50     99.01
02:16:13 AM     all      0.21      0.00      0.21      0.00      0.43     99.15
02:16:14 AM     all      0.43      0.00      0.28      0.00      0.53     98.76
02:16:15 AM     all      0.28      0.00      0.28      0.00      0.43     99.01
02:16:16 AM     all      0.35      0.00      0.35      0.00      0.50     98.79
02:16:17 AM     all      3.87      0.00      0.74      0.00      0.42     94.96
02:16:18 AM     all     64.10      0.00      3.48      0.00      0.29     32.13
02:16:19 AM     all     34.45      0.00      2.37      0.00      0.24     62.94
02:16:20 AM     all      0.32      0.00      0.36      0.00      0.36     98.97
02:16:21 AM     all      0.32      0.00      0.25      0.00      0.57     98.86
02:16:22 AM     all      0.32      0.00      0.39      0.00      0.43     98.86
02:16:23 AM     all      0.32      0.00      0.25      0.00      0.46     98.97
02:16:24 AM     all      0.18      0.00      0.32      0.00      0.50     99.01
02:16:25 AM     all      0.21      0.00      0.39      0.00      0.39     99.01
02:16:26 AM     all      0.32      0.00      0.46      0.00      0.53     98.69
02:16:27 AM     all      0.35      0.00      0.21      0.00      0.35     99.08
02:16:28 AM     all      0.28      0.00      0.18      0.00      0.53     99.01
02:16:29 AM     all      0.28      0.00      0.35      0.00      0.43     98.94
02:16:30 AM     all      1.73      0.00      0.39      0.00      0.46     97.42
02:16:31 AM     all      3.74      0.00      0.49      0.00      0.46     95.31
02:16:32 AM     all      0.25      0.00      0.35      0.00      0.50     98.90
02:16:33 AM     all      0.25      0.00      0.25      0.00      0.43     99.08
02:16:34 AM     all      0.46      0.00      0.35      0.00      0.46     98.72
02:16:35 AM     all      6.20      0.00      0.88      0.00      0.46     92.47
02:16:36 AM     all     71.76      0.00      3.85      0.00      0.30     24.09
02:16:37 AM     all     12.04      0.00      1.26      0.00      0.38     86.32
02:16:38 AM     all      0.39      0.00      0.28      0.00      0.46     98.86
02:16:39 AM     all      0.21      0.00      0.32      0.00      0.39     99.08
02:16:40 AM     all      0.46      0.00      0.32      0.00      0.50     98.73
02:16:41 AM     all      0.32      0.00      0.32      0.00      0.50     98.87
02:16:42 AM     all      0.32      0.00      0.25      0.00      0.46     98.97
02:16:43 AM     all      0.21      0.00      0.39      0.00      0.46     98.94
02:16:44 AM     all      0.46      0.00      0.39      0.00      0.46     98.69
02:16:45 AM     all      0.36      0.00      0.21      0.00      0.46     98.97
02:16:46 AM     all      4.64      0.00      0.39      0.00      0.39     94.58
02:16:47 AM     all      1.02      0.00      0.28      0.00      0.53     98.16
02:16:48 AM     all      0.39      0.00      0.28      0.00      0.42     98.90
02:16:49 AM     all      0.25      0.00      0.39      0.00      0.39     98.97
02:16:50 AM     all      0.85      0.00      0.35      0.04      0.53     98.23
02:16:51 AM     all      4.58      0.00      0.57      0.00      0.43     94.43
02:16:52 AM     all      6.09      0.00      0.67      0.00      0.42     92.82
02:16:53 AM     all     28.60      0.00      2.39      0.00      0.48     68.53
02:16:54 AM     all     28.19      0.00      2.22      0.00      0.35     69.25
02:16:55 AM     all      5.34      0.00      0.53      0.00      0.42     93.70
02:16:56 AM     all      1.67      0.00      0.39      0.00      0.50     97.45
02:16:57 AM     all      0.21      0.00      0.50      0.00      0.50     98.80
02:16:58 AM     all      0.32      0.00      0.32      0.00      0.43     98.94
02:16:59 AM     all      0.42      0.00      0.71      0.04      0.46     98.38
02:17:00 AM     all      0.42      0.00      0.57      0.00      0.46     98.55
02:17:01 AM     all      0.39      0.00      0.42      0.00      0.42     98.76
02:17:02 AM     all      0.28      0.00      0.28      0.00      0.50     98.94
02:17:03 AM     all      4.46      0.00      0.53      0.00      0.39     94.62
02:17:04 AM     all      0.92      0.00      0.39      0.00      0.49     98.20
02:17:05 AM     all      0.21      0.00      0.25      0.00      0.42     99.12
02:17:06 AM     all      0.35      0.00      0.35      0.00      0.42     98.87
02:17:07 AM     all      1.88      0.00      0.28      0.00      0.50     97.34
02:17:08 AM     all      3.79      0.00      0.49      0.00      0.42     95.30
02:17:09 AM     all      5.79      0.00      0.74      0.00      0.49     92.98
02:17:10 AM     all      6.26      0.00      0.84      0.00      0.46     92.44
02:17:11 AM     all     35.75      0.00      2.19      0.00      0.42     61.64
02:17:12 AM     all     13.94      0.00      1.08      0.00      0.42     84.56
02:17:13 AM     all      1.16      0.00      0.56      0.00      0.42     97.85
02:17:14 AM     all      0.25      0.00      0.21      0.00      0.46     99.08
02:17:15 AM     all      0.28      0.00      0.39      0.00      0.42     98.90
02:17:16 AM     all      0.21      0.00      0.28      0.00      0.49     99.01
02:17:17 AM     all      0.28      0.00      0.18      0.00      0.46     99.08
02:17:18 AM     all      0.32      0.00      0.35      0.00      0.42     98.90
02:17:19 AM     all      0.32      0.00      0.25      0.00      0.46     98.97
02:17:20 AM     all      4.43      0.00      0.63      0.00      0.46     94.48
02:17:21 AM     all      0.85      0.00      0.28      0.00      0.50     98.37
02:17:22 AM     all      0.21      0.00      0.28      0.00      0.43     99.08
02:17:23 AM     all      0.14      0.00      0.21      0.00      0.43     99.22
02:17:24 AM     all      2.84      0.00      0.57      0.00      0.46     96.13
02:17:25 AM     all      4.32      0.00      0.57      0.00      0.42     94.69
02:17:26 AM     all      3.39      0.00      0.42      0.00      0.49     95.70
02:17:27 AM     all      6.74      0.00      0.88      0.00      0.49     91.89
02:17:28 AM     all     18.09      0.00      1.53      0.00      0.42     79.96
02:17:29 AM     all     27.33      0.00      2.01      0.00      0.31     70.35
02:17:30 AM     all      2.58      0.00      0.57      0.00      0.49     96.36
02:17:31 AM     all      0.21      0.00      0.32      0.00      0.46     99.01
02:17:32 AM     all      0.42      0.00      0.64      0.04      0.46     98.45
02:17:33 AM     all      0.25      0.00      0.25      0.00      0.46     99.04
02:17:34 AM     all      0.28      0.00      0.32      0.00      0.43     98.97
02:17:35 AM     all      0.21      0.00      0.32      0.00      0.46     99.01
02:17:36 AM     all      0.32      0.00      0.35      0.00      0.46     98.86
02:17:37 AM     all      4.29      0.00      0.84      0.00      0.46     94.41
02:17:38 AM     all      1.03      0.00      0.25      0.00      0.43     98.29
02:17:39 AM     all      0.28      0.00      0.46      0.00      0.53     98.73
02:17:40 AM     all      0.14      0.00      0.39      0.00      0.43     99.04
02:17:41 AM     all      2.44      0.00      0.64      0.00      0.42     96.50
02:17:42 AM     all      4.76      0.00      0.59      0.00      0.45     94.20
