Linux 3.10.0-327.13.1.el7.x86_64 (ip-192-168-1-252.us-west-2.compute.internal) 	04/19/2016 	_x86_64_	(32 CPU)

05:10:06 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:10:07 AM     all      0.00      0.00      0.03      0.00      0.00     99.97
05:10:08 AM     all     26.24      0.00      1.67      0.00      0.03     72.05
05:10:09 AM     all     95.72      0.00      4.09      0.00      0.00      0.19
05:10:10 AM     all     95.53      0.00      4.41      0.00      0.00      0.06
05:10:11 AM     all     95.09      0.00      4.85      0.00      0.00      0.06
05:10:12 AM     all     93.81      0.00      6.09      0.00      0.00      0.09
05:10:13 AM     all     92.98      0.00      6.89      0.00      0.00      0.12
05:10:14 AM     all     91.87      0.00      8.00      0.00      0.00      0.13
05:10:15 AM     all     90.19      0.00      9.56      0.00      0.03      0.22
05:10:16 AM     all     86.94      0.00     12.07      0.00      0.00      0.99
05:10:17 AM     all     79.08      0.00     11.92      0.00      0.20      8.80
05:10:18 AM     all      3.94      0.00      2.69      0.00      0.30     93.07
05:10:19 AM     all      0.69      0.00      1.98      0.00      0.38     96.95
05:10:20 AM     all      0.65      0.00      1.98      0.00      0.34     97.03
05:10:21 AM     all      0.65      0.00      1.87      0.00      0.34     97.14
05:10:22 AM     all      0.61      0.00      2.02      0.00      0.34     97.03
05:10:23 AM     all      0.57      0.00      1.98      0.00      0.38     97.06
05:10:24 AM     all      0.69      0.00      2.06      0.00      0.34     96.91
05:10:25 AM     all      0.61      0.00      1.87      0.00      0.34     97.17
05:10:26 AM     all      0.61      0.00      2.13      0.00      0.38     96.88
05:10:27 AM     all      0.69      0.00      1.84      0.00      0.34     97.13
05:10:28 AM     all      0.61      0.00      1.91      0.00      0.31     97.17
05:10:29 AM     all      0.68      0.00      2.35      0.00      0.38     96.58
05:10:30 AM     all      0.65      0.00      2.02      0.00      0.34     96.99
05:10:31 AM     all      0.61      0.00      2.06      0.00      0.30     97.03
05:10:32 AM     all      0.69      0.00      1.95      0.00      0.34     97.02
05:10:33 AM     all      0.65      0.00      2.10      0.00      0.38     96.87
05:10:34 AM     all      0.69      0.00      1.91      0.00      0.38     97.03
05:10:35 AM     all      0.80      0.00      1.90      0.00      0.34     96.95
05:10:36 AM     all      0.65      0.00      2.06      0.00      0.34     96.95
05:10:37 AM     all      0.72      0.00      2.05      0.00      0.34     96.89
05:10:38 AM     all      0.69      0.00      2.02      0.00      0.34     96.95
05:10:39 AM     all      1.64      0.00      1.91      0.00      0.34     96.10
05:10:40 AM     all      1.76      0.00      2.06      0.00      0.34     95.83
05:10:41 AM     all      2.91      0.00      2.07      0.00      0.34     94.68
05:10:42 AM     all      4.43      0.00      2.14      0.00      0.38     93.04
05:10:43 AM     all      3.63      0.00      2.33      0.00      0.31     93.74
05:10:44 AM     all      1.64      0.00      2.21      0.00      0.34     95.81
05:10:45 AM     all      1.94      0.00      2.36      0.00      0.38     95.33
05:10:46 AM     all     16.22      0.00      3.28      0.00      0.42     80.07
05:10:47 AM     all     10.12      0.00      2.73      0.00      0.35     86.80
05:10:48 AM     all     18.70      0.00      3.97      0.00      0.42     76.91
05:10:49 AM     all     27.53      0.00      5.74      0.00      0.42     66.31
05:10:50 AM     all     22.40      0.00      5.53      0.00      0.42     71.64
05:10:51 AM     all     20.61      0.00      4.20      0.00      0.39     74.81
05:10:52 AM     all     20.99      0.00      4.34      0.00      0.38     74.28
05:10:53 AM     all     24.92      0.00      4.57      0.00      0.43     70.09
05:10:54 AM     all     14.53      0.00      3.77      0.00      0.38     81.32
05:10:55 AM     all      6.41      0.00      2.23      0.00      0.38     90.98
05:10:56 AM     all     12.26      0.00      3.15      0.00      0.35     84.25
05:10:57 AM     all      9.90      0.00      3.03      0.00      0.42     86.64
05:10:58 AM     all     27.42      0.00      4.98      0.00      0.42     67.17
05:10:59 AM     all     38.42      0.00      7.38      0.00      0.42     53.78
05:11:00 AM     all     58.07      0.00     10.71      0.00      0.36     30.86
05:11:01 AM     all     79.70      0.00     11.93      0.00      0.10      8.26
05:11:02 AM     all     83.64      0.00     11.72      0.00      0.10      4.54
05:11:03 AM     all     84.62      0.00     11.34      0.00      0.06      3.97
05:11:04 AM     all     67.37      0.00     11.23      0.00      0.24     21.15
05:11:05 AM     all      7.78      0.00      3.43      0.00      0.31     88.48
05:11:06 AM     all      0.65      0.00      2.06      0.00      0.38     96.91
05:11:07 AM     all      2.90      0.00      2.25      0.00      0.34     94.50
05:11:08 AM     all      0.72      0.00      2.09      0.00      0.34     96.84
05:11:09 AM     all      0.65      0.00      2.10      0.00      0.34     96.91
05:11:10 AM     all      2.87      0.00      2.15      0.00      0.38     94.60
05:11:11 AM     all      0.80      0.00      2.21      0.00      0.34     96.65
05:11:12 AM     all      0.72      0.00      2.02      0.00      0.30     96.95
05:11:13 AM     all      0.61      0.00      1.95      0.00      0.34     97.10
05:11:14 AM     all      0.76      0.00      2.16      0.00      0.38     96.70
05:11:15 AM     all      0.76      0.00      2.24      0.00      0.34     96.65
05:11:16 AM     all      0.68      0.00      2.01      0.00      0.34     96.96
05:11:17 AM     all      0.95      0.00      2.24      0.00      0.34     96.47
05:11:18 AM     all      0.65      0.00      2.02      0.00      0.34     96.99
05:11:19 AM     all      0.80      0.00      2.13      0.00      0.34     96.73
05:11:20 AM     all      0.80      0.00      2.39      0.00      0.34     96.47
05:11:21 AM     all      1.98      0.00      2.29      0.00      0.34     95.39
05:11:22 AM     all      3.50      0.00      2.32      0.00      0.38     93.80
05:11:23 AM     all      1.14      0.00      2.13      0.00      0.38     96.35
05:11:24 AM     all      0.87      0.00      2.35      0.00      0.30     96.47
05:11:25 AM     all      2.01      0.00      2.35      0.00      0.30     95.34
05:11:26 AM     all      7.83      0.00      2.48      0.00      0.38     89.30
05:11:27 AM     all      1.56      0.00      2.51      0.00      0.34     95.60
05:11:28 AM     all      4.39      0.00      3.18      0.00      0.34     92.09
05:11:29 AM     all     15.02      0.00      3.20      0.00      0.39     81.40
05:11:30 AM     all     12.94      0.00      3.20      0.00      0.42     83.44
05:11:31 AM     all     23.05      0.00      5.19      0.00      0.35     71.42
05:11:32 AM     all     14.49      0.00      3.60      0.00      0.38     81.53
05:11:33 AM     all     20.00      0.00      4.87      0.00      0.38     74.75
05:11:34 AM     all      7.73      0.00      3.20      0.00      0.38     88.69
05:11:35 AM     all     11.39      0.00      3.18      0.00      0.38     85.05
05:11:36 AM     all      7.29      0.00      2.63      0.00      0.34     89.74
05:11:37 AM     all      9.57      0.00      3.43      0.00      0.34     86.66
05:11:38 AM     all      9.96      0.00      3.50      0.00      0.38     86.16
05:11:39 AM     all      8.77      0.00      2.86      0.00      0.34     88.03
05:11:40 AM     all     17.04      0.00      5.37      0.00      0.42     77.17
05:11:41 AM     all     21.78      0.00      5.08      0.00      0.38     72.76
05:11:42 AM     all     21.77      0.00      5.06      0.00      0.42     72.74
05:11:43 AM     all     18.30      0.00      5.40      0.00      0.38     75.91
05:11:44 AM     all     31.39      0.00      7.59      0.00      0.42     60.60
05:11:45 AM     all     35.06      0.00      7.58      0.00      0.42     56.94
05:11:46 AM     all     33.46      0.00      6.35      0.00      0.46     59.72
05:11:47 AM     all     49.15      0.00      9.05      0.00      0.41     41.39
05:11:48 AM     all     48.99      0.00      9.64      0.00      0.37     40.99
05:11:49 AM     all     52.25      0.00     10.87      0.00      0.41     36.48
05:11:50 AM     all     45.63      0.00      8.24      0.00      0.42     45.71
05:11:51 AM     all     22.74      0.00      5.21      0.00      0.38     71.66
05:11:52 AM     all      9.49      0.00      3.76      0.00      0.38     86.37
05:11:53 AM     all      6.20      0.00      2.70      0.00      0.30     90.79
05:11:54 AM     all      3.69      0.00      2.59      0.00      0.38     93.35
05:11:55 AM     all      3.77      0.00      2.55      0.00      0.34     93.34
05:11:56 AM     all      2.54      0.00      2.43      0.00      0.34     94.69
05:11:57 AM     all      3.02      0.00      1.99      0.00      0.34     94.65
05:11:58 AM     all      0.80      0.00      2.05      0.00      0.34     96.81
05:11:59 AM     all      1.81      0.00      3.17      0.00      0.30     94.71
05:12:00 AM     all      3.96      0.00      3.77      0.00      0.38     91.90
05:12:01 AM     all      0.87      0.00      2.31      0.00      0.34     96.48
05:12:02 AM     all      0.99      0.00      2.31      0.00      0.34     96.36
05:12:03 AM     all      0.98      0.00      2.57      0.00      0.34     96.10
05:12:04 AM     all      0.84      0.00      2.35      0.00      0.34     96.47
05:12:05 AM     all      0.84      0.00      2.39      0.00      0.34     96.43
05:12:06 AM     all      4.01      0.00      2.25      0.00      0.38     93.36
05:12:07 AM     all      4.71      0.00      2.62      0.00      0.34     92.33
05:12:08 AM     all      1.06      0.00      2.53      0.00      0.30     96.11
05:12:09 AM     all      4.88      0.00      2.92      0.00      0.34     91.86
05:12:10 AM     all      5.44      0.00      2.63      0.00      0.34     91.59
05:12:11 AM     all      6.82      0.00      2.97      0.00      0.38     89.83
05:12:12 AM     all     11.56      0.00      3.20      0.00      0.38     84.85
05:12:13 AM     all      8.49      0.00      3.41      0.00      0.34     87.76
05:12:14 AM     all     23.75      0.00      4.05      0.00      0.42     71.78
05:12:15 AM     all     13.39      0.00      3.41      0.00      0.38     82.82
05:12:16 AM     all      9.29      0.00      2.89      0.00      0.34     87.48
05:12:17 AM     all      8.16      0.00      3.51      0.00      0.34     87.99
05:12:18 AM     all     11.27      0.00      4.56      0.00      0.38     83.80
05:12:19 AM     all     10.19      0.00      3.76      0.00      0.38     85.67
05:12:20 AM     all      6.59      0.00      2.74      0.00      0.34     90.33
05:12:21 AM     all      5.17      0.00      2.43      0.00      0.38     92.01
05:12:22 AM     all      8.42      0.00      2.97      0.00      0.34     88.27
05:12:23 AM     all      3.89      0.00      2.52      0.00      0.34     93.25
05:12:24 AM     all      6.38      0.00      2.73      0.00      0.34     90.55
05:12:25 AM     all      0.91      0.00      2.72      0.00      0.34     96.03
05:12:26 AM     all      9.69      0.00      2.83      0.00      0.38     87.10
05:12:27 AM     all     22.20      0.00      5.24      0.00      0.38     72.18
05:12:28 AM     all     41.64      0.00      9.13      0.00      0.41     48.81
05:12:29 AM     all     15.61      0.00      3.86      0.00      0.34     80.18
05:12:30 AM     all     26.50      0.00      5.94      0.00      0.42     67.14
05:12:31 AM     all     28.25      0.00      5.68      0.00      0.46     65.61
05:12:32 AM     all     35.42      0.00      5.90      0.00      0.38     58.30
05:12:33 AM     all     52.02      0.00      9.83      0.00      0.37     37.77
05:12:34 AM     all     38.71      0.00      7.67      0.00      0.46     53.17
05:12:35 AM     all     59.27      0.00     11.65      0.00      0.32     28.76
05:12:36 AM     all     49.29      0.00     10.04      0.00      0.37     40.30
05:12:37 AM     all      9.81      0.00      4.53      0.00      0.37     85.29
05:12:38 AM     all     11.80      0.00      4.25      0.00      0.38     83.57
05:12:39 AM     all      8.66      0.00      2.75      0.00      0.34     88.25
05:12:40 AM     all      6.76      0.00      2.96      0.00      0.34     89.94
05:12:41 AM     all      6.09      0.00      2.74      0.00      0.34     90.83
05:12:42 AM     all      4.15      0.00      2.25      0.00      0.34     93.26
05:12:43 AM     all      0.98      0.00      2.35      0.00      0.30     96.36
05:12:44 AM     all      4.51      0.00      2.35      0.00      0.38     92.75
05:12:45 AM     all      5.87      0.00      2.78      0.00      0.34     91.00
05:12:46 AM     all      3.34      0.00      2.36      0.00      0.38     93.92
05:12:47 AM     all      0.98      0.00      2.49      0.00      0.30     96.23
05:12:48 AM     all      5.55      0.00      2.55      0.00      0.34     91.56
05:12:49 AM     all      4.28      0.00      2.69      0.00      0.34     92.69
05:12:50 AM     all      4.12      0.00      2.76      0.00      0.38     92.74
05:12:51 AM     all      8.05      0.00      4.08      0.00      0.34     87.52
05:12:52 AM     all      4.36      0.00      2.88      0.00      0.34     92.42
05:12:53 AM     all     12.32      0.00      4.18      0.00      0.38     83.12
05:12:54 AM     all      6.19      0.00      3.32      0.00      0.34     90.14
05:12:55 AM     all      2.02      0.00      2.21      0.00      0.34     95.43
05:12:56 AM     all      8.31      0.00      3.01      0.00      0.38     88.29
05:12:57 AM     all     18.34      0.00      3.82      0.00      0.39     77.45
05:12:58 AM     all     10.57      0.00      3.31      0.00      0.34     85.78
05:12:59 AM     all     12.72      0.00      3.81      0.00      0.34     83.13
05:13:00 AM     all      8.01      0.00      3.97      0.00      0.38     87.65
05:13:01 AM     all      7.32      0.00      2.60      0.00      0.34     89.74
05:13:02 AM     all      4.64      0.00      2.66      0.00      0.38     92.32
05:13:03 AM     all      4.83      0.00      2.32      0.00      0.34     92.51
05:13:04 AM     all      5.11      0.00      2.65      0.00      0.38     91.87
05:13:05 AM     all      4.26      0.00      2.55      0.00      0.30     92.88
05:13:06 AM     all      7.74      0.00      2.73      0.00      0.42     89.11
05:13:07 AM     all      2.66      0.00      2.47      0.00      0.34     94.53
05:13:08 AM     all      3.78      0.00      2.22      0.00      0.34     93.65
05:13:09 AM     all      5.85      0.00      2.89      0.00      0.38     90.88
05:13:10 AM     all      5.14      0.00      2.72      0.00      0.34     91.80
05:13:11 AM     all      7.55      0.00      3.26      0.00      0.34     88.84
05:13:12 AM     all     18.01      0.00      4.87      0.00      0.38     76.73
05:13:13 AM     all      6.73      0.00      3.06      0.00      0.38     89.82
05:13:14 AM     all     11.52      0.00      3.51      0.00      0.38     84.59
05:13:15 AM     all     22.90      0.00      5.55      0.00      0.42     71.12
05:13:16 AM     all     36.28      0.00      7.69      0.00      0.42     55.61
05:13:17 AM     all     27.42      0.00      5.84      0.00      0.42     66.32
05:13:18 AM     all     29.02      0.00      7.17      0.00      0.38     63.43
05:13:19 AM     all     32.51      0.00      7.11      0.00      0.46     59.92
05:13:20 AM     all     28.10      0.00      6.90      0.00      0.41     64.58
05:13:21 AM     all     27.57      0.00      5.78      0.00      0.38     66.27
05:13:22 AM     all     41.56      0.00      8.03      0.00      0.41     50.00
05:13:23 AM     all     45.00      0.00      8.42      0.00      0.42     46.17
05:13:24 AM     all     16.95      0.00      4.06      0.00      0.35     78.64
05:13:25 AM     all     15.21      0.00      3.47      0.00      0.38     80.94
05:13:26 AM     all      3.25      0.00      2.76      0.00      0.34     93.65
05:13:27 AM     all      9.01      0.00      3.27      0.00      0.34     87.37
05:13:28 AM     all      4.89      0.00      2.18      0.00      0.34     92.60
05:13:29 AM     all      5.67      0.00      2.40      0.00      0.38     91.55
05:13:30 AM     all      9.23      0.00      3.52      0.00      0.38     86.87
05:13:31 AM     all      4.89      0.00      3.12      0.00      0.34     91.64
05:13:32 AM     all      9.35      0.00      2.77      0.00      0.38     87.50
05:13:33 AM     all      7.58      0.00      3.43      0.00      0.30     88.69
05:13:34 AM     all      1.50      0.00      3.37      0.00      0.30     94.83
05:13:35 AM     all      3.51      0.00      2.76      0.00      0.38     93.35
05:13:36 AM     all      8.50      0.00      3.78      0.00      0.34     87.39
05:13:37 AM     all      2.13      0.00      2.50      0.00      0.34     95.03
05:13:38 AM     all      8.39      0.00      3.88      0.00      0.34     87.39
05:13:39 AM     all     15.44      0.00      3.63      0.00      0.38     80.54
05:13:40 AM     all      8.99      0.00      2.85      0.00      0.30     87.86
05:13:41 AM     all     10.17      0.00      4.29      0.00      0.38     85.17
05:13:42 AM     all     29.87      0.00      5.89      0.00      0.42     63.82
05:13:43 AM     all      7.32      0.00      3.44      0.00      0.38     88.86
05:13:44 AM     all      3.43      0.00      2.90      0.00      0.34     93.33
05:13:45 AM     all     11.17      0.00      4.25      0.00      0.38     84.20
05:13:46 AM     all      7.09      0.00      3.54      0.00      0.38     88.99
05:13:47 AM     all      2.21      0.00      2.59      0.00      0.30     94.89
05:13:48 AM     all      1.59      0.00      2.53      0.00      0.34     95.54
05:13:49 AM     all      5.07      0.00      2.73      0.00      0.34     91.86
05:13:50 AM     all      1.14      0.00      2.35      0.00      0.34     96.18
05:13:51 AM     all      5.85      0.00      3.06      0.00      0.34     90.75
05:13:52 AM     all      4.24      0.00      2.88      0.00      0.38     92.50
05:13:53 AM     all      2.22      0.00      2.52      0.00      0.30     94.96
05:13:54 AM     all      2.51      0.00      2.85      0.00      0.30     94.34
05:13:55 AM     all      7.54      0.00      3.43      0.00      0.34     88.69
05:13:56 AM     all      5.80      0.00      3.17      0.00      0.34     90.69
05:13:57 AM     all      6.52      0.00      2.61      0.00      0.34     90.53
05:13:58 AM     all     13.84      0.00      4.25      0.00      0.34     81.57
05:13:59 AM     all     12.05      0.00      4.19      0.00      0.34     83.42
05:14:00 AM     all     17.80      0.00      4.81      0.00      0.38     77.01
05:14:01 AM     all     15.45      0.00      3.97      0.00      0.38     80.21
05:14:02 AM     all     20.17      0.00      4.87      0.00      0.46     74.50
05:14:03 AM     all     19.08      0.00      4.58      0.00      0.38     75.95
05:14:04 AM     all     22.70      0.00      5.63      0.00      0.38     71.29
05:14:05 AM     all     26.04      0.00      5.54      0.00      0.38     68.04
05:14:06 AM     all     28.91      0.00      7.63      0.00      0.45     63.00
05:14:07 AM     all     33.30      0.00      7.78      0.00      0.42     58.51
05:14:08 AM     all     28.29      0.00      5.65      0.00      0.42     65.64
05:14:09 AM     all     22.37      0.00      5.12      0.00      0.38     72.13
05:14:10 AM     all     24.19      0.00      5.39      0.00      0.42     70.00
05:14:11 AM     all     27.39      0.00      6.86      0.00      0.42     65.33
05:14:12 AM     all     22.65      0.00      5.91      0.00      0.38     71.06
05:14:13 AM     all     14.11      0.00      4.60      0.00      0.38     80.91
05:14:14 AM     all     15.83      0.00      4.68      0.00      0.38     79.11
05:14:15 AM     all      3.21      0.00      2.98      0.00      0.30     93.50
05:14:16 AM     all     13.65      0.00      4.70      0.00      0.42     81.23
05:14:17 AM     all      7.20      0.00      3.18      0.00      0.34     89.27
05:14:18 AM     all      2.28      0.00      2.24      0.00      0.34     95.14
05:14:19 AM     all     10.75      0.00      2.98      0.00      0.34     85.93
05:14:20 AM     all     13.39      0.00      3.36      0.00      0.38     82.87
05:14:21 AM     all     12.88      0.00      3.17      0.00      0.38     83.56
05:14:22 AM     all     10.52      0.00      3.12      0.00      0.38     85.98
05:14:23 AM     all     11.81      0.00      4.25      0.00      0.34     83.59
05:14:24 AM     all     12.68      0.00      2.64      0.00      0.38     84.30
05:14:25 AM     all      4.67      0.00      3.77      0.00      0.34     91.22
05:14:26 AM     all     13.42      0.00      3.55      0.00      0.38     82.65
05:14:27 AM     all     14.48      0.00      3.88      0.00      0.38     81.26
05:14:28 AM     all      7.93      0.00      3.36      0.00      0.38     88.34
05:14:29 AM     all      6.08      0.00      3.93      0.00      0.34     89.65
05:14:30 AM     all      3.03      0.00      2.39      0.00      0.34     94.24
05:14:31 AM     all      6.71      0.00      2.69      0.00      0.34     90.26
05:14:32 AM     all      7.72      0.00      3.24      0.00      0.34     88.71
05:14:33 AM     all      6.10      0.00      2.44      0.00      0.34     91.12
05:14:34 AM     all      3.12      0.00      2.02      0.00      0.38     94.48
05:14:35 AM     all      4.53      0.00      4.46      0.00      0.30     90.71
05:14:36 AM     all      3.88      0.00      2.83      0.00      0.30     92.99
05:14:37 AM     all      2.99      0.00      2.38      0.00      0.34     94.28
05:14:38 AM     all      0.95      0.00      2.08      0.00      0.34     96.63
05:14:39 AM     all      3.10      0.00      2.16      0.00      0.34     94.40
05:14:40 AM     all      3.29      0.00      2.42      0.00      0.34     93.96
05:14:41 AM     all      5.40      0.00      2.75      0.00      0.30     91.55
05:14:42 AM     all      9.25      0.00      3.80      0.00      0.38     86.58
05:14:43 AM     all      7.83      0.00      3.29      0.00      0.30     88.57
05:14:44 AM     all     18.04      0.00      3.97      0.00      0.38     77.61
05:14:45 AM     all     15.55      0.00      4.25      0.00      0.38     79.82
05:14:46 AM     all     17.84      0.00      4.37      0.00      0.38     77.41
05:14:47 AM     all     23.41      0.00      4.26      0.00      0.38     71.95
05:14:48 AM     all     25.75      0.00      5.68      0.00      0.38     68.18
05:14:49 AM     all     36.15      0.00      7.28      0.00      0.38     56.18
05:14:50 AM     all     30.64      0.00      5.44      0.00      0.42     63.50
05:14:51 AM     all     20.74      0.00      5.04      0.00      0.38     73.83
05:14:52 AM     all     11.81      0.00      3.11      0.00      0.34     84.74
05:14:53 AM     all     10.75      0.00      3.48      0.00      0.38     85.38
05:14:54 AM     all      4.02      0.00      2.67      0.00      0.30     93.01
05:14:55 AM     all     12.76      0.00      3.12      0.00      0.34     83.77
05:14:56 AM     all     12.81      0.00      3.43      0.00      0.34     83.42
05:14:57 AM     all      8.24      0.00      2.66      0.00      0.34     88.77
05:14:58 AM     all     14.49      0.00      4.29      0.00      0.38     80.84
05:14:59 AM     all     11.77      0.00      4.04      0.00      0.38     83.82
05:15:00 AM     all      9.88      0.00      3.81      0.00      0.34     85.97
05:15:01 AM     all     17.16      0.00      4.39      0.00      0.38     78.07
05:15:02 AM     all     27.96      0.00      6.39      0.00      0.42     65.23
05:15:03 AM     all     16.49      0.00      3.93      0.00      0.42     79.15
05:15:04 AM     all     32.85      0.00      6.48      0.00      0.38     60.29
05:15:05 AM     all     23.64      0.00      5.04      0.00      0.42     70.89
05:15:06 AM     all     18.94      0.00      4.76      0.00      0.38     75.91
05:15:07 AM     all      5.70      0.00      2.55      0.00      0.34     91.41
05:15:08 AM     all      7.96      0.00      2.79      0.00      0.34     88.91
05:15:09 AM     all      3.01      0.00      2.52      0.00      0.34     94.13
05:15:10 AM     all      1.16      0.00      2.37      0.00      0.30     96.17
05:15:11 AM     all      1.27      0.00      2.76      0.00      0.30     95.67
05:15:12 AM     all      1.34      0.00      2.69      0.00      0.30     95.67
05:15:13 AM     all      3.45      0.00      2.59      0.00      0.30     93.66
05:15:14 AM     all      5.02      0.00      3.57      0.00      0.33     91.08
05:15:15 AM     all      5.30      0.00      3.50      0.00      0.34     90.86
05:15:16 AM     all      4.99      0.00      2.34      0.00      0.30     92.37
05:15:17 AM     all     10.21      0.00      3.38      0.00      0.34     86.07
05:15:18 AM     all     10.95      0.00      3.39      0.00      0.38     85.28
05:15:19 AM     all      8.80      0.00      4.40      0.00      0.34     86.47
05:15:20 AM     all      7.02      0.00      3.41      0.00      0.30     89.27
05:15:21 AM     all      4.47      0.00      2.93      0.00      0.30     92.31
05:15:22 AM     all     13.67      0.00      5.03      0.00      0.37     80.92
05:15:23 AM     all     16.13      0.00      3.97      0.00      0.38     79.53
05:15:24 AM     all     15.53      0.00      3.65      0.00      0.34     80.48
05:15:25 AM     all     10.76      0.00      3.17      0.00      0.34     85.73
05:15:26 AM     all      9.98      0.00      3.75      0.00      0.34     85.93
05:15:27 AM     all     17.33      0.00      4.49      0.00      0.38     77.79
05:15:28 AM     all     42.82      0.00      7.99      0.00      0.38     48.81
05:15:29 AM     all     30.33      0.00      6.66      0.00      0.38     62.63
05:15:30 AM     all     32.52      0.00      6.05      0.00      0.42     61.01
05:15:31 AM     all     41.91      0.00      8.09      0.00      0.38     49.62
05:15:32 AM     all     24.91      0.00      6.53      0.00      0.37     68.19
05:15:33 AM     all     13.61      0.00      4.81      0.00      0.34     81.24
05:15:34 AM     all     11.96      0.00      3.10      0.00      0.38     84.56
05:15:35 AM     all      5.00      0.00      2.82      0.00      0.30     91.87
05:15:36 AM     all      9.58      0.00      3.41      0.00      0.34     86.67
05:15:37 AM     all     10.96      0.00      3.82      0.00      0.34     84.89
05:15:38 AM     all     10.33      0.00      4.59      0.00      0.33     84.75
05:15:39 AM     all      9.27      0.00      3.93      0.00      0.34     86.46
05:15:40 AM     all      3.30      0.00      2.77      0.00      0.30     93.63
05:15:41 AM     all      1.31      0.00      2.47      0.00      0.30     95.92
05:15:42 AM     all      1.30      0.00      2.80      0.00      0.30     95.60
05:15:43 AM     all      3.91      0.00      3.09      0.00      0.30     92.69
05:15:44 AM     all      5.42      0.00      3.21      0.00      0.30     91.07
05:15:45 AM     all      3.95      0.00      3.99      0.00      0.30     91.76
05:15:46 AM     all      9.46      0.00      3.70      0.00      0.34     86.50
05:15:47 AM     all      3.81      0.00      2.91      0.00      0.30     92.99
05:15:48 AM     all      2.76      0.00      3.05      0.00      0.30     93.89
05:15:49 AM     all      6.08      0.00      3.13      0.00      0.34     90.46
05:15:50 AM     all      5.42      0.00      3.40      0.00      0.34     90.84
05:15:51 AM     all     14.86      0.00      4.03      0.00      0.34     80.78
05:15:52 AM     all     13.64      0.00      3.75      0.00      0.34     82.27
05:15:53 AM     all     11.96      0.00      3.22      0.00      0.30     84.53
05:15:54 AM     all      4.51      0.00      2.95      0.00      0.34     92.20
05:15:55 AM     all     12.43      0.00      3.91      0.00      0.34     83.33
05:15:56 AM     all     20.93      0.00      4.79      0.00      0.34     73.94
05:15:57 AM     all     20.91      0.00      5.12      0.00      0.34     73.64
05:15:58 AM     all     13.86      0.00      5.10      0.00      0.33     80.71
05:15:59 AM     all     11.84      0.00      3.96      0.00      0.34     83.87
05:16:00 AM     all     20.94      0.00      5.45      0.00      0.33     73.28
05:16:01 AM     all     19.05      0.00      5.49      0.00      0.34     75.12
05:16:02 AM     all      9.48      0.00      3.74      0.00      0.33     86.44
05:16:03 AM     all      7.13      0.00      3.84      0.00      0.30     88.74
05:16:04 AM     all      8.36      0.00      3.77      0.00      0.33     87.53
05:16:05 AM     all      9.01      0.00      3.87      0.00      0.30     86.82
05:16:06 AM     all     14.70      0.00      3.70      0.00      0.34     81.26
05:16:07 AM     all     11.38      0.00      3.97      0.00      0.30     84.36
05:16:08 AM     all     16.22      0.00      4.36      0.00      0.34     79.08
05:16:09 AM     all     10.43      0.00      3.96      0.00      0.30     85.31
05:16:10 AM     all     11.49      0.00      3.93      0.00      0.37     84.20
05:16:11 AM     all     24.91      0.00      5.86      0.00      0.34     68.90
05:16:12 AM     all     26.18      0.00      5.29      0.00      0.34     68.19
05:16:13 AM     all     14.22      0.00      5.07      0.00      0.33     80.38
05:16:14 AM     all     32.69      0.00      7.37      0.00      0.37     59.57
05:16:15 AM     all     43.69      0.00      8.44      0.00      0.37     47.51
05:16:16 AM     all     30.76      0.00      7.68      0.00      0.33     61.22
05:16:17 AM     all     23.34      0.00      6.24      0.00      0.33     70.09
05:16:18 AM     all     27.15      0.00      6.49      0.00      0.33     66.03
05:16:19 AM     all     16.34      0.00      5.05      0.00      0.33     78.28
05:16:20 AM     all      8.29      0.00      3.06      0.00      0.30     88.35
05:16:21 AM     all      8.05      0.00      3.75      0.00      0.30     87.91
05:16:22 AM     all     14.01      0.00      5.21      0.00      0.33     80.45
05:16:23 AM     all     13.65      0.00      4.20      0.00      0.30     81.85
05:16:24 AM     all      8.54      0.00      3.62      0.00      0.34     87.50
05:16:25 AM     all      7.53      0.00      5.23      0.00      0.29     86.95
05:16:26 AM     all      5.22      0.00      3.53      0.00      0.29     90.95
05:16:27 AM     all      2.10      0.00      3.10      0.00      0.30     94.50
05:16:28 AM     all      3.81      0.00      3.48      0.00      0.30     92.41
05:16:29 AM     all      1.73      0.00      3.21      0.00      0.30     94.76
05:16:30 AM     all      3.08      0.00      3.04      0.00      0.30     93.58
