Linux 3.10.0-327.13.1.el7.x86_64 (ip-192-168-1-252.us-west-2.compute.internal) 	04/19/2016 	_x86_64_	(32 CPU)

07:04:26 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:04:27 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
07:04:28 AM     all     23.93      0.00      4.12      0.00      0.10     71.85
07:04:29 AM     all      0.22      0.00      0.61      0.00      0.50     98.67
07:04:30 AM     all      0.29      0.00      0.47      0.00      0.47     98.78
07:04:31 AM     all      0.25      0.00      0.50      0.00      0.50     98.74
07:04:32 AM     all      0.14      0.00      0.40      0.00      0.50     98.96
07:04:33 AM     all      0.14      0.00      0.29      0.00      0.54     99.03
07:04:34 AM     all      0.22      0.00      0.32      0.00      0.54     98.92
07:04:35 AM     all      0.22      0.00      0.36      0.00      0.47     98.96
07:04:36 AM     all      0.18      0.00      0.43      0.00      0.58     98.81
07:04:37 AM     all      0.18      0.00      0.36      0.00      0.50     98.96
07:04:38 AM     all      0.22      0.00      0.47      0.00      0.54     98.78
07:04:39 AM     all      0.22      0.00      0.40      0.00      0.47     98.92
07:04:40 AM     all      0.11      0.00      0.32      0.00      0.50     99.06
07:04:41 AM     all      1.85      0.00      0.75      0.00      0.61     96.79
07:04:42 AM     all     20.64      0.00      3.43      0.00      0.31     75.62
07:04:43 AM     all      0.18      0.00      0.43      0.00      0.51     98.88
07:04:44 AM     all      0.22      0.00      0.50      0.00      0.50     98.78
07:04:45 AM     all      0.18      0.00      0.32      0.00      0.54     98.96
07:04:46 AM     all      0.22      0.00      0.40      0.00      0.50     98.89
07:04:47 AM     all      0.22      0.00      0.36      0.00      0.54     98.88
07:04:48 AM     all      0.18      0.00      0.40      0.00      0.47     98.95
07:04:49 AM     all      0.18      0.00      0.36      0.00      0.50     98.96
07:04:50 AM     all      0.18      0.00      0.40      0.00      0.58     98.85
07:04:51 AM     all      0.22      0.00      0.50      0.00      0.50     98.77
07:04:52 AM     all      0.22      0.00      0.36      0.00      0.54     98.88
07:04:53 AM     all      0.14      0.00      0.36      0.00      0.50     98.99
07:04:54 AM     all      0.22      0.00      0.43      0.00      0.54     98.81
07:04:55 AM     all     18.67      0.00      3.27      0.00      0.45     77.60
07:04:56 AM     all      1.90      0.00      0.68      0.00      0.43     96.98
07:04:57 AM     all      1.08      0.00      0.47      0.00      0.50     97.95
07:04:58 AM     all      0.22      0.00      0.40      0.00      0.58     98.81
07:04:59 AM     all      0.18      0.00      0.43      0.00      0.51     98.88
07:05:00 AM     all      0.18      0.00      0.43      0.00      0.50     98.88
07:05:01 AM     all      0.18      0.00      0.50      0.00      0.54     98.78
07:05:02 AM     all      0.22      0.00      0.40      0.00      0.50     98.88
07:05:03 AM     all      0.29      0.00      0.40      0.00      0.50     98.81
07:05:04 AM     all      0.22      0.00      0.47      0.00      0.54     98.78
07:05:05 AM     all      0.22      0.00      0.47      0.00      0.47     98.85
07:05:06 AM     all      0.14      0.00      0.29      0.00      0.58     98.99
07:05:07 AM     all      0.83      0.00      0.43      0.00      0.54     98.20
07:05:08 AM     all      6.72      0.00      1.29      0.00      0.50     91.50
07:05:09 AM     all     11.09      0.00      1.87      0.00      0.46     86.58
07:05:10 AM     all      2.40      0.00      0.65      0.00      0.50     96.45
07:05:11 AM     all      0.65      0.00      0.47      0.00      0.47     98.41
07:05:12 AM     all      0.18      0.00      0.29      0.00      0.50     99.03
07:05:13 AM     all      0.14      0.00      0.25      0.00      0.57     99.03
07:05:14 AM     all      0.22      0.00      0.43      0.00      0.54     98.81
07:05:15 AM     all      0.22      0.00      0.47      0.00      0.51     98.81
07:05:16 AM     all      0.25      0.00      0.50      0.00      0.50     98.74
07:05:17 AM     all      0.14      0.00      0.36      0.00      0.50     98.99
07:05:18 AM     all      0.22      0.00      0.36      0.00      0.50     98.92
