Linux 3.10.0-327.13.1.el7.x86_64 (ip-192-168-1-252.us-west-2.compute.internal) 	04/19/2016 	_x86_64_	(32 CPU)

06:25:34 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:25:35 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:25:36 AM     all     15.53      0.00      0.91      0.00      0.00     83.56
06:25:37 AM     all     59.50      0.00      2.84      0.00      0.06     37.60
06:25:38 AM     all      1.04      0.00      0.61      0.00      0.50     97.84
06:25:39 AM     all      0.25      0.00      0.50      0.00      0.50     98.74
06:25:40 AM     all      0.25      0.00      0.43      0.00      0.54     98.77
06:25:41 AM     all      0.18      0.00      0.43      0.00      0.50     98.88
06:25:42 AM     all      0.18      0.00      0.32      0.00      0.54     98.96
06:25:43 AM     all      0.22      0.00      0.50      0.00      0.54     98.74
06:25:44 AM     all      0.22      0.00      0.40      0.00      0.54     98.85
06:25:45 AM     all      0.22      0.00      0.50      0.00      0.50     98.78
06:25:46 AM     all      0.18      0.00      0.36      0.00      0.54     98.92
06:25:47 AM     all      0.18      0.00      0.40      0.00      0.51     98.92
06:25:48 AM     all      0.22      0.00      0.40      0.00      0.54     98.85
06:25:49 AM     all      5.42      0.00      0.75      0.00      0.50     93.34
06:25:50 AM     all     35.23      0.00      2.49      0.00      0.34     61.94
06:25:51 AM     all     20.91      0.00      1.36      0.00      0.38     77.34
06:25:52 AM     all      0.18      0.00      0.47      0.00      0.47     98.89
06:25:53 AM     all      0.25      0.00      0.39      0.00      0.54     98.82
06:25:54 AM     all      0.21      0.00      0.39      0.00      0.54     98.86
06:25:55 AM     all      0.22      0.00      0.32      0.00      0.50     98.96
06:25:56 AM     all      0.22      0.00      0.40      0.00      0.50     98.89
06:25:57 AM     all      0.14      0.00      0.32      0.00      0.47     99.07
06:25:58 AM     all      0.18      0.00      0.36      0.00      0.57     98.89
06:25:59 AM     all      0.22      0.00      0.32      0.00      0.50     98.96
06:26:00 AM     all      0.22      0.00      0.50      0.00      0.50     98.78
06:26:01 AM     all      6.05      0.00      0.92      0.00      0.50     92.53
06:26:02 AM     all      2.02      0.00      0.53      0.00      0.50     96.95
06:26:03 AM     all     12.25      0.00      1.03      0.00      0.46     86.26
06:26:04 AM     all     34.57      0.00      2.15      0.00      0.49     62.79
06:26:05 AM     all     10.54      0.00      0.93      0.00      0.50     88.02
06:26:06 AM     all      0.18      0.00      0.32      0.00      0.50     99.00
06:26:07 AM     all      0.22      0.00      0.47      0.00      0.54     98.78
06:26:08 AM     all      0.79      0.00      0.47      0.00      0.50     98.24
06:26:09 AM     all      1.98      0.00      0.40      0.00      0.54     97.09
06:26:10 AM     all      0.21      0.00      0.36      0.00      0.50     98.93
06:26:11 AM     all      0.18      0.00      0.32      0.00      0.50     98.99
06:26:12 AM     all      0.14      0.00      0.36      0.00      0.54     98.96
06:26:13 AM     all      0.18      0.00      0.32      0.00      0.50     98.99
06:26:14 AM     all      6.97      0.00      0.64      0.00      0.50     91.89
06:26:15 AM     all      3.58      0.00      0.75      0.00      0.50     95.17
06:26:16 AM     all      4.71      0.00      0.89      0.00      0.53     93.87
06:26:17 AM     all     16.60      0.00      1.28      0.00      0.50     81.63
06:26:18 AM     all     24.90      0.00      2.08      0.00      0.46     72.55
06:26:19 AM     all      3.52      0.00      0.65      0.00      0.50     95.33
06:26:20 AM     all      0.22      0.00      0.40      0.00      0.47     98.92
06:26:21 AM     all      0.32      0.00      0.39      0.00      0.57     98.71
06:26:22 AM     all      2.43      0.00      0.43      0.00      0.50     96.64
06:26:23 AM     all      0.18      0.00      0.32      0.00      0.50     98.99
