Linux 3.10.0-327.13.1.el7.x86_64 (ip-192-168-1-252.us-west-2.compute.internal) 	04/21/2016 	_x86_64_	(32 CPU)

08:55:45 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:55:46 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:55:47 PM     all     36.82      0.00      6.87      0.00      0.03     56.27
08:55:48 PM     all     64.77      0.00     15.16      0.00      0.35     19.72
08:55:49 PM     all     66.38      0.00     21.39      0.00      0.31     11.92
08:55:50 PM     all     44.38      0.00     14.09      0.00      0.21     41.33
08:55:51 PM     all      0.07      0.00      0.68      0.00      0.25     99.00
08:55:52 PM     all      0.11      0.00      0.68      0.00      0.29     98.93
08:55:53 PM     all      0.07      0.00      0.78      0.00      0.29     98.86
08:55:54 PM     all      0.07      0.00      0.68      0.00      0.29     98.97
08:55:55 PM     all      0.11      0.00      0.82      0.00      0.29     98.79
08:55:56 PM     all      0.11      0.00      0.82      0.00      0.29     98.79
08:55:57 PM     all      0.14      0.00      0.71      0.00      0.29     98.86
08:55:58 PM     all      0.11      0.00      0.75      0.00      0.32     98.82
08:55:59 PM     all      0.11      0.00      0.71      0.00      0.25     98.93
08:56:00 PM     all      0.11      0.00      0.71      0.00      0.29     98.89
08:56:01 PM     all      0.11      0.00      0.79      0.00      0.29     98.82
08:56:02 PM     all      0.11      0.00      0.82      0.00      0.32     98.75
08:56:03 PM     all      0.07      0.00      0.93      0.00      0.28     98.72
08:56:04 PM     all      0.07      0.00      0.86      0.00      0.29     98.79
08:56:05 PM     all      0.11      0.00      0.75      0.00      0.29     98.86
08:56:06 PM     all      0.18      0.00      0.78      0.00      0.29     98.75
08:56:07 PM     all      0.07      0.00      0.79      0.00      0.25     98.89
08:56:08 PM     all      0.11      0.00      0.78      0.00      0.32     98.79
08:56:09 PM     all      0.11      0.00      0.71      0.00      0.29     98.89
08:56:10 PM     all      0.14      0.00      0.82      0.00      0.32     98.72
08:56:11 PM     all      0.14      0.00      0.78      0.00      0.25     98.82
08:56:12 PM     all      0.11      0.00      0.92      0.00      0.32     98.65
08:56:13 PM     all      0.11      0.00      0.78      0.00      0.25     98.86
08:56:14 PM     all      0.14      0.00      0.93      0.00      0.32     98.61
08:56:15 PM     all      0.11      0.00      0.75      0.00      0.25     98.89
08:56:16 PM     all      0.14      0.00      0.78      0.00      0.32     98.75
08:56:17 PM     all      0.07      0.00      0.79      0.00      0.25     98.89
08:56:18 PM     all      0.14      0.00      0.82      0.00      0.32     98.72
08:56:19 PM     all      0.11      0.00      0.92      0.00      0.28     98.68
08:56:20 PM     all      0.14      0.00      0.85      0.00      0.28     98.72
