Linux 3.10.0-327.13.1.el7.x86_64 (ip-192-168-1-252.us-west-2.compute.internal) 	04/22/2016 	_x86_64_	(32 CPU)

12:05:52 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:05:53 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:05:54 AM     all     20.24      0.00      3.57      0.00      0.03     76.16
12:05:55 AM     all     70.87      0.00     15.26      0.00      0.17     13.71
12:05:56 AM     all     74.43      0.00     19.48      0.00      0.23      5.85
12:05:57 AM     all     72.43      0.00     21.76      0.00      0.13      5.67
12:05:58 AM     all      6.56      0.00      5.07      0.00      0.29     88.07
12:05:59 AM     all      2.10      0.00      3.52      0.00      0.25     94.12
12:06:00 AM     all      2.25      0.00      3.41      0.00      0.25     94.09
12:06:01 AM     all      2.28      0.00      3.58      0.00      0.25     93.89
12:06:02 AM     all      2.35      0.00      3.69      0.00      0.25     93.70
12:06:03 AM     all      2.04      0.00      3.34      0.00      0.25     94.37
12:06:04 AM     all      2.11      0.00      3.53      0.00      0.29     94.07
12:06:05 AM     all      2.11      0.00      3.53      0.00      0.25     94.10
12:06:06 AM     all      2.31      0.00      3.62      0.00      0.25     93.82
12:06:07 AM     all      2.18      0.00      3.82      0.00      0.25     93.75
12:06:08 AM     all      2.27      0.00      3.57      0.00      0.25     93.90
12:06:09 AM     all      2.28      0.00      3.43      0.00      0.25     94.04
12:06:10 AM     all      2.28      0.00      3.66      0.00      0.29     93.77
12:06:11 AM     all      2.21      0.00      3.48      0.00      0.22     94.09
12:06:12 AM     all      2.17      0.00      3.98      0.00      0.25     93.60
12:06:13 AM     all      2.44      0.00      3.73      0.00      0.25     93.59
12:06:14 AM     all      2.24      0.00      4.19      0.00      0.25     93.32
