Linux 3.10.0-327.13.1.el7.x86_64 (ip-192-168-1-252.us-west-2.compute.internal) 	04/21/2016 	_x86_64_	(32 CPU)

11:43:58 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:43:59 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
11:44:00 PM     all     34.68      0.00      6.29      0.00      0.10     58.93
11:44:01 PM     all     67.98      0.00     15.37      0.00      0.31     16.34
11:44:02 PM     all     72.48      0.00     20.16      0.00      0.27      7.08
11:44:03 PM     all     67.78      0.00     21.40      0.00      0.24     10.58
11:44:04 PM     all      5.02      0.00      2.84      0.00      0.35     91.79
11:44:05 PM     all      0.73      0.00      1.37      0.00      0.31     97.59
11:44:06 PM     all      0.73      0.00      1.41      0.00      0.34     97.52
11:44:07 PM     all      0.57      0.00      1.49      0.00      0.38     97.56
11:44:08 PM     all      0.76      0.00      1.48      0.00      0.34     97.41
11:44:09 PM     all      0.76      0.00      1.52      0.00      0.30     97.41
11:44:10 PM     all      0.69      0.00      1.60      0.00      0.38     97.34
11:44:11 PM     all      0.65      0.00      1.56      0.00      0.30     97.49
11:44:12 PM     all      0.72      0.00      1.45      0.00      0.34     97.49
11:44:13 PM     all      0.65      0.00      1.49      0.00      0.34     97.52
11:44:14 PM     all      0.69      0.00      1.45      0.00      0.31     97.55
11:44:15 PM     all      0.69      0.00      1.68      0.00      0.38     97.26
11:44:16 PM     all      0.69      0.00      1.34      0.00      0.31     97.66
11:44:17 PM     all      0.69      0.00      1.53      0.00      0.34     97.44
11:44:18 PM     all      0.69      0.00      1.49      0.00      0.34     97.48
11:44:19 PM     all      0.65      0.00      1.34      0.00      0.34     97.67
11:44:20 PM     all      0.72      0.00      1.53      0.00      0.34     97.41
11:44:21 PM     all      0.73      0.00      1.37      0.00      0.34     97.56
11:44:22 PM     all      0.72      0.00      1.79      0.00      0.38     97.11
11:44:23 PM     all      0.76      0.00      1.38      0.00      0.31     97.56
11:44:24 PM     all      0.69      0.00      1.67      0.00      0.34     97.30
11:44:25 PM     all      0.73      0.00      1.64      0.00      0.34     97.29
11:44:26 PM     all      0.69      0.00      1.64      0.00      0.34     97.33
11:44:27 PM     all      0.65      0.00      1.45      0.00      0.34     97.55
11:44:28 PM     all      0.76      0.00      1.64      0.00      0.38     97.22
11:44:29 PM     all      0.88      0.00      1.60      0.00      0.30     97.22
11:44:30 PM     all      0.65      0.00      1.60      0.00      0.38     97.37
11:44:31 PM     all      0.72      0.00      1.75      0.00      0.30     97.22
11:44:32 PM     all      0.69      0.00      1.64      0.00      0.38     97.30
11:44:33 PM     all      0.76      0.00      1.75      0.00      0.34     97.15
11:44:34 PM     all      0.87      0.00      2.09      0.00      0.30     96.74
11:44:35 PM     all      0.72      0.00      1.64      0.00      0.34     97.30
11:44:36 PM     all      1.03      0.00      1.64      0.00      0.34     96.99
11:44:37 PM     all      2.10      0.00      1.80      0.00      0.34     95.75
11:44:38 PM     all      2.94      0.00      1.83      0.00      0.34     94.88
11:44:39 PM     all      3.16      0.00      2.93      0.00      0.38     93.53
11:44:40 PM     all     10.69      0.00      3.36      0.00      0.39     85.57
11:44:41 PM     all      8.29      0.00      2.81      0.00      0.39     88.52
11:44:42 PM     all     14.58      0.00      4.07      0.00      0.35     80.99
11:44:43 PM     all     13.68      0.00      3.98      0.00      0.43     81.91
11:44:44 PM     all     14.01      0.00      4.27      0.00      0.42     81.29
11:44:45 PM     all     18.08      0.00      5.56      0.00      0.42     75.94
11:44:46 PM     all     31.10      0.00      9.30      0.00      0.46     59.14
11:44:47 PM     all     32.43      0.00      9.72      0.00      0.47     57.39
11:44:48 PM     all     21.05      0.00      6.58      0.00      0.43     71.94
11:44:49 PM     all     17.02      0.00      5.01      0.00      0.43     77.54
11:44:50 PM     all      6.39      0.00      2.81      0.00      0.38     90.42
11:44:51 PM     all      2.71      0.00      2.26      0.00      0.34     94.69
11:44:52 PM     all      2.56      0.00      2.06      0.00      0.31     95.08
11:44:53 PM     all      2.01      0.00      2.01      0.00      0.38     95.59
11:44:54 PM     all      2.36      0.00      2.09      0.00      0.30     95.24
11:44:55 PM     all      0.80      0.00      1.90      0.00      0.34     96.97
11:44:56 PM     all      0.83      0.00      2.05      0.00      0.38     96.74
11:44:57 PM     all      0.87      0.00      1.97      0.00      0.30     96.86
11:44:58 PM     all      0.76      0.00      1.83      0.00      0.30     97.11
11:44:59 PM     all      0.84      0.00      2.05      0.00      0.38     96.73
