Linux 3.10.0-327.13.1.el7.x86_64 (ip-192-168-1-252.us-west-2.compute.internal) 	04/21/2016 	_x86_64_	(32 CPU)

09:03:03 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:03:04 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:03:05 PM     all     29.65      0.00      1.82      0.00      0.00     68.54
09:03:06 PM     all     95.71      0.00      4.20      0.00      0.00      0.09
09:03:07 PM     all     95.37      0.00      4.50      0.00      0.00      0.13
09:03:08 PM     all     94.71      0.00      5.10      0.00      0.03      0.16
09:03:09 PM     all     94.15      0.00      5.78      0.00      0.00      0.06
09:03:10 PM     all     93.74      0.00      6.22      0.00      0.00      0.03
09:03:11 PM     all     93.50      0.00      6.47      0.00      0.00      0.03
09:03:12 PM     all     92.02      0.00      7.91      0.00      0.00      0.06
09:03:13 PM     all     91.30      0.00      8.58      0.00      0.00      0.13
09:03:14 PM     all     68.35      0.00     12.40      0.00      0.13     19.12
09:03:15 PM     all      1.17      0.00      2.42      0.00      0.34     96.07
09:03:16 PM     all      0.84      0.00      2.13      0.00      0.34     96.69
09:03:17 PM     all      0.84      0.00      2.16      0.00      0.38     96.62
09:03:18 PM     all      0.73      0.00      1.91      0.00      0.31     97.06
09:03:19 PM     all      1.10      0.00      2.25      0.00      0.38     96.27
09:03:20 PM     all      0.84      0.00      2.13      0.00      0.34     96.69
09:03:21 PM     all      0.65      0.00      1.99      0.00      0.34     97.01
09:03:22 PM     all      0.73      0.00      2.03      0.00      0.38     96.87
09:03:23 PM     all      0.73      0.00      2.25      0.00      0.34     96.68
09:03:24 PM     all      0.84      0.00      2.29      0.00      0.34     96.53
09:03:25 PM     all      0.69      0.00      1.99      0.00      0.38     96.94
09:03:26 PM     all      0.84      0.00      2.33      0.00      0.31     96.53
09:03:27 PM     all      0.73      0.00      2.02      0.00      0.34     96.91
09:03:28 PM     all      0.73      0.00      2.21      0.00      0.38     96.68
09:03:29 PM     all      0.84      0.00      2.28      0.00      0.34     96.54
09:03:30 PM     all      2.44      0.00      2.52      0.00      0.34     94.69
09:03:31 PM     all      1.41      0.00      2.14      0.00      0.34     96.11
09:03:32 PM     all      0.80      0.00      2.28      0.00      0.34     96.57
09:03:33 PM     all      0.80      0.00      2.32      0.00      0.38     96.49
09:03:34 PM     all      0.84      0.00      2.25      0.00      0.30     96.61
09:03:35 PM     all      0.84      0.00      2.36      0.00      0.34     96.46
09:03:36 PM     all      0.72      0.00      2.13      0.00      0.34     96.80
09:03:37 PM     all      0.95      0.00      2.17      0.00      0.38     96.50
09:03:38 PM     all      0.73      0.00      2.10      0.00      0.31     96.87
09:03:39 PM     all      1.78      0.00      2.65      0.00      0.38     95.20
09:03:40 PM     all      2.06      0.00      2.21      0.00      0.31     95.42
09:03:41 PM     all      0.92      0.00      2.14      0.00      0.34     96.61
09:03:42 PM     all      7.42      0.00      2.46      0.00      0.38     89.73
09:03:43 PM     all      3.98      0.00      2.33      0.00      0.34     93.34
09:03:44 PM     all      2.14      0.00      2.29      0.00      0.38     95.19
09:03:45 PM     all      0.83      0.00      2.39      0.00      0.30     96.48
09:03:46 PM     all      4.74      0.00      2.56      0.00      0.34     92.35
09:03:47 PM     all      9.42      0.00      2.73      0.00      0.38     87.47
09:03:48 PM     all     10.46      0.00      2.73      0.00      0.42     86.38
09:03:49 PM     all     19.73      0.00      4.43      0.00      0.42     75.41
09:03:50 PM     all     21.83      0.00      6.13      0.00      0.34     71.70
09:03:51 PM     all     10.09      0.00      3.36      0.00      0.38     86.17
09:03:52 PM     all     39.92      0.00      7.85      0.00      0.38     51.85
09:03:53 PM     all     51.88      0.00     10.18      0.00      0.41     37.54
09:03:54 PM     all     85.07      0.00     11.14      0.00      0.06      3.72
09:03:55 PM     all     88.53      0.00     10.56      0.00      0.00      0.91
09:03:56 PM     all     89.59      0.00     10.01      0.00      0.03      0.38
09:03:57 PM     all     89.39      0.00     10.17      0.00      0.00      0.44
09:03:58 PM     all     89.50      0.00      9.97      0.00      0.00      0.53
09:03:59 PM     all     87.25      0.00     10.85      0.00      0.06      1.84
09:04:00 PM     all     30.33      0.00      6.61      0.00      0.30     62.77
09:04:01 PM     all      3.88      0.00      2.66      0.00      0.38     93.08
09:04:02 PM     all      7.17      0.00      2.95      0.00      0.35     89.53
09:04:03 PM     all      4.55      0.00      2.25      0.00      0.34     92.86
09:04:04 PM     all      2.36      0.00      3.16      0.00      0.34     94.14
09:04:05 PM     all      3.97      0.00      2.21      0.00      0.34     93.47
09:04:06 PM     all      4.55      0.00      2.41      0.00      0.34     92.70
