Linux 3.10.0-327.13.1.el7.x86_64 (ip-192-168-1-252.us-west-2.compute.internal) 	04/19/2016 	_x86_64_	(32 CPU)

06:42:08 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:42:09 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
06:42:10 AM     all     22.55      0.00      4.19      0.00      0.06     73.20
06:42:11 AM     all      0.03      0.00      0.10      0.00      0.35     99.51
06:42:12 AM     all      0.03      0.00      0.07      0.00      0.45     99.44
06:42:13 AM     all      0.00      0.00      0.03      0.00      0.42     99.55
06:42:14 AM     all      0.03      0.00      0.03      0.00      0.48     99.45
06:42:15 AM     all      0.00      0.00      0.03      0.00      0.45     99.51
06:42:16 AM     all      0.00      0.00      0.03      0.00      0.38     99.58
06:42:17 AM     all      0.03      0.00      0.07      0.00      0.45     99.44
06:42:18 AM     all      0.35      0.00      0.10      0.00      0.55     99.00
06:42:19 AM     all      4.23      0.00      0.76      0.00      0.45     94.57
06:42:20 AM     all     16.35      0.00      2.90      0.00      0.31     80.45
06:42:21 AM     all      0.00      0.00      0.03      0.00      0.42     99.55
06:42:22 AM     all      0.00      0.00      0.03      0.00      0.48     99.48
06:42:23 AM     all      0.03      0.00      0.07      0.00      0.38     99.51
06:42:24 AM     all      0.00      0.00      0.03      0.00      0.42     99.55
06:42:25 AM     all      0.00      0.00      0.07      0.00      0.45     99.48
06:42:26 AM     all      0.03      0.00      0.03      0.00      0.52     99.41
06:42:27 AM     all      0.21      0.00      0.14      0.00      0.38     99.27
06:42:28 AM     all      1.56      0.00      0.38      0.00      0.48     97.58
06:42:29 AM     all      8.48      0.00      1.33      0.00      0.44     89.74
06:42:30 AM     all      9.65      0.00      1.27      0.00      0.34     88.74
06:42:31 AM     all      0.00      0.00      0.07      0.00      0.38     99.55
06:42:32 AM     all      0.00      0.00      0.03      0.00      0.45     99.51
06:42:33 AM     all      0.03      0.00      0.03      0.00      0.42     99.51
06:42:34 AM     all      0.00      0.00      0.03      0.00      0.48     99.48
06:42:35 AM     all      0.00      0.00      0.07      0.00      0.42     99.51
06:42:36 AM     all      0.03      0.00      0.03      0.00      0.42     99.51
06:42:37 AM     all      0.63      0.00      0.17      0.00      0.45     98.75
06:42:38 AM     all      3.41      0.00      0.58      0.00      0.52     95.49
06:42:39 AM     all     10.34      0.00      1.47      0.00      0.38     87.82
06:42:40 AM     all      5.55      0.00      0.79      0.00      0.31     93.35
06:42:41 AM     all      0.00      0.00      0.03      0.00      0.42     99.55
06:42:42 AM     all      0.00      0.00      0.03      0.00      0.52     99.45
06:42:43 AM     all      0.00      0.00      0.07      0.00      0.38     99.55
06:42:44 AM     all      0.03      0.00      0.00      0.00      0.45     99.52
06:42:45 AM     all      0.00      0.00      0.03      0.00      0.42     99.55
06:42:46 AM     all      0.03      0.00      0.07      0.00      0.48     99.41
06:42:47 AM     all      1.21      0.00      0.14      0.00      0.38     98.27
06:42:48 AM     all      4.33      0.00      0.79      0.00      0.48     94.39
06:42:49 AM     all      7.25      0.00      1.00      0.00      0.41     91.34
06:42:50 AM     all      6.91      0.00      0.92      0.00      0.38     91.79
06:42:51 AM     all      0.03      0.00      0.03      0.00      0.38     99.55
06:42:52 AM     all      0.00      0.00      0.07      0.00      0.41     99.52
06:42:53 AM     all      0.00      0.00      0.03      0.00      0.42     99.55
06:42:54 AM     all      0.00      0.00      0.03      0.00      0.48     99.48
06:42:55 AM     all      0.03      0.00      0.03      0.00      0.42     99.51
06:42:56 AM     all      0.00      0.00      0.07      0.00      0.42     99.51
06:42:57 AM     all      1.28      0.00      0.31      0.00      0.45     97.96
06:42:58 AM     all      5.46      0.00      0.65      0.00      0.51     93.38
06:42:59 AM     all      5.53      0.00      0.86      0.00      0.38     93.23
06:43:00 AM     all      7.38      0.00      1.06      0.00      0.41     91.15
06:43:01 AM     all      0.17      0.00      0.10      0.00      0.38     99.34
06:43:02 AM     all      0.00      0.00      0.03      0.00      0.49     99.48
06:43:03 AM     all      0.03      0.00      0.03      0.00      0.38     99.55
06:43:04 AM     all      0.00      0.00      0.03      0.00      0.45     99.51
06:43:05 AM     all      0.03      0.00      0.03      0.00      0.42     99.51
06:43:06 AM     all      0.14      0.00      0.10      0.00      0.52     99.24
06:43:07 AM     all      2.48      0.00      0.58      0.00      0.38     96.56
06:43:08 AM     all      6.86      0.00      0.89      0.00      0.41     91.84
06:43:09 AM     all      4.95      0.00      0.69      0.00      0.45     93.91
06:43:10 AM     all      5.31      0.00      0.69      0.00      0.38     93.63
06:43:11 AM     all      0.00      0.00      0.07      0.00      0.38     99.55
06:43:12 AM     all      0.03      0.00      0.07      0.00      0.45     99.45
06:43:13 AM     all      0.00      0.00      0.03      0.00      0.45     99.51
06:43:14 AM     all      0.00      0.00      0.07      0.00      0.45     99.48
06:43:15 AM     all      0.03      0.00      0.03      0.00      0.38     99.55
06:43:16 AM     all      0.52      0.00      0.17      0.00      0.48     98.82
06:43:17 AM     all      2.78      0.00      0.69      0.00      0.38     96.15
06:43:18 AM     all      5.49      0.00      0.72      0.00      0.48     93.31
06:43:19 AM     all      7.04      0.00      0.93      0.00      0.38     91.66
06:43:20 AM     all      3.95      0.00      0.76      0.00      0.38     94.92
06:43:21 AM     all      0.03      0.00      0.03      0.00      0.38     99.55
06:43:22 AM     all      0.00      0.00      0.07      0.00      0.48     99.45
06:43:23 AM     all      0.03      0.00      0.03      0.00      0.42     99.51
06:43:24 AM     all      0.00      0.00      0.03      0.00      0.42     99.55
06:43:25 AM     all      0.03      0.00      0.03      0.00      0.49     99.44
06:43:26 AM     all      0.93      0.00      0.24      0.00      0.48     98.34
06:43:27 AM     all      4.34      0.00      0.76      0.00      0.41     94.49
06:43:28 AM     all      5.19      0.00      0.96      0.00      0.41     93.44
06:43:29 AM     all      7.49      0.00      0.89      0.00      0.41     91.20
06:43:30 AM     all      2.31      0.00      0.45      0.00      0.41     96.83
06:43:31 AM     all      0.00      0.00      0.07      0.00      0.42     99.51
06:43:32 AM     all      0.03      0.00      0.03      0.00      0.42     99.51
06:43:33 AM     all      0.00      0.00      0.03      0.00      0.42     99.55
06:43:34 AM     all      0.00      0.00      0.03      0.00      0.52     99.44
06:43:35 AM     all      0.00      0.00      0.07      0.00      0.42     99.51
06:43:36 AM     all      2.25      0.00      0.35      0.00      0.52     96.89
06:43:37 AM     all      5.93      0.00      0.89      0.00      0.41     92.76
06:43:38 AM     all      3.67      0.00      0.48      0.00      0.38     95.47
06:43:39 AM     all      0.03      0.00      0.07      0.00      0.35     99.55
06:43:40 AM     all      0.03      0.00      0.03      0.00      0.42     99.51
06:43:41 AM     all      0.00      0.00      0.07      0.00      0.49     99.44
06:43:42 AM     all      0.00      0.00      0.03      0.00      0.56     99.41
06:43:43 AM     all      0.07      0.00      0.10      0.00      0.41     99.41
06:43:44 AM     all      0.19      0.00      0.06      0.00      0.03     99.72
