Linux 3.10.0-327.13.1.el7.x86_64 (ip-192-168-1-252.us-west-2.compute.internal) 	04/21/2016 	_x86_64_	(32 CPU)

06:42:56 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:42:57 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
06:42:58 PM     all     22.72      0.00      4.13      0.00      0.03     73.12
06:42:59 PM     all      0.00      0.00      0.10      0.00      0.35     99.55
06:43:00 PM     all      0.03      0.00      0.03      0.00      0.52     99.41
06:43:01 PM     all      0.00      0.00      0.03      0.00      0.38     99.58
06:43:02 PM     all      0.03      0.00      0.10      0.00      0.35     99.51
06:43:03 PM     all      0.00      0.00      0.07      0.00      0.49     99.44
06:43:04 PM     all      0.00      0.00      0.10      0.00      0.49     99.41
06:43:05 PM     all      0.03      0.00      0.07      0.00      0.42     99.48
06:43:06 PM     all      0.03      0.00      0.03      0.00      0.38     99.55
06:43:07 PM     all      0.17      0.00      0.21      0.00      0.56     99.06
06:43:08 PM     all     20.82      0.00      3.48      0.00      0.34     75.35
06:43:09 PM     all      0.00      0.00      0.07      0.00      0.38     99.55
06:43:10 PM     all      0.03      0.00      0.07      0.00      0.42     99.48
06:43:11 PM     all      0.00      0.00      0.10      0.00      0.49     99.41
06:43:12 PM     all      0.00      0.00      0.07      0.00      0.42     99.51
06:43:13 PM     all      0.03      0.00      0.07      0.00      0.38     99.51
06:43:14 PM     all      0.00      0.00      0.03      0.00      0.38     99.58
06:43:15 PM     all      0.03      0.00      0.07      0.00      0.52     99.37
06:43:16 PM     all      0.00      0.00      0.07      0.00      0.45     99.48
06:43:17 PM     all      3.26      0.00      0.55      0.00      0.45     95.74
06:43:18 PM     all     13.39      0.00      1.87      0.00      0.34     84.39
06:43:19 PM     all      2.07      0.00      0.28      0.00      0.31     97.34
06:43:20 PM     all      0.45      0.00      0.10      0.00      0.52     98.93
06:43:21 PM     all      0.35      0.00      0.10      0.00      0.38     99.17
06:43:22 PM     all      0.03      0.00      0.07      0.00      0.38     99.51
06:43:23 PM     all      0.03      0.00      0.10      0.00      0.45     99.41
06:43:24 PM     all      0.00      0.00      0.07      0.00      0.45     99.48
06:43:25 PM     all      0.00      0.00      0.07      0.00      0.35     99.58
06:43:26 PM     all      0.87      0.00      0.35      0.00      0.52     98.27
06:43:27 PM     all      1.84      0.00      0.28      0.00      0.49     97.39
06:43:28 PM     all      8.69      0.00      1.27      0.00      0.41     89.63
06:43:29 PM     all      7.49      0.00      1.13      0.00      0.24     91.14
06:43:30 PM     all      0.03      0.00      0.07      0.00      0.42     99.48
06:43:31 PM     all      0.83      0.00      0.14      0.00      0.41     98.62
06:43:32 PM     all      0.00      0.00      0.03      0.00      0.45     99.52
06:43:33 PM     all      0.00      0.00      0.03      0.00      0.38     99.58
06:43:34 PM     all      0.03      0.00      0.03      0.00      0.42     99.52
06:43:35 PM     all      0.00      0.00      0.03      0.00      0.42     99.55
06:43:36 PM     all      0.03      0.00      0.07      0.00      0.48     99.41
06:43:37 PM     all      1.31      0.00      0.34      0.00      0.38     97.97
06:43:38 PM     all      5.10      0.00      0.76      0.00      0.48     93.66
06:43:39 PM     all     10.25      0.00      1.64      0.00      0.38     87.73
06:43:40 PM     all      1.96      0.00      0.48      0.00      0.38     97.18
06:43:41 PM     all      1.35      0.00      0.24      0.00      0.38     98.02
06:43:42 PM     all      0.00      0.00      0.03      0.00      0.42     99.55
06:43:43 PM     all      0.03      0.00      0.07      0.00      0.42     99.48
06:43:44 PM     all      0.00      0.00      0.10      0.00      0.45     99.45
06:43:45 PM     all      0.03      0.00      0.07      0.00      0.38     99.52
06:43:46 PM     all      0.21      0.00      0.10      0.00      0.41     99.27
06:43:47 PM     all      0.72      0.00      0.24      0.00      0.41     98.62
06:43:48 PM     all      5.81      0.00      0.92      0.00      0.44     92.82
06:43:49 PM     all      4.15      0.00      0.69      0.00      0.45     94.72
06:43:50 PM     all      5.07      0.00      0.72      0.00      0.28     93.92
06:43:51 PM     all      2.28      0.00      0.31      0.00      0.48     96.92
06:43:52 PM     all      0.83      0.00      0.24      0.00      0.42     98.51
06:43:53 PM     all      0.00      0.00      0.07      0.00      0.42     99.51
06:43:54 PM     all      0.00      0.00      0.07      0.00      0.35     99.58
06:43:55 PM     all      0.03      0.00      0.10      0.00      0.49     99.37
06:43:56 PM     all      0.69      0.00      0.14      0.00      0.45     98.72
06:43:57 PM     all      0.17      0.00      0.07      0.00      0.42     99.34
06:43:58 PM     all      5.44      0.00      1.03      0.00      0.41     93.13
06:43:59 PM     all      6.99      0.00      0.83      0.00      0.45     91.74
06:44:00 PM     all      3.00      0.00      0.52      0.00      0.38     96.11
06:44:01 PM     all      2.28      0.00      0.41      0.00      0.41     96.89
06:44:02 PM     all      0.52      0.00      0.07      0.00      0.35     99.06
06:44:03 PM     all      0.00      0.00      0.10      0.00      0.42     99.48
06:44:04 PM     all      0.03      0.00      0.07      0.00      0.52     99.37
06:44:05 PM     all      0.00      0.00      0.07      0.00      0.42     99.51
06:44:06 PM     all      0.94      0.00      0.28      0.00      0.42     98.37
06:44:07 PM     all      1.91      0.00      0.35      0.00      0.49     97.26
06:44:08 PM     all      6.36      0.00      0.93      0.00      0.41     92.31
06:44:09 PM     all      4.95      0.00      0.76      0.00      0.34     93.96
06:44:10 PM     all      2.85      0.00      0.62      0.00      0.41     96.12
06:44:11 PM     all      2.94      0.00      0.38      0.00      0.35     96.33
06:44:12 PM     all      0.03      0.00      0.07      0.00      0.45     99.45
06:44:13 PM     all      0.00      0.00      0.07      0.00      0.38     99.55
06:44:14 PM     all      0.03      0.00      0.07      0.00      0.42     99.48
06:44:15 PM     all      0.00      0.00      0.03      0.00      0.45     99.51
06:44:16 PM     all      0.80      0.00      0.21      0.00      0.49     98.51
06:44:17 PM     all      1.60      0.00      0.31      0.00      0.42     97.68
06:44:18 PM     all      5.07      0.00      0.62      0.00      0.38     93.93
06:44:19 PM     all      4.95      0.00      0.65      0.00      0.41     93.98
06:44:20 PM     all      3.12      0.00      0.62      0.00      0.38     95.88
06:44:21 PM     all      3.79      0.00      0.55      0.00      0.41     95.24
06:44:22 PM     all      0.52      0.00      0.17      0.00      0.31     98.99
06:44:23 PM     all      0.03      0.00      0.07      0.00      0.42     99.48
06:44:24 PM     all      0.00      0.00      0.07      0.00      0.52     99.41
06:44:25 PM     all      0.00      0.00      0.03      0.00      0.35     99.62
06:44:26 PM     all      0.24      0.00      0.14      0.00      0.49     99.13
06:44:27 PM     all      1.11      0.00      0.28      0.00      0.49     98.12
06:44:28 PM     all      4.51      0.00      0.79      0.00      0.41     94.29
06:44:29 PM     all      4.68      0.00      0.62      0.00      0.31     94.39
06:44:30 PM     all      3.03      0.00      0.52      0.00      0.38     96.08
06:44:31 PM     all      0.03      0.00      0.07      0.00      0.45     99.45
06:44:32 PM     all      0.00      0.00      0.07      0.00      0.42     99.52
06:44:33 PM     all      0.00      0.00      0.07      0.00      0.38     99.55
06:44:34 PM     all      0.03      0.00      0.10      0.00      0.49     99.37
06:44:35 PM     all      0.00      0.00      0.07      0.00      0.45     99.48
06:44:36 PM     all      0.07      0.00      0.10      0.00      0.41     99.43
06:44:37 PM     all      0.16      0.00      0.03      0.00      0.03     99.78
