Linux 3.10.0-327.13.1.el7.x86_64 (ip-192-168-1-252.us-west-2.compute.internal) 	04/21/2016 	_x86_64_	(32 CPU)

07:36:29 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:36:30 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:36:31 PM     all     23.82      0.00      3.86      0.00      0.10     72.22
07:36:32 PM     all      0.33      0.00      1.02      0.00      0.51     98.14
07:36:33 PM     all      0.25      0.00      0.54      0.00      0.51     98.70
07:36:34 PM     all      0.36      0.00      0.95      0.00      0.55     98.14
07:36:35 PM     all      0.33      0.00      1.02      0.00      0.51     98.15
07:36:36 PM     all      0.36      0.00      0.84      0.00      0.55     98.25
07:36:37 PM     all      0.29      0.00      0.54      0.00      0.51     98.66
07:36:38 PM     all      0.40      0.00      0.87      0.00      0.51     98.22
07:36:39 PM     all      0.36      0.00      0.80      0.00      0.51     98.32
07:36:40 PM     all      0.29      0.00      0.80      0.00      0.55     98.36
07:36:41 PM     all      0.29      0.00      0.54      0.00      0.54     98.63
07:36:42 PM     all      0.33      0.00      0.84      0.00      0.51     98.32
07:36:43 PM     all      0.40      0.00      0.91      0.00      0.51     98.18
07:36:44 PM     all      1.23      0.00      1.13      0.00      0.54     97.10
07:36:45 PM     all     21.25      0.00      3.66      0.00      0.45     74.64
07:36:46 PM     all      0.36      0.00      1.09      0.00      0.51     98.03
07:36:47 PM     all      0.40      0.00      0.99      0.00      0.47     98.14
07:36:48 PM     all      0.37      0.00      1.10      0.00      0.55     97.99
07:36:49 PM     all      0.33      0.00      0.87      0.00      0.58     98.22
07:36:50 PM     all      0.33      0.00      0.95      0.00      0.48     98.24
07:36:51 PM     all      0.44      0.00      0.92      0.00      0.51     98.13
07:36:52 PM     all      0.33      0.00      1.17      0.00      0.55     97.95
07:36:53 PM     all      0.36      0.00      0.80      0.00      0.55     98.29
07:36:54 PM     all      0.48      0.00      1.02      0.00      0.51     97.99
07:36:55 PM     all      0.40      0.00      1.06      0.00      0.55     97.99
07:36:56 PM     all      0.33      0.00      0.95      0.00      0.51     98.20
07:36:57 PM     all      0.29      0.00      0.80      0.00      0.58     98.34
07:36:58 PM     all      9.18      0.00      1.77      0.00      0.46     88.59
07:36:59 PM     all     12.81      0.00      2.28      0.00      0.46     84.45
07:37:00 PM     all      0.37      0.00      1.10      0.00      0.51     98.02
07:37:01 PM     all      0.33      0.00      0.76      0.00      0.54     98.37
07:37:02 PM     all      0.40      0.00      1.10      0.00      0.55     97.94
07:37:03 PM     all      0.37      0.00      1.14      0.00      0.51     97.98
07:37:04 PM     all      0.44      0.00      1.14      0.00      0.55     97.87
07:37:05 PM     all      0.33      0.00      0.84      0.00      0.55     98.29
07:37:06 PM     all      0.48      0.00      0.99      0.00      0.51     98.02
07:37:07 PM     all      0.40      0.00      0.95      0.00      0.51     98.13
07:37:08 PM     all      0.33      0.00      1.17      0.00      0.55     97.95
07:37:09 PM     all      0.29      0.00      0.54      0.00      0.54     98.62
07:37:10 PM     all      0.26      0.00      1.10      0.00      0.51     98.14
07:37:11 PM     all      3.58      0.00      1.05      0.00      0.54     94.83
07:37:12 PM     all     14.32      0.00      2.72      0.00      0.42     82.53
07:37:13 PM     all      3.18      0.00      1.07      0.00      0.50     95.25
07:37:14 PM     all      0.36      0.00      0.87      0.00      0.51     98.25
07:37:15 PM     all      1.20      0.00      1.16      0.00      0.55     97.09
07:37:16 PM     all      0.36      0.00      0.84      0.00      0.51     98.29
07:37:17 PM     all      0.25      0.00      0.61      0.00      0.54     98.59
07:37:18 PM     all      0.29      0.00      0.65      0.00      0.47     98.58
07:37:19 PM     all      0.29      0.00      0.65      0.00      0.51     98.55
07:37:20 PM     all      0.29      0.00      0.72      0.00      0.51     98.48
07:37:21 PM     all      0.29      0.00      0.69      0.00      0.54     98.48
07:37:22 PM     all      0.29      0.00      0.84      0.00      0.51     98.37
07:37:23 PM     all      0.40      0.00      0.80      0.00      0.55     98.26
07:37:24 PM     all      0.33      0.00      0.73      0.00      0.51     98.44
07:37:25 PM     all      6.61      0.00      1.49      0.00      0.50     91.40
07:37:26 PM     all     12.58      0.00      2.03      0.00      0.46     84.93
07:37:27 PM     all      1.63      0.00      0.94      0.00      0.47     96.96
07:37:28 PM     all      0.36      0.00      0.76      0.00      0.54     98.33
07:37:29 PM     all      0.29      0.00      0.61      0.00      0.50     98.60
07:37:30 PM     all      0.36      0.00      0.84      0.00      0.55     98.26
07:37:31 PM     all      1.16      0.00      0.98      0.00      0.51     97.36
07:37:32 PM     all      0.29      0.00      0.87      0.00      0.51     98.32
07:37:33 PM     all      0.29      0.00      0.58      0.00      0.58     98.56
07:37:34 PM     all      0.36      0.00      0.80      0.00      0.47     98.37
07:37:35 PM     all      0.33      0.00      0.84      0.00      0.54     98.29
07:37:36 PM     all      0.36      0.00      0.95      0.00      0.51     98.18
07:37:37 PM     all      0.25      0.00      0.76      0.00      0.54     98.45
07:37:38 PM     all      0.62      0.00      0.83      0.00      0.51     98.04
07:37:39 PM     all      8.10      0.00      1.43      0.00      0.50     89.97
07:37:40 PM     all     11.13      0.00      1.82      0.00      0.46     86.59
07:37:41 PM     all      1.36      0.00      0.75      0.00      0.50     97.38
07:37:42 PM     all      0.33      0.00      0.91      0.00      0.51     98.25
07:37:43 PM     all      0.37      0.00      0.99      0.00      0.55     98.10
07:37:44 PM     all      1.24      0.00      1.20      0.00      0.55     97.02
07:37:45 PM     all      0.25      0.00      0.65      0.00      0.51     98.59
07:37:46 PM     all      0.40      0.00      1.06      0.00      0.51     98.02
07:37:47 PM     all      0.40      0.00      1.21      0.00      0.51     97.87
07:37:48 PM     all      0.48      0.00      1.10      0.00      0.55     97.88
07:37:49 PM     all      0.25      0.00      0.76      0.00      0.58     98.40
07:37:50 PM     all      0.33      0.00      1.10      0.00      0.51     98.06
07:37:51 PM     all      0.51      0.00      1.29      0.00      0.51     97.69
07:37:52 PM     all      5.59      0.00      1.95      0.00      0.54     91.92
07:37:53 PM     all     12.21      0.00      2.15      0.00      0.46     85.18
07:37:54 PM     all      2.09      0.00      1.39      0.00      0.51     96.01
07:37:55 PM     all      0.40      0.00      1.06      0.00      0.51     98.02
07:37:56 PM     all      0.37      0.00      1.13      0.00      0.55     97.96
