Linux 3.10.0-327.13.1.el7.x86_64 (ip-192-168-1-252.us-west-2.compute.internal) 	04/21/2016 	_x86_64_	(32 CPU)

07:40:24 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:40:25 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:40:26 PM     all     31.20      0.00      1.59      0.00      0.00     67.21
07:40:27 PM     all     45.92      0.00      2.53      0.00      0.16     51.38
07:40:28 PM     all      0.47      0.00      1.31      0.00      0.47     97.74
07:40:29 PM     all      0.25      0.00      0.58      0.00      0.51     98.66
07:40:30 PM     all      0.33      0.00      0.84      0.00      0.51     98.33
07:40:31 PM     all      0.33      0.00      0.87      0.00      0.55     98.25
07:40:32 PM     all      0.40      0.00      1.05      0.00      0.58     97.97
07:40:33 PM     all      0.22      0.00      0.61      0.00      0.51     98.66
07:40:34 PM     all      0.33      0.00      0.84      0.00      0.47     98.36
07:40:35 PM     all      0.29      0.00      0.95      0.00      0.55     98.21
07:40:36 PM     all      0.44      0.00      0.80      0.00      0.51     98.25
07:40:37 PM     all      0.25      0.00      0.58      0.00      0.54     98.62
07:40:38 PM     all      0.37      0.00      0.91      0.00      0.51     98.21
07:40:39 PM     all      1.16      0.00      1.23      0.00      0.58     97.02
07:40:40 PM     all     12.66      0.00      1.53      0.00      0.46     85.35
07:40:41 PM     all     44.76      0.00      2.70      0.00      0.31     52.22
07:40:42 PM     all      5.88      0.00      1.45      0.00      0.51     92.17
07:40:43 PM     all      0.37      0.00      1.14      0.00      0.51     97.99
07:40:44 PM     all      0.37      0.00      1.06      0.00      0.55     98.03
07:40:45 PM     all      0.33      0.00      0.65      0.00      0.51     98.51
07:40:46 PM     all      0.40      0.00      0.99      0.00      0.51     98.10
07:40:47 PM     all      0.33      0.00      0.92      0.00      0.55     98.20
07:40:48 PM     all      0.44      0.00      1.17      0.00      0.51     97.88
07:40:49 PM     all      0.33      0.00      0.91      0.00      0.58     98.18
07:40:50 PM     all      0.51      0.00      1.43      0.00      0.51     97.54
07:40:51 PM     all      0.48      0.00      1.32      0.00      0.55     97.65
07:40:52 PM     all      3.97      0.00      1.34      0.00      0.51     94.19
07:40:53 PM     all      8.09      0.00      1.29      0.00      0.50     90.12
07:40:54 PM     all     10.17      0.00      1.40      0.00      0.50     87.93
07:40:55 PM     all     36.92      0.00      2.65      0.00      0.46     59.97
07:40:56 PM     all      5.08      0.00      1.39      0.00      0.48     93.06
07:40:57 PM     all      0.33      0.00      0.91      0.00      0.54     98.23
07:40:58 PM     all      0.40      0.00      1.10      0.00      0.51     97.98
07:40:59 PM     all      0.33      0.00      1.10      0.00      0.55     98.03
07:41:00 PM     all      0.40      0.00      0.95      0.00      0.51     98.14
07:41:01 PM     all      0.22      0.00      0.65      0.00      0.54     98.59
07:41:02 PM     all      0.33      0.00      0.76      0.00      0.51     98.40
07:41:03 PM     all      0.44      0.00      1.24      0.00      0.55     97.77
07:41:04 PM     all      0.48      0.00      1.10      0.00      0.51     97.91
07:41:05 PM     all      2.53      0.00      0.87      0.00      0.54     96.07
07:41:06 PM     all      8.60      0.00      1.66      0.00      0.51     89.24
07:41:07 PM     all      8.07      0.00      1.44      0.00      0.50     89.99
07:41:08 PM     all      4.94      0.00      1.26      0.00      0.47     93.33
07:41:09 PM     all     33.56      0.00      2.46      0.00      0.49     63.49
07:41:10 PM     all     10.97      0.00      1.78      0.00      0.51     86.74
07:41:11 PM     all      0.40      0.00      1.10      0.00      0.51     97.98
07:41:12 PM     all      0.37      0.00      0.88      0.00      0.51     98.24
07:41:13 PM     all      0.25      0.00      0.43      0.00      0.54     98.77
07:41:14 PM     all      0.33      0.00      0.88      0.00      0.51     98.29
07:41:15 PM     all      0.37      0.00      0.91      0.00      0.55     98.17
07:41:16 PM     all      0.33      0.00      1.06      0.00      0.55     98.07
07:41:17 PM     all      0.29      0.00      0.54      0.00      0.51     98.66
07:41:18 PM     all      1.31      0.00      0.98      0.00      0.55     97.16
07:41:19 PM     all      8.95      0.00      1.48      0.00      0.51     89.07
07:41:20 PM     all      8.73      0.00      1.44      0.00      0.47     89.36
07:41:21 PM     all      2.73      0.00      0.65      0.00      0.50     96.12
07:41:22 PM     all      5.06      0.00      1.57      0.00      0.55     92.83
07:41:23 PM     all     28.54      0.00      2.49      0.00      0.46     68.51
07:41:24 PM     all      6.27      0.00      1.31      0.00      0.47     91.95
07:41:25 PM     all      0.29      0.00      0.87      0.00      0.55     98.29
07:41:26 PM     all      0.36      0.00      0.91      0.00      0.51     98.21
07:41:27 PM     all      0.40      0.00      0.91      0.00      0.55     98.14
07:41:28 PM     all      0.44      0.00      1.50      0.00      0.55     97.50
07:41:29 PM     all      0.29      0.00      0.54      0.00      0.51     98.66
07:41:30 PM     all      0.40      0.00      1.06      0.00      0.51     98.02
07:41:31 PM     all      0.40      0.00      1.17      0.00      0.51     97.91
07:41:32 PM     all      5.26      0.00      1.19      0.00      0.54     93.01
07:41:33 PM     all      8.71      0.00      1.33      0.00      0.50     89.45
07:41:34 PM     all      9.21      0.00      1.71      0.00      0.51     88.57
07:41:35 PM     all      1.86      0.00      1.20      0.00      0.51     96.43
07:41:36 PM     all      7.13      0.00      1.30      0.00      0.50     91.07
07:41:37 PM     all     28.76      0.00      1.94      0.00      0.49     68.80
07:41:38 PM     all      6.41      0.00      1.05      0.00      0.43     92.10
07:41:39 PM     all      0.36      0.00      0.88      0.00      0.55     98.21
07:41:40 PM     all      0.33      0.00      0.62      0.00      0.51     98.55
07:41:41 PM     all      0.22      0.00      0.65      0.00      0.54     98.59
07:41:42 PM     all      0.37      0.00      0.88      0.00      0.51     98.25
07:41:43 PM     all      0.36      0.00      1.02      0.00      0.51     98.10
07:41:44 PM     all      0.44      0.00      1.02      0.00      0.55     97.99
07:41:45 PM     all      1.19      0.00      0.76      0.00      0.54     97.52
07:41:46 PM     all      9.71      0.00      1.73      0.00      0.47     88.09
07:41:47 PM     all      7.83      0.00      1.48      0.00      0.54     90.14
07:41:48 PM     all      4.60      0.00      1.20      0.00      0.51     93.69
07:41:49 PM     all      2.64      0.00      0.79      0.00      0.54     96.03
07:41:50 PM     all      8.60      0.00      1.93      0.00      0.51     88.95
07:41:51 PM     all     24.38      0.00      2.29      0.00      0.47     72.86
07:41:52 PM     all      8.25      0.00      1.64      0.00      0.51     89.60
07:41:53 PM     all      1.81      0.00      0.80      0.00      0.54     96.85
07:41:54 PM     all      0.33      0.00      0.87      0.00      0.47     98.33
07:41:55 PM     all      0.33      0.00      0.88      0.00      0.55     98.24
07:41:56 PM     all      0.44      0.00      1.21      0.00      0.51     97.83
07:41:57 PM     all      0.33      0.00      0.91      0.00      0.58     98.19
07:41:58 PM     all      0.58      0.00      1.02      0.00      0.47     97.92
07:41:59 PM     all      7.98      0.00      1.29      0.00      0.54     90.19
07:42:00 PM     all      6.39      0.00      1.15      0.00      0.47     91.99
07:42:01 PM     all      7.00      0.00      0.83      0.00      0.54     91.64
